都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude,観測所種別,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
宗谷,11001,四,宗谷岬,ｿｳﾔﾐｻｷ,稚内市宗谷岬,稚内市宗谷岬,45,31.2,141,56.1,26,10.1,1.5,昭53.10.30,－,－,45.52,141.935,2,-4.5,-4.6,-1.1,3.9,8.2,11.9,16.1,18.7,16.4,10.8,3.6,-2.1,23.5,18.4,21.5,31.0,58.0,58.8,106.3,126.5,123.8,114.6,94.4,54.0
宗谷,11016,官,稚内,ﾜｯｶﾅｲ,稚内市開運,稚内市開運　稚内地方気象台,45,24.9,141,40.7,3,24.1,－,#昭50.4.1,11903,－,45.415,141.67833333333334,1,-4.3,-4.3,-0.6,4.5,9.1,13.0,17.2,19.5,17.2,11.3,3.8,-2.1,84.6,60.6,55.1,50.3,68.1,65.8,100.9,123.1,136.7,129.7,121.4,112.9
宗谷,11046,四,礼文,ﾚﾌﾞﾝ,礼文町香深,礼文郡礼文町大字香深村トンナイ,45,18.3,141,2.7,65,9.9,1.5,平15.10.17,－,－,45.305,141.045,2,-4.6,-4.3,-0.4,4.1,8.5,12.8,17.3,19.7,17.4,11.2,3.6,-2.4,73.4,51.6,44.1,49.2,79.7,84.6,101.0,138.6,131.1,100.4,98.4,91.5
宗谷,11076,四,浜鬼志別,ﾊﾏｵﾆｼﾍﾞﾂ,猿払村浜鬼志別,宗谷郡猿払村浜鬼志別,45,20.1,142,10.2,13,9.9,1.5,昭53.10.30,11900,－,45.335,142.17,2,-5.9,-6.0,-2.1,3.5,8.2,11.8,15.9,18.4,15.5,9.4,2.2,-3.5,61.1,42.7,45.1,42.7,62.5,63.0,109.2,125.7,119.6,118.0,110.6,91.2
宗谷,11121,四,沼川,ﾇﾏｶﾜ,稚内市沼川,稚内市声問村沼川,45,14.9,141,51.1,23,10,1.5,昭52.10.20,11905,湿度を除く,45.248333333333335,141.85166666666666,2,-6.9,-6.9,-2.5,3.5,8.9,12.9,17.1,18.7,15.0,8.8,1.9,-4.1,89.2,66.5,59.0,52.5,66.1,60.5,109.1,125.5,128.6,142.0,130.6,117.9
宗谷,11151,四,沓形,ｸﾂｶﾞﾀ,利尻町沓形,利尻郡利尻町沓形泉町,45,10.7,141,8.3,14,9.9,1.5,#昭52.10.24,－,－,45.178333333333335,141.13833333333332,2,-4.0,-3.8,-0.3,4.6,9.6,13.7,18.0,19.9,17.3,11.5,4.0,-1.8,46.4,33.3,34.8,41.2,68.4,62.1,93.8,118.2,117.9,117.5,106.5,72.6
宗谷,11176,四,豊富,ﾄﾖﾄﾐ,豊富,天塩郡豊富町豊富東2条,45,6.1,141,46.8,14,10,1.5,(昭50.5.29)昭52.10.25,11910,湿度を除く,45.10166666666667,141.78,2,-6.1,-6.1,-1.9,4.1,9.6,13.7,17.9,19.4,16.0,9.7,2.7,-3.4,65.2,48.0,46.5,46.6,61.8,59.8,111.2,120.9,130.8,137.8,116.6,85.9
宗谷,11206,四,浜頓別,ﾊﾏﾄﾝﾍﾞﾂ,浜頓別,枝幸郡浜頓別町クッチャロ湖畔,45,7.5,142,21.0,18,10,2.5,#昭52.10.19,－,湿度を除く,45.125,142.35,2,-6.3,-6.3,-2.0,4.0,9.2,12.8,16.9,19.0,15.8,9.6,2.4,-3.8,62.1,46.7,50.2,47.6,61.0,65.0,116.9,118.9,121.4,106.4,101.9,83.3
宗谷,11276,四,中頓別,ﾅｶﾄﾝﾍﾞﾂ,中頓別,枝幸郡中頓別町上駒,44,57.9,142,16.8,25,10.2,1.5,(昭50.5.28)昭52.10.19,11915,湿度を除く,44.965,142.28,2,-8.4,-8.5,-3.2,3.5,9.7,13.8,17.9,19.1,15.0,8.4,1.5,-5.3,92.4,66.3,72.2,56.7,68.4,66.6,120.2,145.5,141.8,155.8,152.8,126.1
宗谷,11291,官,北見枝幸,ｷﾀﾐｴｻｼ,枝幸町枝幸,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44,56.4,142,35.1,7,17.2,－,#昭51.1.1,11917,－,44.94,142.585,1,-5.5,-5.4,-1.5,4.3,9.1,12.4,16.6,19.1,16.5,10.3,3.0,-3.1,75.6,56.5,64.8,56.4,69.1,82.4,125.0,141.4,134.9,127.7,124.1,101.8
宗谷,11316,四,歌登,ｳﾀﾉﾎﾞﾘ,枝幸町歌登,枝幸郡枝幸町歌登東町,44,50.5,142,28.8,14,10,1.5,#昭52.10.25,11920,湿度を除く,44.84166666666667,142.48,2,-8.2,-8.2,-2.9,3.6,9.5,13.4,17.4,18.9,15.1,8.5,1.7,-5.0,98.3,67.3,71.0,55.5,69.9,82.9,119.4,149.4,157.2,145.2,157.1,136.4
上川,12011,四,中川,ﾅｶｶﾞﾜ,中川,中川郡中川町中川,44,49.7,142,4.6,22,10,1.5,昭52.10.19,－,湿度を除く,44.82833333333333,142.07666666666665,2,-7.5,-7.2,-2.4,3.8,10.0,14.2,18.3,19.4,15.2,8.8,2.1,-4.2,89.2,60.6,63.6,54.0,68.6,60.4,114.4,151.3,136.8,160.3,156.7,132.5
上川,12041,四,音威子府,ｵﾄｲﾈｯﾌﾟ,音威子府,中川郡音威子府村音威子府,44,43.6,142,15.9,40,9.9,1.5,昭52.10.17,12905,－,44.72666666666667,142.265,2,-8.0,-7.7,-2.7,3.6,10.1,14.5,18.5,19.5,15.3,8.7,1.7,-4.8,106.7,70.7,71.4,56.8,65.5,60.6,120.4,163.9,148.0,164.3,180.3,158.0
上川,12141,四,美深,ﾋﾞﾌｶ,美深町西町,中川郡美深町西町,44,28.8,142,20.5,77,10,1.5,#昭52.10.6,12900,湿度を除く,44.48,142.34166666666667,2,-8.6,-8.0,-3.0,3.8,10.7,15.4,19.4,20.1,15.4,8.5,1.5,-5.3,81.0,60.2,60.2,47.5,60.1,64.8,121.1,131.6,136.2,130.7,139.2,126.0
