都府県振興局,観測所名,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
石川,珠洲,2.8,2.8,5.5,10.4,15.7,19.8,24.1,25.5,21.6,15.8,10.3,5.3,226.0,140.6,129.2,106.6,98.4,141.7,193.9,165.7,184.9,152.7,200.5,279.2
石川,輪島,3.3,3.4,6.1,11.1,16.1,20.0,24.4,25.9,22.0,16.3,10.8,5.9,219.2,139.6,138.6,121.6,115.6,155.8,199.6,176.8,214.5,171.1,231.5,278.4
石川,三井,1.1,1.4,4.4,9.6,15.1,19.1,23.2,24.7,20.8,14.9,9.3,3.8,167.2,120.2,132.7,128.6,101.7,172.2,241.4,200.5,190.1,157.6,193.4,264.8
石川,志賀,3.6,3.7,6.3,11.3,16.4,20.6,24.7,26.4,22.3,16.7,11.2,6.4,152.6,101.5,105.7,105.2,107.6,151.9,203.8,172.5,173.9,134.7,170.9,197.7
石川,七尾,2.7,3.0,5.9,11.1,16.3,20.4,24.5,26.0,22.0,16.2,10.5,5.4,207.4,126.3,139.1,126.0,120.0,168.5,222.7,183.0,206.5,156.7,205.7,255.1
石川,羽咋,3.5,3.6,6.5,11.5,16.6,20.7,24.8,26.5,22.4,16.9,11.3,6.3,212.7,129.6,129.3,122.5,127.4,156.4,225.8,188.7,195.3,153.1,205.3,264.6
石川,かほく,3.3,3.5,6.4,11.5,16.5,20.5,24.7,26.2,22.3,16.7,11.0,6.0,210.9,125.8,129.4,121.5,123.5,167.5,221.9,186.2,213.7,154.9,209.5,252.7
石川,金沢,4.0,4.2,7.3,12.6,17.7,21.6,25.8,27.3,23.2,17.6,11.9,6.8,256.0,162.6,157.2,143.9,138.0,170.3,233.4,179.3,231.9,177.1,250.8,301.1
石川,小松,3.6,3.9,6.9,12.2,17.3,21.2,25.4,26.7,22.5,16.8,11.2,6.2,251.3,147.7,144.3,129.3,127.3,151.0,218.9,152.0,214.6,171.6,219.4,282.5
石川,白山河内,1.5,1.8,5.1,11.3,16.6,20.2,24.1,25.2,21.1,15.3,9.7,4.3,340.5,210.2,195.6,167.7,162.2,208.7,290.8,224.4,235.6,215.8,277.9,372.1
石川,加賀中津原,1.9,2.2,5.5,11.3,16.4,20.2,24.3,25.4,21.2,15.4,9.8,4.6,375.3,223.2,221.0,177.9,179.3,202.5,296.3,214.6,275.8,222.2,286.2,411.3
徳島,池田,3.5,4.2,7.5,13.0,17.7,21.2,25.1,25.6,21.8,16.0,10.5,5.6,56.5,60.9,94.5,86.1,124.6,197.6,211.5,169.2,222.1,136.8,78.6,84.6
徳島,穴吹,4.3,5.2,8.5,13.8,18.5,21.9,25.7,26.5,22.6,17.1,11.5,6.4,47.3,54.2,79.4,67.5,105.9,167.8,216.0,222.6,269.2,163.5,59.9,68.9
