都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude
宗谷,11016,官,稚内,ﾜｯｶﾅｲ,稚内市開運,稚内市開運　稚内地方気象台,45,24.9,141,40.7,3,24.1,－,#昭50.4.1,11903,－,45.415,141.67833333333334
宗谷,11061,官,声問,ｺｴﾄｲ,稚内空港,稚内市大字声問村字声問　稚内航空気象観測所,45,24.2,141,48.1,8,10,－,平15.1.1,11904,日照・湿度・気圧を除く,45.403333333333336,141.80166666666668
宗谷,11091,官,本泊,ﾓﾄﾄﾞﾏﾘ,利尻空港,利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所,45,14.5,141,11.2,30,10,－,平15.1.1,－,日照・湿度・気圧を除く,45.24166666666667,141.18666666666667
宗谷,11291,官,北見枝幸,ｷﾀﾐｴｻｼ,枝幸町枝幸,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44,56.4,142,35.1,7,17.2,－,#昭51.1.1,11917,－,44.94,142.585
上川,12442,官,旭川,ｱｻﾋｶﾜ,旭川市宮前１条,旭川市宮前1条　旭川地方気象台,43,45.4,142,22.3,120,47,－,平16.9.9,12927,－,43.75666666666667,142.37166666666667
上川,12501,官,東神楽,ﾋｶﾞｼｶｸﾞﾗ,旭川空港,上川郡東神楽町東2線　旭川航空気象観測所,43,40.2,142,26.8,211,10,－,平15.1.1,12932,日照・湿度・気圧を除く,43.67,142.44666666666666
留萌,13181,官,羽幌,ﾊﾎﾞﾛ,羽幌町南３条,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,141,42.0,8,21.6,－,#昭51.1.1,13907,－,44.36333333333334,141.7
留萌,13277,官,留萌,ﾙﾓｲ,留萌市大町,留萌市大町　留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,－,昭55.6.21,13915,－,43.945,141.63166666666666
石狩,14163,官,札幌,ｻｯﾎﾟﾛ,札幌市中央区,札幌市中央区北2条西　札幌管区気象台,43,3.6,141,19.7,17,－,－,平13.9.26,14913,気温、雨、日照,43.06,141.32833333333335
石狩,14296,官,千歳,ﾁﾄｾ,新千歳空港,千歳市美々　新千歳航空測候所,42,46.5,141,41.5,22,10,－,平15.1.1,14923,日照・湿度・気圧を除く,42.775,141.69166666666666
