ダウンロードした時刻：2024/05/28 13:23:20

,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷
,宗谷岬,宗谷岬,宗谷岬,宗谷岬,宗谷岬,宗谷岬,宗谷岬,宗谷岬,宗谷岬,宗谷岬,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,礼文,礼文,礼文,礼文,礼文,礼文,礼文,礼文,礼文,礼文,声問,声問,声問,声問,声問,声問,声問,声問,声問,声問,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,浜鬼志別,本泊,本泊,本泊,本泊,本泊,本泊,本泊,本泊,本泊,本泊,沼川,沼川,沼川,沼川,沼川,沼川,沼川,沼川,沼川,沼川,沓形,沓形,沓形,沓形,沓形,沓形,沓形,沓形,沓形,沓形,豊富,豊富,豊富,豊富,豊富,豊富,豊富,豊富,豊富,豊富,浜頓別,浜頓別,浜頓別,浜頓別,浜頓別,浜頓別,浜頓別,浜頓別,浜頓別,浜頓別,中頓別,中頓別,中頓別,中頓別,中頓別,中頓別,中頓別,中頓別,中頓別,中頓別,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,北見枝幸,歌登,歌登,歌登,歌登,歌登,歌登,歌登,歌登,歌登,歌登
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,-6.1,8,1,-4.5,8,28.5,5,1,23.5,8,-5.7,8,1,-4.3,8,108.5,0,8,1,84.6,0,8,-6.3,8,1,-4.6,8,69.5,8,1,73.4,8,-6.9,8,1,-5.6,8,15.0,8,1,,0,-7.5,8,1,-5.9,8,50.0,8,1,61.1,8,-5.9,8,1,-4.5,8,20.5,8,1,,0,-8.4,8,1,-6.9,8,47.0,8,1,89.2,8,-5.3,8,1,-4.0,8,42.5,8,1,46.4,8,-7.5,8,1,-6.1,8,33.5,8,1,65.2,8,-7.8,8,1,-6.3,8,22.0,8,1,62.1,8,-10.0,8,1,-8.4,8,37.5,8,1,92.4,8,-6.9,8,1,-5.5,8,39.0,0,8,1,75.6,0,8,-9.9,8,1,-8.2,8,38.5,8,1,98.3,8
2023/2,-5.4,8,1,-4.6,8,20.5,8,1,18.4,8,-4.7,8,1,-4.3,8,67.5,0,5,1,60.6,0,8,-4.5,8,1,-4.3,8,33.5,8,1,51.6,8,-6.6,8,1,-5.6,8,15.0,8,1,,0,-6.8,8,1,-6.0,8,16.0,8,1,42.7,8,-4.5,8,1,-4.4,8,10.5,8,1,,0,-8.3,8,1,-6.9,8,33.0,8,1,66.5,8,-3.9,8,1,-3.8,8,16.5,8,1,33.3,8,-6.8,8,1,-6.1,8,35.0,8,1,48.0,8,-6.9,8,1,-6.3,8,24.5,8,1,46.7,8,-9.9,8,1,-8.5,8,47.0,8,1,66.3,8,-6.0,8,1,-5.4,8,50.0,0,8,1,56.5,0,8,-9.8,8,1,-8.2,8,51.0,8,1,67.3,8
2023/3,2.3,8,1,-1.1,8,38.5,8,1,21.5,8,3.1,8,1,-0.6,8,38.0,0,8,1,55.1,0,8,2.7,8,1,-0.4,8,44.5,8,1,44.1,8,2.1,8,1,-1.5,8,23.0,8,1,,0,2.0,8,1,-2.1,8,21.5,8,1,45.1,8,3.2,8,1,-0.6,8,49.5,8,1,,0,1.6,8,1,-2.5,8,19.0,8,1,59.0,8,3.3,8,1,-0.3,8,44.5,8,1,34.8,8,2.3,8,1,-1.9,8,51.5,8,1,46.5,8,2.5,8,1,-2.0,8,28.0,8,1,50.2,8,1.7,8,1,-3.2,8,36.0,8,1,72.2,8,2.9,8,1,-1.5,8,27.5,0,8,1,64.8,0,8,1.4,8,1,-2.9,8,32.5,8,1,71.0,8
2023/4,5.0,8,1,3.9,8,75.0,8,1,31.0,8,6.0,8,1,4.5,8,99.5,0,8,1,50.3,0,8,5.3,8,1,4.1,8,100.5,8,1,49.2,8,5.4,8,1,3.7,8,19.0,5,1,,0,5.2,8,1,3.5,8,80.5,8,1,42.7,8,5.8,8,1,4.4,8,47.5,8,1,,0,5.2,8,1,3.5,8,76.5,8,1,52.5,8,5.9,8,1,4.6,8,98.0,8,1,41.2,8,5.7,8,1,4.1,8,88.5,8,1,46.6,8,5.7,8,1,4.0,8,66.0,8,1,47.6,8,5.7,8,1,3.5,8,101.5,8,1,56.7,8,6.1,8,1,4.3,8,72.5,0,8,1,56.4,0,8,5.3,8,1,3.6,8,121.0,8,1,55.5,8
2023/5,9.6,8,1,8.2,8,17.5,8,1,58.0,8,10.6,8,1,9.1,8,21.5,0,8,1,68.1,0,8,9.4,8,1,8.5,8,22.5,8,1,79.7,8,10.2,8,1,8.9,8,9.0,8,1,,0,9.8,8,1,8.2,8,21.5,8,1,62.5,8,10.4,8,1,9.6,8,24.0,8,1,,0,10.0,8,1,8.9,8,29.0,8,1,66.1,8,10.1,8,1,9.6,8,23.0,8,1,68.4,8,10.4,8,1,9.6,8,23.0,8,1,61.8,8,11.0,8,1,9.2,8,16.0,8,1,61.0,8,11.4,8,1,9.7,8,29.0,8,1,68.4,8,10.9,8,1,9.1,8,32.0,0,8,1,69.1,0,8,11.0,8,1,9.5,8,33.0,8,1,69.9,8
2023/6,14.2,8,1,11.9,8,101.0,8,1,58.8,8,15.7,8,1,13.0,8,90.5,0,8,1,65.8,0,8,15.1,8,1,12.8,8,72.5,8,1,84.6,8,15.4,8,1,13.1,8,57.5,8,1,65.4,8,14.3,8,1,11.8,8,68.5,8,1,63.0,8,15.9,8,1,13.7,8,78.5,8,1,62.5,8,15.5,8,1,12.9,8,78.5,8,1,60.5,8,16.2,5,1,13.7,8,82.0,8,1,62.1,8,15.9,8,1,13.7,8,54.5,8,1,59.8,8,15.7,8,1,12.8,8,51.5,8,1,65.0,8,16.4,8,1,13.8,8,110.0,8,1,66.6,8,14.9,8,1,12.4,8,91.5,0,8,1,82.4,0,8,15.8,8,1,13.4,8,87.5,8,1,82.9,8
