ダウンロードした時刻：2024/06/06 19:53:18

,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川
,中川,中川,中川,中川,中川,中川,中川,中川,中川,中川,音威子府,音威子府,音威子府,音威子府,音威子府,音威子府,音威子府,音威子府,音威子府,音威子府,美深,美深,美深,美深,美深,美深,美深,美深,美深,美深,名寄,名寄,名寄,名寄,名寄,名寄,名寄,名寄,名寄,名寄,下川,下川,下川,下川,下川,下川,下川,下川,下川,下川,士別,士別,士別,士別,士別,士別,士別,士別,士別,士別,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,和寒,和寒,和寒,和寒,和寒,和寒,和寒,和寒,和寒,和寒,江丹別,江丹別,江丹別,江丹別,江丹別,江丹別,江丹別,江丹別,江丹別,江丹別,比布,比布,比布,比布,比布,比布,比布,比布,比布,比布,上川,上川,上川,上川,上川,上川,上川,上川,上川,上川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,東川,東川,東川,東川,東川,東川,東川,東川,東川,東川,東神楽,東神楽,東神楽,東神楽,東神楽,東神楽,東神楽,東神楽,東神楽,東神楽,志比内,志比内,志比内,志比内,志比内,志比内,志比内,志比内,志比内,志比内,美瑛,美瑛,美瑛,美瑛,美瑛,美瑛,美瑛,美瑛,美瑛,美瑛,上富良野,上富良野,上富良野,上富良野,上富良野,上富良野,上富良野,上富良野,上富良野,上富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,富良野,麓郷,麓郷,麓郷,麓郷,麓郷,麓郷,麓郷,麓郷,麓郷,麓郷,幾寅,幾寅,幾寅,幾寅,幾寅,幾寅,幾寅,幾寅,幾寅,幾寅,占冠,占冠,占冠,占冠,占冠,占冠,占冠,占冠,占冠,占冠,朱鞠内,朱鞠内,朱鞠内,朱鞠内,朱鞠内,朱鞠内,朱鞠内,朱鞠内,朱鞠内,朱鞠内,幌加内,幌加内,幌加内,幌加内,幌加内,幌加内,幌加内,幌加内,幌加内,幌加内
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,79.5,8,1,89.2,8,-8.8,8,1,-7.5,8,106.0,8,1,106.7,8,-9.3,8,1,-8.0,8,31.5,8,1,81.0,8,-10.0,8,1,-8.6,8,46.5,8,1,49.4,8,-10.0,8,1,-8.6,8,22.5,8,1,36.8,8,-10.2,8,1,-8.8,8,50.5,8,1,64.2,8,-9.8,8,1,-8.5,8,25.0,8,1,48.2,8,-9.4,8,1,-8.0,8,34.0,5,1,61.2,8,-8.9,5,1,-8.3,8,97.0,8,1,96.8,8,-10.1,8,1,-9.1,8,36.5,8,1,52.6,8,-9.6,8,1,-8.3,8,13.5,8,1,32.6,8,-10.0,8,1,-8.4,8,88.0,0,8,1,66.9,0,8,-8.3,8,1,-7.0,8,28.0,8,1,37.8,8,-8.6,8,1,-8.1,8,12.5,8,1,,0,-9.3,8,1,-8.2,8,28.5,8,1,42.7,8,-8.8,8,1,-8.3,8,40.5,8,1,41.1,8,-9.6,8,1,-8.7,8,27.0,8,1,44.8,8,-9.4,8,1,-8.1,8,30.0,8,1,44.3,8,-10.3,8,1,-8.3,8,33.5,8,1,47.0,8,-9.6,8,1,-8.5,8,26.5,8,1,38.4,8,-9.6,8,1,-8.4,8,40.5,8,1,46.6,8,-11.1,8,1,-9.8,8,104.0,8,1,136.6,8,-10.4,8,1,-9.1,8,67.0,8,1,120.9,8,-9.8,8,1,-8.4,8
2023/2,53.5,8,1,60.6,8,-8.2,8,1,-7.2,8,56.0,8,1,70.7,8,-8.4,8,1,-7.7,8,20.0,8,1,60.2,8,-8.6,8,1,-8.0,8,30.5,8,1,38.7,8,-8.5,8,1,-8.0,8,22.0,8,1,28.2,8,-8.7,8,1,-8.2,8,36.0,8,1,49.2,8,-8.3,8,1,-7.7,8,32.5,8,1,37.1,8,-7.9,8,1,-7.4,8,22.5,8,1,52.7,8,-7.7,8,1,-7.6,8,69.5,8,1,78.6,8,-8.4,8,1,-8.4,8,28.5,8,1,41.7,8,-7.8,8,1,-7.3,8,20.5,8,1,27.1,8,-8.2,8,1,-7.8,8,48.5,0,8,1,54.7,0,8,-6.3,8,1,-6.0,8,28.0,8,1,33.2,8,-6.8,8,1,-7.3,8,18.5,8,1,,0,-7.6,8,1,-7.3,8,32.5,8,1,36.8,8,-7.2,8,1,-7.5,8,41.5,8,1,38.3,8,-7.9,8,1,-7.9,8,32.5,8,1,38.0,8,-7.1,8,1,-7.2,8,34.0,8,1,36.5,8,-7.9,8,1,-7.4,8,37.0,8,1,38.3,8,-7.6,8,1,-7.7,8,21.0,8,1,32.8,8,-7.4,8,1,-7.6,8,38.0,8,1,43.7,8,-9.0,8,1,-8.9,8,41.5,8,1,109.8,8,-9.2,8,1,-8.6,8,15.0,8,1,97.3,8,-8.8,8,1,-7.7,8
2023/3,41.0,8,1,63.6,8,2.1,8,1,-2.4,8,42.5,8,1,71.4,8,1.8,8,1,-2.7,8,18.5,8,1,60.2,8,1.0,8,1,-3.0,8,48.0,8,1,44.2,8,1.0,8,1,-3.0,8,39.5,8,1,37.3,8,1.0,8,1,-3.3,8,47.0,8,1,52.2,8,1.3,8,1,-2.8,8,49.0,8,1,47.3,8,1.4,8,1,-2.9,8,51.5,8,1,58.6,8,2.0,8,1,-2.6,8,61.5,8,1,76.0,8,0.4,8,1,-3.3,8,44.0,8,1,47.5,8,1.2,8,1,-2.5,8,56.5,8,1,41.8,8,0.1,8,1,-3.3,8,46.0,0,8,1,55.0,0,8,2.5,8,1,-1.4,8,40.0,8,1,39.1,8,2.2,8,1,-2.5,8,43.5,8,1,,0,1.5,8,1,-2.2,8,48.0,8,1,50.0,8,1.4,8,1,-2.9,8,52.5,8,1,47.0,8,1.1,8,1,-3.0,8,42.0,8,1,45.6,8,1.8,8,1,-2.2,8,52.5,8,1,49.8,8,1.6,8,1,-2.2,8,51.0,8,1,53.2,8,1.2,8,1,-2.9,8,60.5,8,1,54.2,8,0.7,8,1,-2.8,8,106.5,8,1,65.6,8,-0.3,8,1,-3.7,8,66.5,8,1,100.6,8,0.0,8,1,-4.0,8,35.0,8,1,80.3,8,0.4,8,1,-3.0,8
2023/4,80.0,8,1,54.0,8,6.1,8,1,3.8,8,72.0,8,1,56.8,8,5.4,8,1,3.6,8,24.0,8,1,47.5,8,5.7,8,1,3.8,8,67.5,8,1,45.5,8,5.9,8,1,3.8,8,74.0,8,1,42.8,8,5.6,8,1,3.6,8,82.5,8,1,46.7,8,6.2,8,1,4.2,8,83.5,8,1,49.4,8,6.1,8,1,3.9,8,90.0,8,1,53.8,8,6.8,8,1,4.5,8,99.0,8,1,62.7,8,5.7,8,1,3.1,8,84.0,8,1,48.7,8,6.5,8,1,4.6,8,100.0,8,1,51.2,8,5.2,8,1,3.3,8,84.5,0,8,1,48.5,0,8,7.6,8,1,5.6,8,81.0,8,1,44.7,8,7.2,8,1,4.8,8,82.5,8,1,,0,6.7,8,1,4.5,8,87.0,8,1,54.3,8,6.4,8,1,3.9,8,94.0,8,1,49.5,8,6.5,8,1,4.4,8,84.0,8,1,47.8,8,7.6,8,1,5.1,8,107.5,8,1,55.4,8,7.5,8,1,5.3,8,101.0,8,1,59.9,8,6.5,8,1,4.1,8,136.5,8,1,72.4,8,6.3,8,1,3.8,8,182.5,8,1,85.9,8,5.5,8,1,3.0,8,93.5,8,1,72.4,8,4.0,8,1,2.3,8,72.5,8,1,63.4,8,5.0,8,1,3.2,8
2023/5,42.0,8,1,68.6,8,11.5,8,1,10.0,8,42.5,8,1,65.5,8,11.6,8,1,10.1,8,21.5,8,1,60.1,8,11.7,8,1,10.7,8,38.5,8,1,60.6,8,11.8,8,1,10.8,8,45.5,8,1,62.9,8,11.2,8,1,10.2,8,35.0,8,1,62.9,8,12.1,8,1,11.2,8,39.0,8,1,69.5,8,11.9,8,1,10.9,8,27.0,8,1,68.3,8,12.7,8,1,11.6,8,39.0,8,1,80.0,8,11.8,8,1,10.6,8,38.5,8,1,74.4,8,12.5,8,1,11.8,8,73.0,8,1,83.4,8,10.9,8,1,10.4,8,46.5,0,8,1,66.6,0,8,13.3,8,1,12.3,8,51.0,8,1,69.5,8,13.1,8,1,11.8,8,41.5,8,1,56.7,8,12.1,8,1,11.6,8,52.5,8,1,76.5,8,12.2,8,1,11.0,8,51.5,8,1,68.5,8,12.1,8,1,11.3,8,31.5,8,1,63.6,8,13.1,8,1,12.1,8,31.0,8,1,67.5,8,12.9,8,1,12.1,8,35.5,8,1,67.3,8,11.8,8,1,10.9,8,45.0,8,1,82.8,8,11.4,8,1,10.4,8,69.0,8,1,104.4,8,10.8,8,1,9.9,8,67.0,8,1,81.4,8,9.8,8,1,8.7,8,18.5,8,1,81.0,8,11.4,8,1,10.5,8
2023/6,58.5,8,1,60.4,8,17.0,8,1,14.2,8,80.0,8,1,60.6,8,16.7,8,1,14.5,8,102.0,8,1,64.8,8,17.2,8,1,15.4,8,97.5,8,1,65.2,8,17.4,8,1,15.6,8,80.5,8,1,64.1,8,16.7,8,1,14.8,8,68.5,8,1,66.3,8,19.2,4,1,15.8,8,125.0,8,1,73.1,8,17.7,8,1,15.8,8,85.5,8,1,65.1,8,18.3,8,1,16.3,8,75.5,8,1,71.1,8,17.7,8,1,15.7,8,128.5,8,1,70.7,8,18.2,8,1,16.6,8,93.5,8,1,81.5,8,16.7,8,1,15.3,8,104.5,0,8,1,71.4,0,8,18.9,8,1,17.0,8,66.0,8,1,78.0,8,18.9,8,1,16.5,8,84.5,5,1,72.9,8,18.0,8,1,16.4,8,76.5,8,1,79.8,8,17.8,8,1,15.5,8,84.0,8,1,69.5,8,17.6,8,1,15.9,8,79.0,8,1,73.7,8,18.9,8,1,16.8,8,83.0,8,1,64.5,8,18.5,8,1,16.8,8,86.5,8,1,64.7,8,17.6,8,1,15.6,8,85.5,8,1,71.0,8,16.9,8,1,14.9,8,111.5,8,1,77.7,8,16.2,8,1,14.8,8,94.5,8,1,76.4,8,15.6,8,1,14.1,8,55.0,8,1,71.1,8,17.4,8,1,15.7,8
