ダウンロードした時刻：2024/06/06 19:56:08

,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩
,浜益,浜益,浜益,浜益,浜益,浜益,浜益,浜益,浜益,浜益,厚田,厚田,厚田,厚田,厚田,厚田,厚田,厚田,厚田,厚田,新篠津,新篠津,新篠津,新篠津,新篠津,新篠津,新篠津,新篠津,新篠津,新篠津,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,江別,江別,江別,江別,江別,江別,江別,江別,江別,江別,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,恵庭島松,恵庭島松,恵庭島松,恵庭島松,恵庭島松,恵庭島松,恵庭島松,恵庭島松,恵庭島松,恵庭島松,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,支笏湖畔,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,54.0,8,1,92.3,8,-4.1,8,1,-3.3,8,69.5,8,1,88.8,8,-4.7,8,1,-3.8,8,126.0,8,1,107.0,8,-7.6,8,1,-6.1,8,59.5,8,1,84.9,8,-5.1,8,1,-3.7,8,91.0,8,1,89.1,8,-6.1,8,1,-4.6,8,81.0,8,1,67.1,8,-7.6,8,1,-6.4,8,71.5,0,8,1,108.4,0,8,-4.4,8,1,-3.2,8,39.0,8,1,53.1,8,-7.7,8,1,-6.2,8,54.5,8,1,89.4,8,-5.8,8,1,-4.8,8,8.5,8,1,25.6,8,-7.1,8,1,-6.1,8
2023/2,64.5,8,1,64.3,8,-3.3,8,1,-3.1,8,76.0,8,1,58.7,8,-3.8,8,1,-3.5,8,62.0,8,1,76.7,8,-6.0,8,1,-5.4,8,69.0,8,1,66.5,8,-3.3,8,1,-3.3,8,73.0,8,1,65.2,8,-4.6,8,1,-4.2,8,42.0,8,1,47.9,8,-5.9,8,1,-5.5,8,104.0,0,8,1,91.9,0,8,-2.7,8,1,-2.7,8,42.5,8,1,52.7,8,-5.5,8,1,-5.5,8,71.0,8,1,72.2,8,-4.3,8,1,-4.5,8,12.5,8,1,30.1,8,-5.2,8,1,-5.3,8
2023/3,62.0,8,1,54.1,8,3.6,8,1,0.3,8,45.0,8,1,50.2,8,3.0,8,1,-0.1,8,40.0,8,1,49.7,8,1.9,8,1,-1.2,8,27.0,8,1,53.4,8,3.8,8,1,0.4,8,35.0,8,1,46.3,8,2.6,8,1,-0.3,8,34.5,8,1,39.1,8,2.3,8,1,-0.8,8,35.5,0,8,1,77.6,0,8,4.9,8,1,1.1,8,49.0,8,1,53.5,8,2.6,8,1,-0.9,8,78.0,8,1,93.8,8,2.4,8,1,-1.0,8,76.0,8,1,45.8,8,2.8,8,1,-0.3,8
2023/4,90.5,8,1,53.1,8,7.8,8,1,5.9,8,69.0,8,1,51.9,8,7.7,8,1,5.4,8,63.5,8,1,45.4,8,7.6,8,1,5.4,8,49.0,8,1,46.7,8,8.5,8,1,6.5,8,48.5,8,1,41.0,8,7.8,8,1,5.8,8,64.0,8,1,42.4,8,7.7,8,1,5.6,8,61.0,0,8,1,54.6,0,8,9.2,8,1,7.3,8,96.0,8,1,56.9,8,7.5,8,1,5.4,8,141.0,8,1,103.0,8,6.7,8,1,4.4,8,112.0,8,1,66.8,8,7.7,8,1,5.5,8
2023/5,41.5,8,1,73.7,8,11.9,8,1,11.6,8,32.0,8,1,79.0,8,11.9,8,1,11.2,8,35.0,8,1,73.2,8,12.1,8,1,11.5,8,27.5,8,1,51.9,8,12.6,8,1,12.2,8,32.5,8,1,59.7,8,11.8,8,1,11.4,8,34.5,8,1,56.1,8,11.8,8,1,11.4,8,21.5,0,8,1,55.5,0,8,13.8,8,1,13.0,8,41.0,8,1,82.4,8,11.7,8,1,11.1,8,67.5,8,1,143.9,8,11.2,8,1,9.9,8,48.5,8,1,89.0,8,11.7,8,1,11.1,8
2023/6,65.0,8,1,57.7,8,18.1,8,1,16.1,8,66.5,8,1,61.7,8,17.8,8,1,15.6,8,95.0,8,1,65.1,8,17.5,8,1,15.8,8,85.0,8,1,52.1,8,18.5,8,1,16.2,8,86.5,8,1,55.2,8,17.5,8,1,15.6,8,79.0,8,1,83.1,8,17.1,5,1,15.7,8,133.5,0,8,1,60.4,0,8,19.3,8,1,17.0,8,115.0,8,1,85.5,8,16.9,8,1,15.2,8,203.0,8,1,138.0,8,16.0,8,1,14.0,8,140.0,8,1,95.7,8,16.7,8,1,15.1,8
