ダウンロードした時刻：2024/06/06 20:27:38

,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別,網走・北見・紋別
,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,興部,興部,興部,興部,興部,興部,興部,興部,興部,興部,西興部,西興部,西興部,西興部,西興部,西興部,西興部,西興部,西興部,西興部,紋別,紋別,紋別,紋別,紋別,紋別,紋別,紋別,紋別,紋別,紋別,紋別,紋別小向,紋別小向,紋別小向,紋別小向,紋別小向,紋別小向,紋別小向,紋別小向,紋別小向,紋別小向,湧別,湧別,湧別,湧別,湧別,湧別,湧別,湧別,湧別,湧別,滝上,滝上,滝上,滝上,滝上,滝上,滝上,滝上,滝上,滝上,常呂,常呂,常呂,常呂,常呂,常呂,常呂,常呂,常呂,常呂,遠軽,遠軽,遠軽,遠軽,遠軽,遠軽,遠軽,遠軽,遠軽,遠軽,佐呂間,佐呂間,佐呂間,佐呂間,佐呂間,佐呂間,佐呂間,佐呂間,佐呂間,佐呂間,網走,網走,網走,網走,網走,網走,網走,網走,網走,網走,網走,網走,宇登呂,宇登呂,宇登呂,宇登呂,宇登呂,宇登呂,宇登呂,宇登呂,宇登呂,宇登呂,白滝,白滝,白滝,白滝,白滝,白滝,白滝,白滝,白滝,白滝,生田原,生田原,生田原,生田原,生田原,生田原,生田原,生田原,生田原,生田原,北見,北見,北見,北見,北見,北見,北見,北見,北見,北見,女満別,女満別,女満別,女満別,女満別,女満別,女満別,女満別,女満別,女満別,小清水,小清水,小清水,小清水,小清水,小清水,小清水,小清水,小清水,小清水,斜里,斜里,斜里,斜里,斜里,斜里,斜里,斜里,斜里,斜里,留辺蘂,留辺蘂,留辺蘂,留辺蘂,留辺蘂,留辺蘂,留辺蘂,留辺蘂,留辺蘂,留辺蘂,境野,境野,境野,境野,境野,境野,境野,境野,境野,境野,美幌,美幌,美幌,美幌,美幌,美幌,美幌,美幌,美幌,美幌,津別,津別,津別,津別,津別,津別,津別,津別,津別,津別
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,20.5,0,8,1,43.3,0,8,-7.4,8,1,-5.9,8,17.5,8,1,49.3,8,-8.1,8,1,-6.6,8,10.5,8,1,57.4,8,-9.3,8,1,-7.8,8,24.5,0,8,1,44.4,0,8,-6.6,8,1,-5.2,8,,1,1,,0,-7.0,8,1,-5.8,8,5.0,8,1,32.0,8,-7.8,8,1,-6.6,8,6.5,8,1,55.4,8,-9.6,8,1,-8.3,8,3.0,8,1,30.3,8,-7.5,8,1,-6.5,8,14.5,8,1,53.4,8,-10.0,8,1,-8.0,8,4.5,8,1,39.3,8,-10.0,8,1,-8.5,8,31.0,0,8,1,53.8,0,8,-6.5,8,1,-5.1,8,42.5,8,1,76.9,8,-6.4,8,1,-5.3,8,13.0,8,1,37.5,8,-9.6,8,1,-8.5,8,8.0,8,1,40.3,8,-11.5,8,1,-9.0,8,2.0,8,1,39.3,8,-11.6,8,1,-8.0,8,4.0,8,1,,0,-9.5,8,1,-7.9,8,7.5,8,1,36.2,8,-7.9,8,1,-6.7,8,8.5,8,1,35.1,8,-7.7,8,1,-6.5,8,6.5,8,1,30.0,8,-10.8,8,1,-9.2,8,7.0,8,1,38.6,8,-11.1,8,1,-9.3,8,7.0,8,1,40.2,8,-10.3,8,1,-8.3,8,3.5,8,1,41.6,8,-10.7,8,1,-8.5,8
2023/2,56.5,0,8,1,36.0,0,8,-6.4,8,1,-6.1,8,33.0,8,1,36.8,8,-7.1,8,1,-6.7,8,29.0,8,1,41.5,8,-8.2,8,1,-7.3,8,52.5,0,8,1,33.2,0,8,-5.6,8,1,-5.3,8,,1,1,,0,-6.0,8,1,-5.9,8,22.5,8,1,23.1,8,-7.0,8,1,-6.8,8,19.0,8,1,38.2,8,-8.2,8,1,-7.7,8,8.5,8,1,19.6,8,-7.1,8,1,-6.9,8,34.5,8,1,34.0,8,-8.4,8,1,-7.7,8,19.0,8,1,27.5,8,-8.5,8,1,-8.4,8,45.5,0,8,1,41.9,0,8,-5.6,8,1,-5.4,8,34.0,8,1,54.9,8,-6.3,8,1,-6.0,8,21.5,8,1,29.9,8,-7.6,8,1,-7.8,8,19.5,8,1,27.7,8,-9.4,8,1,-8.6,8,13.0,8,1,29.0,8,-9.2,8,1,-7.4,8,12.0,8,1,,0,-7.8,8,1,-7.4,8,16.5,8,1,24.2,8,-6.6,8,1,-6.8,8,13.0,8,1,24.4,8,-6.9,8,1,-7.0,8,9.0,8,1,22.3,8,-9.2,8,1,-8.7,8,15.0,8,1,28.9,8,-8.9,8,1,-8.6,8,18.5,8,1,27.4,8,-8.2,8,1,-7.9,8,17.5,8,1,28.5,8,-8.2,8,1,-7.9,8
2023/3,17.5,0,8,1,39.0,0,8,2.8,8,1,-1.7,8,22.0,8,1,38.4,8,2.3,8,1,-2.0,8,27.0,8,1,47.7,8,1.6,8,1,-2.6,8,20.0,0,8,1,35.4,0,8,3.3,8,1,-1.2,8,,1,1,,0,3.0,8,1,-1.3,8,17.5,8,1,25.5,8,2.5,8,1,-2.2,8,27.5,8,1,42.2,8,1.6,8,1,-2.9,8,17.0,8,1,22.0,8,2.2,8,1,-2.2,8,13.5,8,1,34.6,8,2.0,8,1,-2.4,8,17.5,8,1,28.3,8,1.8,8,1,-2.9,8,38.5,0,8,1,39.3,0,8,2.7,8,1,-1.3,8,90.5,8,1,72.2,8,2.7,8,1,-2.0,8,20.5,8,1,39.4,8,1.0,8,1,-3.6,8,16.0,8,1,30.7,8,1.3,8,1,-3.2,8,22.0,8,1,35.1,8,1.6,8,1,-1.9,8,31.5,8,1,,0,2.0,8,1,-1.7,8,44.5,8,1,34.9,8,2.3,8,1,-2.0,8,61.5,8,1,37.0,8,2.1,8,1,-2.3,8,18.5,8,1,31.6,8,1.0,8,1,-3.6,8,26.0,8,1,37.8,8,1.7,8,1,-3.0,8,38.0,8,1,33.1,8,1.6,8,1,-2.5,8,31.5,8,1,33.4,8,2.1,8,1,-2.3,8
2023/4,73.5,0,8,1,44.6,0,8,6.2,8,1,4.1,8,82.0,8,1,46.5,8,6.2,8,1,4.1,8,83.0,8,1,46.0,8,5.9,8,1,4.0,8,64.5,0,8,1,45.7,0,8,6.6,8,1,4.6,8,31.5,4,1,,0,6.5,8,1,4.3,8,76.0,8,1,38.6,8,6.2,8,1,4.3,8,72.0,8,1,42.4,8,6.2,8,1,4.0,8,65.0,8,1,35.7,8,6.5,8,1,4.3,8,72.5,8,1,42.4,8,6.6,8,1,4.6,8,74.0,8,1,42.0,8,6.5,8,1,4.2,8,66.5,0,8,1,51.2,0,8,6.7,8,1,4.5,8,115.5,8,1,98.2,8,6.4,8,1,4.0,8,72.0,8,1,38.1,8,5.1,8,1,3.1,8,59.5,8,1,39.6,8,6.4,8,1,3.9,8,67.0,8,1,45.0,8,6.9,8,1,5.1,8,62.0,8,1,,0,6.8,8,1,4.6,8,56.0,8,1,50.7,8,6.6,8,1,4.4,8,85.5,8,1,52.2,8,6.7,8,1,4.1,8,72.0,8,1,41.2,8,6.2,8,1,3.7,8,84.5,8,1,47.1,8,6.9,8,1,4.3,8,68.0,8,1,49.3,8,6.3,8,1,4.3,8,68.0,8,1,48.0,8,6.9,8,1,4.7,8
2023/5,16.5,0,8,1,61.1,0,8,10.9,8,1,9.0,8,15.0,8,1,61.7,8,11.0,8,1,9.1,8,23.5,8,1,61.7,8,11.5,8,1,10.1,8,10.0,0,8,1,58.4,0,8,11.7,8,1,9.6,8,9.0,8,1,,0,11.5,8,1,9.5,8,16.0,8,1,53.7,8,11.6,8,1,9.7,8,18.0,8,1,55.2,8,11.8,8,1,10.3,8,7.0,8,1,54.8,8,11.2,8,1,9.9,8,15.5,8,1,56.1,8,12.0,8,1,10.7,8,15.5,8,1,57.6,8,11.6,8,1,10.3,8,21.5,0,8,1,64.1,0,8,11.3,8,1,9.8,8,30.0,8,1,104.6,8,11.3,8,1,9.8,8,38.5,8,1,56.2,8,11.1,8,1,9.9,8,14.5,8,1,54.6,8,11.6,8,1,10.3,8,14.5,8,1,56.2,8,12.0,8,1,11.2,8,18.5,8,1,,0,11.8,8,1,10.5,8,10.0,8,1,60.7,8,11.5,8,1,10.1,8,19.0,8,1,60.2,8,11.2,8,1,9.8,8,8.0,8,1,54.5,8,11.5,8,1,10.3,8,11.0,8,1,58.2,8,12.0,8,1,10.6,8,16.5,8,1,58.5,8,11.5,8,1,10.2,8,14.5,8,1,56.3,8,12.0,8,1,10.8,8
2023/6,60.0,0,8,1,74.8,0,8,15.0,8,1,12.3,8,72.0,8,1,73.8,8,15.6,8,1,12.6,8,76.0,8,1,70.3,8,16.4,8,1,14.0,8,120.0,0,8,1,69.8,0,8,16.0,8,1,13.0,8,77.5,8,1,67.8,8,15.8,8,1,13.1,8,120.0,8,1,67.3,8,16.5,8,1,13.4,8,89.5,8,1,67.8,8,16.7,8,1,14.4,8,76.0,8,1,65.0,8,16.8,5,1,13.6,8,102.5,8,1,66.3,8,17.1,8,1,14.6,8,66.5,8,1,69.7,8,17.1,8,1,14.2,8,96.5,0,8,1,68.1,0,8,16.5,8,1,13.5,8,99.0,8,1,84.2,8,16.3,8,1,13.5,8,98.5,8,1,65.8,8,16.2,8,1,14.2,8,83.5,8,1,67.7,8,16.9,8,1,14.5,8,51.0,8,1,66.2,8,17.8,8,1,15.4,8,82.0,8,1,72.1,8,17.5,8,1,15.0,8,55.0,8,1,67.8,8,17.2,8,1,14.3,8,72.5,8,1,62.4,8,16.8,8,1,13.8,8,70.0,8,1,68.2,8,16.6,8,1,14.5,8,59.5,8,1,67.3,8,17.5,8,1,14.7,8,66.5,8,1,66.4,8,17.0,8,1,14.4,8,93.5,8,1,65.7,8,17.7,8,1,15.0,8
