ダウンロードした時刻：2024/06/06 20:29:22

,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室
,羅臼,羅臼,羅臼,羅臼,羅臼,羅臼,羅臼,羅臼,羅臼,羅臼,標津,標津,標津,標津,標津,標津,標津,標津,標津,標津,上標津,上標津,上標津,上標津,上標津,上標津,上標津,上標津,上標津,上標津,中標津,中標津,中標津,中標津,中標津,中標津,中標津,中標津,中標津,中標津,根室中標津,根室中標津,根室中標津,根室中標津,根室中標津,根室中標津,根室中標津,根室中標津,根室中標津,根室中標津,別海,別海,別海,別海,別海,別海,別海,別海,別海,別海,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,根室,納沙布,納沙布,納沙布,納沙布,納沙布,納沙布,納沙布,納沙布,納沙布,納沙布,厚床,厚床,厚床,厚床,厚床,厚床,厚床,厚床,厚床,厚床
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,75.0,8,1,89.7,8,-5.6,8,1,-4.5,8,8.0,8,1,38.0,8,-6.9,8,1,-5.4,8,10.0,8,1,45.1,8,-8.1,8,1,-6.7,8,10.0,8,1,44.0,8,-8.1,8,1,-6.6,8,2.5,8,1,,0,-8.6,8,1,-7.3,8,11.5,8,1,38.2,8,-8.2,8,1,-6.7,8,16.0,0,8,1,30.6,0,8,-4.5,8,1,-3.4,8,1.0,8,1,18.9,8,-3.8,8,1,-3.0,8,12.0,8,1,37.2,8,-7.6,8,1,-6.0,8
2023/2,56.0,8,1,66.6,8,-5.5,8,1,-4.8,8,17.5,8,1,28.0,8,-5.9,8,1,-5.5,8,14.5,8,1,37.9,8,-6.8,8,1,-6.4,8,20.5,5,1,32.0,8,-7.2,8,1,-6.5,8,5.5,8,1,,0,-7.7,8,1,-6.9,8,27.0,8,1,27.4,8,-7.5,8,1,-6.5,8,35.0,0,8,1,23.5,0,8,-4.2,8,1,-3.8,8,8.5,8,1,14.6,8,-3.8,8,1,-3.7,8,18.5,8,1,27.7,8,-6.7,8,1,-5.8,8
2023/3,102.0,8,1,93.9,8,1.4,8,1,-1.1,8,69.0,8,1,54.3,8,1.3,8,1,-1.6,8,49.0,8,1,57.8,8,1.1,8,1,-2.1,8,41.5,4,1,57.5,8,1.2,8,1,-2.0,8,52.0,8,1,,0,0.8,8,1,-2.1,8,78.0,8,1,55.2,8,1.4,8,1,-1.9,8,73.0,0,8,1,47.0,0,8,2.1,8,1,-0.8,8,56.0,8,1,37.4,8,1.9,8,1,-1.0,8,90.5,8,1,57.8,8,1.4,8,1,-1.7,8
2023/4,178.0,8,1,111.7,8,5.4,8,1,2.9,8,137.0,8,1,82.8,8,5.6,8,1,3.4,8,125.0,8,1,85.4,8,5.6,8,1,3.0,8,140.0,8,1,84.2,8,5.9,8,1,3.6,8,134.0,8,1,,0,5.7,8,1,3.3,8,147.0,8,1,79.0,8,6.2,8,1,3.6,8,105.0,0,8,1,64.4,0,8,6.1,8,1,3.5,8,42.5,8,1,53.9,8,5.5,8,1,3.0,8,147.5,8,1,78.8,8,5.7,8,1,3.3,8
2023/5,30.5,8,1,144.0,8,9.5,8,1,7.8,8,24.5,8,1,109.8,8,9.5,5,1,8.1,8,33.5,8,1,108.6,8,10.3,8,1,8.8,8,29.5,8,1,107.5,8,10.5,8,1,8.9,8,28.0,8,1,103.2,8,10.2,8,1,8.9,8,35.5,8,1,107.2,8,10.3,8,1,8.7,8,45.0,0,8,1,96.2,0,8,9.7,8,1,7.7,8,17.5,8,1,82.9,8,9.0,8,1,6.8,8,50.0,8,1,110.2,8,9.5,8,1,7.9,8
2023/6,91.0,8,1,119.4,8,14.1,8,1,11.5,8,57.5,8,1,111.9,8,14.0,5,1,11.5,8,63.0,5,1,107.6,8,15.2,8,1,12.8,8,56.5,8,1,103.9,8,15.3,8,1,12.6,8,64.0,8,1,110.3,8,15.0,8,1,12.8,8,54.0,5,1,111.4,8,15.5,5,1,12.3,8,64.0,0,8,1,103.0,0,8,14.3,8,1,10.9,8,38.5,8,1,93.6,8,13.6,8,1,10.1,8,44.5,8,1,117.1,8,14.4,8,1,11.5,8
