ダウンロードした時刻：2024/06/06 20:34:24

,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路
,川湯,川湯,川湯,川湯,川湯,川湯,川湯,川湯,川湯,川湯,弟子屈,弟子屈,弟子屈,弟子屈,弟子屈,弟子屈,弟子屈,弟子屈,弟子屈,弟子屈,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,阿寒湖畔,標茶,標茶,標茶,標茶,標茶,標茶,標茶,標茶,標茶,標茶,鶴居,鶴居,鶴居,鶴居,鶴居,鶴居,鶴居,鶴居,鶴居,鶴居,中徹別,中徹別,中徹別,中徹別,中徹別,中徹別,中徹別,中徹別,中徹別,中徹別,榊町,榊町,榊町,榊町,榊町,榊町,榊町,榊町,榊町,榊町,鶴丘,鶴丘,鶴丘,鶴丘,鶴丘,鶴丘,鶴丘,鶴丘,鶴丘,鶴丘,太田,太田,太田,太田,太田,太田,太田,太田,太田,太田,白糠,白糠,白糠,白糠,白糠,白糠,白糠,白糠,白糠,白糠,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,知方学,知方学,知方学,知方学,知方学,知方学,知方学,知方学,知方学,知方学
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,10.5,8,1,53.2,8,-11.0,8,1,-8.9,8,6.0,8,1,50.6,8,-9.2,8,1,-7.2,8,10.0,8,1,63.2,8,-11.7,8,1,-10.0,8,5.0,8,1,35.4,8,-9.6,8,1,-7.9,8,9.0,8,1,47.9,8,-8.5,8,1,-7.1,8,9.0,5,1,54.8,8,-8.9,5,1,-7.8,8,2.5,8,1,26.2,8,-6.7,8,1,-5.3,8,5.5,8,1,,0,-7.0,8,1,-5.5,8,17.5,8,1,39.7,8,-7.2,8,1,-5.8,8,7.5,8,1,38.3,8,-7.4,8,1,-6.2,8,18.0,0,8,1,40.4,0,8,-6.3,8,1,-4.8,8,7.0,8,1,21.7,8,-5.7,8,1,-4.5,8
2023/2,16.5,8,1,33.8,8,-9.0,8,1,-8.8,8,18.5,8,1,43.4,8,-7.7,8,1,-7.1,8,18.0,8,1,44.5,8,-9.7,8,1,-9.4,8,8.5,8,1,22.8,8,-8.1,8,1,-7.1,8,20.0,8,1,30.0,8,-7.2,8,1,-6.5,8,16.0,8,1,34.9,8,-7.7,8,1,-7.2,8,20.0,8,1,18.5,8,-5.9,8,1,-5.3,8,9.5,8,1,,0,-5.9,8,1,-5.0,8,28.0,8,1,26.3,8,-6.1,8,1,-5.6,8,12.0,8,1,25.6,8,-6.4,8,1,-5.9,8,20.0,0,8,1,24.8,0,8,-5.4,8,1,-4.3,8,16.5,8,1,14.4,8,-5.1,8,1,-4.7,8
2023/3,56.0,8,1,53.2,8,0.0,8,1,-3.5,8,55.5,8,1,64.5,8,0.5,8,1,-2.9,8,80.5,8,1,70.2,8,-0.2,8,1,-4.2,8,57.0,8,1,49.3,8,0.9,8,1,-2.1,8,71.0,8,1,70.1,8,1.5,8,1,-1.7,8,74.0,5,1,72.2,8,1.3,5,1,-2.1,8,92.5,8,1,50.1,8,1.6,8,1,-1.4,8,64.0,8,1,,0,1.9,8,1,-0.8,8,95.0,8,1,58.4,8,1.9,8,1,-1.6,8,97.5,8,1,53.9,8,1.4,8,1,-1.4,8,84.0,0,8,1,55.9,0,8,2.4,8,1,-0.4,8,75.5,8,1,42.5,8,1.7,8,1,-1.5,8
2023/4,120.5,8,1,71.3,8,5.1,8,1,2.8,8,138.0,8,1,82.3,8,5.4,8,1,2.8,8,155.0,8,1,90.8,8,4.8,8,1,2.3,8,128.5,8,1,76.3,8,5.7,8,1,3.6,8,142.0,8,1,87.7,8,6.2,8,1,4.0,8,147.5,8,1,96.4,8,6.5,8,1,3.9,8,141.0,8,1,73.1,8,5.8,8,1,3.3,8,127.0,8,1,,0,6.4,8,1,3.8,8,181.5,8,1,86.1,8,6.2,8,1,3.5,8,116.0,8,1,82.2,8,6.0,8,1,3.5,8,148.0,0,8,1,79.4,0,8,6.7,8,1,4.0,8,150.0,8,1,67.9,8,5.3,8,1,2.8,8
2023/5,25.0,8,1,81.5,8,9.8,8,1,8.7,8,20.0,8,1,99.9,8,9.9,8,1,8.5,8,24.5,8,1,105.7,8,10.0,8,1,8.5,8,27.0,8,1,105.7,8,10.1,8,1,9.0,8,36.0,8,1,122.8,8,10.7,8,1,9.4,8,56.0,8,1,139.2,8,11.2,8,1,9.6,8,46.0,8,1,103.2,8,9.4,8,1,7.6,8,36.5,8,1,122.6,8,10.3,8,1,8.9,8,48.5,8,1,114.9,8,10.2,8,1,8.3,8,30.0,8,1,123.1,8,9.7,8,1,8.3,8,38.5,0,8,1,115.7,0,8,10.0,8,1,8.6,8,42.0,8,1,98.8,8,8.9,8,1,7.2,8
2023/6,44.5,8,1,70.3,8,15.6,8,1,13.0,8,48.0,8,1,80.2,8,15.1,8,1,12.5,8,41.0,8,1,84.4,8,15.6,8,1,13.1,8,53.5,8,1,97.2,8,15.5,5,1,13.0,8,52.0,8,1,112.2,8,15.9,8,1,13.3,8,58.0,8,1,111.5,8,16.3,8,1,13.6,8,49.0,8,1,111.7,8,14.0,8,1,11.0,8,83.0,8,1,135.0,8,15.1,8,1,12.6,8,67.0,8,1,122.8,8,15.2,8,1,11.9,8,66.0,8,1,113.3,8,15.1,8,1,12.0,8,77.0,0,8,1,114.2,0,8,15.5,8,1,12.2,8,65.5,8,1,108.8,8,14.1,8,1,10.8,8
