ダウンロードした時刻：2024/06/06 20:39:58

,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振,胆振
,厚真,厚真,厚真,厚真,厚真,厚真,厚真,厚真,厚真,厚真,穂別,穂別,穂別,穂別,穂別,穂別,穂別,穂別,穂別,穂別,大滝,大滝,大滝,大滝,大滝,大滝,大滝,大滝,大滝,大滝,森野,森野,森野,森野,森野,森野,森野,森野,森野,森野,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,大岸,大岸,大岸,大岸,大岸,大岸,大岸,大岸,大岸,大岸,白老,白老,白老,白老,白老,白老,白老,白老,白老,白老,鵡川,鵡川,鵡川,鵡川,鵡川,鵡川,鵡川,鵡川,鵡川,鵡川,伊達,伊達,伊達,伊達,伊達,伊達,伊達,伊達,伊達,伊達,登別,登別,登別,登別,登別,登別,登別,登別,登別,登別,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,7.5,8,1,40.5,8,-7.8,8,1,-6.7,8,19.5,8,1,43.2,8,-9.7,8,1,-8.1,8,76.0,8,1,100.6,8,-8.3,8,1,-7.2,8,58.0,8,1,84.8,8,-6.2,8,1,-5.0,8,17.5,0,8,1,38.7,0,8,-5.1,8,1,-3.6,8,85.5,8,1,70.2,8,-5.4,8,1,-4.0,8,11.5,8,1,34.1,8,-4.6,8,1,-3.7,8,4.5,8,1,27.8,8,-7.1,8,1,-6.0,8,10.0,8,1,19.2,8,-4.2,8,1,-2.9,8,41.5,8,1,53.8,8,-5.3,8,1,-4.1,8,12.0,0,8,1,53.6,0,8,-2.7,8,1,-1.8,8
2023/2,29.0,8,1,32.8,8,-5.8,8,1,-5.9,8,40.0,8,1,37.1,8,-7.5,8,1,-7.1,8,75.0,8,1,84.9,8,-6.4,8,1,-6.6,8,66.0,8,1,75.2,8,-4.4,8,1,-4.6,8,32.0,0,8,1,37.5,0,8,-3.5,8,1,-3.2,8,79.5,8,1,64.2,8,-3.7,8,1,-3.6,8,26.0,8,1,35.9,8,-3.1,8,1,-3.3,8,16.0,8,1,25.6,8,-5.5,8,1,-5.3,8,25.0,8,1,17.7,8,-2.9,8,1,-2.6,8,61.0,8,1,53.5,8,-3.6,8,1,-3.8,8,42.5,0,8,1,44.3,0,8,-1.4,8,1,-1.6,8
2023/3,69.5,8,1,48.6,8,2.7,8,1,-0.9,8,110.0,8,1,58.5,8,1.8,8,1,-1.6,8,53.0,8,1,96.1,8,1.3,8,1,-2.7,8,98.0,8,1,107.8,8,2.0,8,1,-1.0,8,73.5,0,8,1,53.5,0,8,2.9,8,1,0.5,8,44.5,8,1,59.5,8,2.4,8,1,0.0,8,84.5,8,1,61.3,8,2.8,8,1,0.2,8,69.0,8,1,41.2,8,2.7,8,1,-0.4,8,18.0,8,1,36.6,8,3.6,8,1,1.4,8,77.5,8,1,75.8,8,3.0,8,1,-0.4,8,32.0,0,8,1,49.9,0,8,4.3,8,1,1.4,8
2023/4,117.0,8,1,68.5,8,7.4,8,1,5.2,8,161.0,8,1,83.1,8,7.1,8,1,5.1,8,133.5,8,1,100.7,8,6.1,8,1,3.3,8,173.5,8,1,142.5,8,6.9,8,1,4.4,8,105.5,0,8,1,75.7,0,8,7.4,8,1,5.3,8,82.0,8,1,69.2,8,6.8,8,1,5.2,8,119.5,8,1,89.3,8,7.1,8,1,4.9,8,98.0,8,1,65.7,8,7.3,8,1,5.1,8,63.5,8,1,60.1,8,7.6,8,1,6.2,8,154.5,8,1,110.1,8,7.2,8,1,5.1,8,76.5,0,8,1,70.0,0,8,8.1,8,1,6.1,8
2023/5,50.5,8,1,97.1,8,11.9,8,1,11.0,8,76.5,8,1,110.9,8,11.8,8,1,11.3,8,49.0,8,1,123.9,8,10.6,8,1,9.6,8,92.5,8,1,205.7,8,11.4,8,1,10.0,8,61.5,0,8,1,130.8,0,8,11.1,8,1,10.0,8,49.0,8,1,94.8,8,11.1,8,1,10.4,8,71.0,8,1,155.6,8,10.9,8,1,9.7,8,30.5,8,1,103.2,8,11.4,8,1,10.5,8,43.0,8,1,63.1,8,11.7,8,1,11.6,8,76.5,8,1,167.0,8,11.5,8,1,10.3,8,31.0,0,8,1,108.3,0,8,12.2,8,1,10.7,8
2023/6,126.0,8,1,84.3,8,17.2,8,1,15.2,8,92.5,8,1,86.4,8,17.2,8,1,15.6,8,142.5,5,1,81.3,8,15.6,5,1,14.3,8,355.0,8,1,197.4,8,15.9,8,1,14.1,8,152.0,0,8,1,111.6,0,8,15.9,8,1,14.0,8,155.0,8,1,84.8,8,16.3,8,1,14.8,8,221.0,8,1,149.2,8,15.6,8,1,13.8,8,60.5,8,1,86.7,8,16.7,8,1,14.6,8,117.5,8,1,66.2,8,17.1,8,1,15.9,8,309.5,8,1,183.0,8,15.9,8,1,14.0,8,158.5,0,8,1,109.1,0,8,16.5,8,1,14.4,8
