ダウンロードした時刻：2024/06/06 20:42:46

,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島,渡島
,長万部,長万部,長万部,長万部,長万部,長万部,長万部,長万部,長万部,長万部,八雲,八雲,八雲,八雲,八雲,八雲,八雲,八雲,八雲,八雲,森,森,森,森,森,森,森,森,森,森,川汲,川汲,川汲,川汲,川汲,川汲,川汲,川汲,川汲,川汲,北斗,北斗,北斗,北斗,北斗,北斗,北斗,北斗,北斗,北斗,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,木古内,木古内,木古内,木古内,木古内,木古内,木古内,木古内,木古内,木古内,松前,松前,松前,松前,松前,松前,松前,松前,松前,松前,熊石,熊石,熊石,熊石,熊石,熊石,熊石,熊石,熊石,熊石
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,62.5,8,1,73.2,8,-5.2,8,1,-4.1,8,98.0,8,1,74.2,8,-4.4,8,1,-3.3,8,36.5,8,1,48.4,8,-4.7,8,1,-3.7,8,77.5,8,1,72.9,8,-3.3,8,1,-2.1,8,76.5,8,1,67.0,8,-4.7,8,1,-3.5,8,89.5,0,8,1,77.4,0,8,-3.6,8,1,-2.4,8,42.0,8,1,34.6,8,-4.0,8,1,-2.6,8,105.5,8,1,96.9,8,-3.3,8,1,-2.3,8,101.5,8,1,87.1,8,-1.0,8,1,-0.5,8,60.0,8,1,84.9,8,-2.9,8,1,-2.0,8
2023/2,93.5,8,1,73.3,8,-3.4,8,1,-3.6,8,63.0,8,1,69.9,8,-2.4,8,1,-2.8,8,32.5,8,1,54.8,8,-2.8,8,1,-3.2,8,43.5,8,1,64.0,8,-1.5,8,1,-1.8,8,29.0,8,1,55.8,8,-2.4,8,1,-2.9,8,37.0,0,8,1,64.5,0,8,-1.6,8,1,-1.8,8,16.5,8,1,34.2,8,-2.0,8,1,-2.0,8,65.5,8,1,79.8,8,-1.7,8,1,-1.8,8,90.5,8,1,72.9,8,0.3,8,1,-0.1,8,60.0,8,1,71.0,8,-1.2,8,1,-1.4,8
2023/3,49.0,8,1,64.3,8,2.6,8,1,0.0,8,47.5,8,1,69.4,8,3.4,8,1,0.7,8,34.0,8,1,62.5,8,3.7,8,1,0.7,8,69.5,8,1,77.3,8,4.4,8,1,1.4,8,47.0,8,1,56.1,8,4.5,8,1,0.9,8,43.5,0,8,1,64.1,0,8,5.3,8,1,1.9,8,43.5,8,1,46.6,8,4.8,8,1,1.8,8,42.5,8,1,72.7,8,4.1,8,1,1.5,8,31.0,8,1,63.9,8,6.5,8,1,3.0,8,31.0,8,1,64.9,8,5.4,8,1,1.8,8
2023/4,96.5,8,1,82.2,8,6.9,8,1,5.2,8,123.0,8,1,84.0,8,8.1,8,1,5.9,8,117.0,8,1,81.6,8,8.4,8,1,6.0,8,156.5,8,1,98.4,8,8.7,8,1,6.2,8,98.5,8,1,68.6,8,8.8,8,1,6.6,8,94.5,0,8,1,71.9,0,8,9.3,8,1,7.3,8,90.5,8,1,71.1,8,8.5,8,1,6.6,8,109.0,8,1,76.1,8,8.6,8,1,6.7,8,124.5,8,1,73.5,8,9.4,8,1,7.9,8,92.0,8,1,90.5,8,8.3,8,1,7.0,8
2023/5,41.5,8,1,104.7,8,11.3,8,1,10.2,8,43.0,8,1,100.1,8,12.1,8,1,10.7,8,27.5,8,1,77.0,8,12.3,8,1,11.2,8,45.0,8,1,111.8,8,12.2,8,1,10.8,8,31.5,8,1,86.4,8,13.3,8,1,11.8,8,35.5,0,8,1,88.9,0,8,13.4,8,1,12.3,8,41.0,8,1,80.9,8,12.0,8,1,11.3,8,49.5,8,1,87.4,8,12.8,8,1,11.4,8,101.0,8,1,97.5,8,13.3,8,1,12.5,8,87.5,8,1,134.3,8,12.6,8,1,11.8,8
2023/6,200.0,8,1,98.4,8,15.8,8,1,14.5,8,105.0,8,1,77.9,8,16.5,8,1,14.7,8,117.5,8,1,70.5,8,17.1,8,1,15.3,8,151.0,8,1,95.1,8,16.5,8,1,14.4,8,189.5,8,1,79.8,8,18.4,8,1,15.9,8,154.5,0,8,1,79.8,0,8,18.7,8,1,16.2,8,138.5,8,1,74.2,8,17.4,8,1,15.3,8,151.0,8,1,87.7,8,17.2,8,1,15.1,8,151.0,8,1,80.0,8,18.7,8,1,16.6,8,109.0,8,1,98.2,8,18.1,8,1,16.0,8
