ダウンロードした時刻：2024/06/06 22:21:10

,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島
,茂庭,茂庭,茂庭,茂庭,茂庭,茂庭,茂庭,茂庭,茂庭,茂庭,梁川,梁川,梁川,梁川,梁川,梁川,梁川,梁川,梁川,梁川,桧原,桧原,桧原,桧原,桧原,桧原,桧原,桧原,桧原,桧原,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,相馬,相馬,相馬,相馬,相馬,相馬,相馬,相馬,相馬,相馬,喜多方,喜多方,喜多方,喜多方,喜多方,喜多方,喜多方,喜多方,喜多方,喜多方,鷲倉,鷲倉,鷲倉,鷲倉,鷲倉,鷲倉,鷲倉,鷲倉,鷲倉,鷲倉,飯舘,飯舘,飯舘,飯舘,飯舘,飯舘,飯舘,飯舘,飯舘,飯舘,西会津,西会津,西会津,西会津,西会津,西会津,西会津,西会津,西会津,西会津,猪苗代,猪苗代,猪苗代,猪苗代,猪苗代,猪苗代,猪苗代,猪苗代,猪苗代,猪苗代,二本松,二本松,二本松,二本松,二本松,二本松,二本松,二本松,二本松,二本松,金山,金山,金山,金山,金山,金山,金山,金山,金山,金山,若松,若松,若松,若松,若松,若松,若松,若松,若松,若松,若松,若松,船引,船引,船引,船引,船引,船引,船引,船引,船引,船引,浪江,浪江,浪江,浪江,浪江,浪江,浪江,浪江,浪江,浪江,只見,只見,只見,只見,只見,只見,只見,只見,只見,只見,郡山,郡山,郡山,郡山,郡山,郡山,郡山,郡山,郡山,郡山,川内,川内,川内,川内,川内,川内,川内,川内,川内,川内,南郷,南郷,南郷,南郷,南郷,南郷,南郷,南郷,南郷,南郷,湯本,湯本,湯本,湯本,湯本,湯本,湯本,湯本,湯本,湯本,玉川,玉川,玉川,玉川,玉川,玉川,玉川,玉川,玉川,玉川,小野新町,小野新町,小野新町,小野新町,小野新町,小野新町,小野新町,小野新町,小野新町,小野新町,広野,広野,広野,広野,広野,広野,広野,広野,広野,広野,田島,田島,田島,田島,田島,田島,田島,田島,田島,田島,白河,白河,白河,白河,白河,白河,白河,白河,白河,白河,白河,白河,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,桧枝岐,桧枝岐,桧枝岐,桧枝岐,桧枝岐,桧枝岐,桧枝岐,桧枝岐,桧枝岐,桧枝岐,東白川,東白川,東白川,東白川,東白川,東白川,東白川,東白川,東白川,東白川,山田,山田,山田,山田,山田,山田,山田,山田,山田,山田,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜,小名浜
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,51.5,8,1,92.5,8,0.0,8,1,0.0,8,11.0,8,1,49.9,8,1.4,8,1,1.3,8,105.0,8,1,145.1,8,-4.0,8,1,-4.2,8,16.5,0,8,1,56.2,0,8,1.9,8,1,1.9,8,4.0,8,1,47.4,8,2.6,8,1,2.2,8,106.0,8,1,149.3,8,-1.2,8,1,-1.0,8,78.0,8,1,111.8,8,-4.9,8,1,-6.2,8,12.5,8,1,60.5,8,-0.7,8,1,-1.1,8,144.0,8,1,193.1,8,-0.4,8,1,-0.4,8,59.5,8,1,72.0,8,-2.2,8,1,-2.1,8,14.5,8,1,42.5,8,1.4,8,1,0.8,8,189.0,8,1,224.9,8,-1.0,8,1,-1.0,8,57.0,0,8,1,102.4,0,8,-0.1,8,1,-0.3,8,14.5,8,1,41.7,8,-0.5,8,1,-0.5,8,10.0,8,1,59.0,8,2.7,8,1,2.2,8,261.5,8,1,302.3,8,-1.2,8,1,-1.2,8,7.0,8,1,40.9,8,1.1,8,1,0.9,8,16.0,8,1,62.3,8,-0.1,8,1,-0.5,8,112.5,4,1,126.8,8,-2.3,8,1,-2.2,8,48.5,8,1,96.0,8,-2.2,8,1,-2.4,8,11.0,8,1,27.3,8,0.6,8,1,0.3,8,15.5,8,1,43.6,8,-0.4,8,1,-0.7,8,13.5,8,1,58.3,8,4.0,8,1,3.3,8,60.0,8,1,94.4,8,-2.3,8,1,-2.4,8,16.5,0,8,1,44.1,0,8,1.0,8,1,0.6,8,22.0,8,1,46.8,8,0.8,8,1,0.3,8,83.5,8,1,131.3,8,-3.9,8,1,-3.8,8,17.5,8,1,37.7,8,0.5,8,1,0.2,8,17.5,8,1,45.3,8,3.4,8,1,2.9,8,22.5,0,8,1,57.3,0,8,4.4,8,1,4.1,8
2023/2,59.0,8,1,60.5,8,0.5,8,1,0.5,8,30.0,8,1,33.0,8,2.2,8,1,2.0,8,108.5,8,1,110.3,8,-3.2,8,1,-4.0,8,32.5,0,8,1,41.1,0,8,2.8,8,1,2.5,8,26.5,8,1,34.6,8,3.1,8,1,2.5,8,95.5,8,1,108.9,8,-0.1,8,1,-0.7,8,76.0,8,1,70.2,8,-4.2,8,1,-5.8,8,28.0,8,1,41.1,8,-0.1,8,1,-0.6,8,142.0,8,1,127.0,8,0.3,8,1,-0.2,8,39.0,8,1,53.5,8,-1.1,8,1,-1.7,8,25.0,8,1,34.0,8,2.4,8,1,1.5,8,138.0,8,1,137.1,8,-0.4,8,1,-0.8,8,47.5,0,8,1,69.2,0,8,0.9,8,1,0.1,8,29.0,8,1,33.7,8,0.4,8,1,0.0,8,34.5,8,1,45.6,8,3.9,8,1,2.7,8,200.0,8,1,216.3,8,-0.7,8,1,-1.0,8,21.5,8,1,27.6,8,1.8,8,1,1.4,8,36.0,8,1,47.4,8,0.6,8,1,0.0,8,85.5,8,1,79.1,8,-1.6,8,1,-1.9,8,48.5,8,1,62.2,8,-1.6,8,1,-2.0,8,20.0,8,1,28.1,8,1.4,8,1,0.9,8,25.5,8,1,36.4,8,0.4,8,1,-0.1,8,0.0,4,1,51.4,8,4.7,8,1,3.5,8,33.5,8,1,63.6,8,-1.6,8,1,-2.0,8,22.0,0,8,1,34.8,0,8,1.7,8,1,1.2,8,27.5,8,1,37.8,8,1.8,8,1,1.0,8,65.5,8,1,114.9,8,-3.2,8,1,-3.5,8,19.5,8,1,34.9,8,2.0,8,1,1.1,8,32.5,8,1,56.5,8,4.7,8,1,3.6,8,36.0,0,8,1,54.0,0,8,5.4,8,1,4.3,8
2023/3,52.5,8,1,83.0,8,6.9,8,1,3.4,8,52.5,8,1,64.1,8,8.5,8,1,5.2,8,40.0,8,1,119.1,8,2.7,8,1,-0.7,8,69.0,0,8,1,75.7,0,8,9.5,8,1,5.9,8,45.0,8,1,77.8,8,8.8,8,1,5.4,8,54.0,8,1,107.2,8,6.6,8,1,3.0,8,88.0,8,1,115.1,8,2.6,8,1,-2.5,8,51.0,8,1,77.4,8,6.3,8,1,2.9,8,54.0,8,1,121.1,8,5.7,8,1,2.7,8,56.0,8,1,69.3,8,5.6,8,1,1.6,8,68.0,8,1,74.0,8,8.7,8,1,4.8,8,49.5,8,1,116.1,8,4.1,8,1,2.1,8,50.0,0,8,1,77.5,0,8,7.5,8,1,3.7,8,63.5,8,1,71.5,8,6.8,8,1,3.3,8,58.5,8,1,94.5,8,9.7,8,1,5.7,8,55.5,8,1,164.7,8,3.3,8,1,1.6,8,70.0,8,1,66.1,8,8.1,8,1,4.6,8,68.0,8,1,95.1,8,6.5,8,1,3.3,8,44.0,8,1,76.0,8,3.8,8,1,1.1,8,79.5,8,1,99.3,8,4.9,8,1,1.2,8,61.5,8,1,63.4,8,8.1,8,1,4.3,8,65.0,8,1,76.0,8,6.5,8,1,3.2,8,98.5,8,1,109.5,8,10.6,8,1,6.3,8,41.5,8,1,67.0,8,5.3,8,1,1.3,8,73.5,0,8,1,78.9,0,8,8.2,8,1,4.5,8,61.0,8,1,78.8,8,8.2,8,1,4.5,8,46.0,8,1,91.6,8,2.9,8,1,-0.2,8,79.0,8,1,86.3,8,8.3,8,1,4.6,8,108.5,8,1,113.5,8,10.3,8,1,6.8,8,121.0,0,8,1,108.4,0,8,10.8,8,1,7.1,8
2023/4,38.5,8,1,88.7,8,11.0,8,1,9.2,8,23.0,8,1,75.1,8,13.4,8,1,10.9,8,49.5,8,1,113.1,8,6.9,8,1,5.0,8,29.0,0,8,1,81.8,0,8,14.0,8,1,11.7,8,21.5,8,1,97.4,8,13.3,8,1,10.5,8,41.0,8,1,85.2,8,11.1,8,1,9.5,8,84.5,8,1,145.7,8,6.2,8,1,3.5,8,27.5,8,1,103.1,8,10.6,8,1,8.6,8,56.0,8,1,91.9,8,10.6,8,1,9.0,8,44.5,8,1,74.9,8,9.7,8,1,7.9,8,59.5,8,1,86.8,8,13.1,8,1,10.6,8,55.0,8,1,98.0,8,9.5,8,1,7.3,8,42.0,0,8,1,63.1,0,8,11.8,8,1,10.1,8,74.5,8,1,84.0,8,11.0,8,1,9.2,8,44.0,8,1,119.6,8,13.7,8,1,10.7,8,74.5,8,1,114.6,8,8.6,8,1,6.8,8,64.5,8,1,75.4,8,12.1,8,1,10.5,8,80.5,8,1,122.4,8,11.0,8,1,8.8,8,50.5,8,1,65.7,8,9.1,8,1,7.1,8,71.5,8,1,106.1,8,8.8,8,1,7.2,8,85.5,8,1,97.6,8,11.6,8,1,9.8,8,87.5,8,1,91.2,8,10.6,8,1,8.8,8,97.0,8,1,133.8,8,13.8,8,1,10.9,8,49.5,8,1,64.0,8,9.2,8,1,7.6,8,87.5,0,8,1,101.7,0,8,11.9,8,1,10.2,8,84.0,8,1,94.5,8,12.3,8,1,10.2,8,62.0,8,1,80.2,8,7.2,8,1,5.3,8,108.5,8,1,108.0,8,12.0,8,1,10.3,8,102.0,8,1,163.4,8,13.4,8,1,11.1,8,140.5,0,8,1,125.2,0,8,14.1,8,1,11.6,8
2023/5,90.0,8,1,90.6,8,14.7,8,1,14.7,8,99.5,8,1,83.0,8,16.9,8,1,16.4,8,106.0,8,1,117.9,8,11.5,8,1,11.5,8,126.5,0,5,1,88.5,0,8,17.6,5,1,17.2,8,111.5,8,1,113.0,8,16.4,8,1,15.5,8,87.5,8,1,84.5,8,15.6,8,1,15.7,8,140.0,8,1,165.8,8,10.4,8,1,9.7,8,114.5,8,1,97.8,8,14.0,8,1,14.0,8,73.0,8,1,83.6,8,15.1,8,1,15.1,8,73.0,8,1,86.5,8,14.2,8,1,13.9,8,109.5,8,1,91.5,8,16.6,8,1,16.1,8,88.0,8,1,77.2,8,14.0,8,1,14.3,8,62.0,0,8,1,75.8,0,8,16.4,8,1,16.2,8,94.5,8,1,90.6,8,14.7,8,1,14.6,8,119.5,8,1,125.8,8,16.5,8,1,15.5,8,109.5,8,1,100.4,8,14.1,8,1,13.8,8,87.0,8,1,92.2,8,16.5,8,1,16.2,8,109.5,8,1,111.3,8,14.2,8,1,14.0,8,80.0,8,1,76.6,8,14.0,8,1,13.9,8,96.5,8,1,121.8,8,12.7,8,1,12.7,8,113.5,8,1,92.3,8,15.4,8,1,15.5,8,97.5,8,1,97.7,8,14.5,8,1,14.3,8,110.0,8,1,151.5,8,16.4,8,1,15.3,8,72.5,8,1,80.8,8,13.5,8,1,13.6,8,119.5,0,8,1,122.6,0,8,15.7,8,1,15.5,8,112.5,8,1,101.1,8,15.9,8,1,15.6,8,93.5,8,1,89.5,8,11.7,8,1,11.7,8,126.5,8,1,123.5,8,15.9,8,1,15.7,8,120.5,8,1,148.4,8,16.7,8,1,16.5,8,117.0,0,8,1,146.1,0,8,16.9,8,1,15.8,8
2023/6,202.0,8,1,120.4,8,19.5,8,1,18.5,8,182.5,8,1,109.4,8,22.0,8,1,20.1,8,277.5,8,1,151.4,8,16.5,8,1,15.7,8,203.5,0,8,1,121.2,0,8,22.3,8,1,20.7,8,166.0,8,1,146.9,8,21.3,8,1,19.0,8,277.5,8,1,124.3,8,20.8,8,1,20.1,8,325.5,8,1,239.4,8,14.6,8,1,13.6,8,183.0,8,1,131.7,8,18.9,8,1,17.6,8,270.5,8,1,122.5,8,20.1,8,1,19.5,8,210.5,8,1,123.4,8,19.2,8,1,18.1,8,232.0,8,1,125.5,8,21.2,8,1,19.7,8,297.5,8,1,127.4,8,18.8,8,1,18.5,8,247.0,0,8,1,108.6,0,8,21.5,8,1,20.5,8,171.5,8,1,118.4,8,19.5,8,1,18.4,8,193.5,8,1,156.3,8,21.3,8,1,18.8,8,286.0,5,1,147.0,8,19.0,5,1,18.5,8,206.0,8,1,120.6,8,21.1,8,1,20.0,8,219.0,8,1,141.2,8,19.0,8,1,17.7,8,201.5,8,1,117.1,8,18.8,8,1,18.3,8,171.0,8,1,162.2,8,17.6,8,1,16.6,8,218.5,8,1,108.8,8,20.0,8,1,19.2,8,216.0,8,1,117.3,8,19.5,8,1,18.2,8,275.5,8,1,165.3,8,21.2,8,1,18.6,8,160.0,8,1,116.2,8,18.2,8,1,17.7,8,237.5,0,8,1,149.8,0,8,20.3,8,1,19.1,8,225.5,8,1,126.2,8,20.6,8,1,19.4,8,189.0,8,1,121.8,8,15.9,8,1,15.8,8,276.5,8,1,145.5,8,20.7,8,1,19.5,8,242.0,8,1,194.4,8,21.1,8,1,19.6,8,320.5,0,8,1,149.5,0,8,21.5,8,1,19.1,8
