ダウンロードした時刻：2024/06/06 22:22:41

,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城,茨城
,北茨城,北茨城,北茨城,北茨城,北茨城,北茨城,北茨城,北茨城,北茨城,北茨城,大子,大子,大子,大子,大子,大子,大子,大子,大子,大子,常陸大宮,常陸大宮,常陸大宮,常陸大宮,常陸大宮,常陸大宮,常陸大宮,常陸大宮,常陸大宮,常陸大宮,日立,日立,日立,日立,日立,日立,日立,日立,日立,日立,笠間,笠間,笠間,笠間,笠間,笠間,笠間,笠間,笠間,笠間,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,古河,古河,古河,古河,古河,古河,古河,古河,古河,古河,下館,下館,下館,下館,下館,下館,下館,下館,下館,下館,下妻,下妻,下妻,下妻,下妻,下妻,下妻,下妻,下妻,下妻,鉾田,鉾田,鉾田,鉾田,鉾田,鉾田,鉾田,鉾田,鉾田,鉾田,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,土浦,土浦,土浦,土浦,土浦,土浦,土浦,土浦,土浦,土浦,鹿嶋,鹿嶋,鹿嶋,鹿嶋,鹿嶋,鹿嶋,鹿嶋,鹿嶋,鹿嶋,鹿嶋,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎,龍ケ崎
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,17.5,8,1,50.0,8,3.4,8,1,3.6,8,14.5,8,1,38.9,8,0.7,8,1,0.6,8,13.5,8,1,40.3,8,2.0,8,1,1.6,8,27.5,8,1,56.4,8,5.0,8,1,4.6,8,16.0,8,1,50.2,8,2.5,8,1,2.4,8,25.5,0,8,1,54.5,0,8,3.8,8,1,3.3,8,5.0,8,1,35.2,8,3.9,8,1,3.6,8,9.5,8,1,40.2,8,3.2,8,1,2.6,8,10.5,8,1,39.1,8,3.6,8,1,3.0,8,35.0,8,1,66.5,8,3.2,8,1,2.8,8,19.0,0,8,1,50.6,0,8,3.5,8,1,3.1,8,17.5,8,1,48.8,8,4.2,8,1,4.0,8,38.0,8,1,88.2,8,4.7,8,1,4.7,8,17.0,8,1,55.4,8,3.4,8,1,3.3,8
2023/2,33.0,8,1,45.9,8,4.7,8,1,3.8,8,24.0,8,1,42.7,8,2.6,8,1,1.8,8,30.5,8,1,44.4,8,3.8,8,1,2.6,8,38.5,8,1,52.4,8,5.9,8,1,4.8,8,33.0,8,1,49.5,8,4.2,8,1,3.3,8,36.0,0,8,1,53.8,0,8,5.4,8,1,4.1,8,31.5,8,1,35.1,8,5.6,8,1,4.6,8,27.0,8,1,38.4,8,4.9,8,1,4.0,8,27.5,8,1,39.5,8,5.5,8,1,4.1,8,44.0,8,1,62.9,8,5.0,8,1,3.7,8,34.5,0,8,1,47.1,0,8,5.4,8,1,4.2,8,32.5,8,1,45.8,8,5.9,8,1,4.8,8,66.0,8,1,72.1,8,6.5,8,1,5.4,8,35.5,8,1,52.9,8,5.3,8,1,4.3,8
2023/3,117.0,8,1,99.9,8,10.1,8,1,6.5,8,109.5,8,1,92.1,8,8.9,8,1,5.4,8,93.5,8,1,89.0,8,9.8,8,1,6.0,8,111.5,8,1,107.4,8,11.4,8,1,7.5,8,96.5,8,1,97.6,8,10.2,8,1,6.9,8,92.0,0,8,1,102.8,0,8,11.2,8,1,7.4,8,98.5,8,1,75.9,8,11.8,8,1,8.2,8,92.5,8,1,75.2,8,11.1,8,1,7.6,8,85.0,8,1,80.2,8,11.4,8,1,7.6,8,85.5,8,1,115.0,8,11.2,8,1,7.1,8,97.5,0,8,1,95.5,0,8,11.5,8,1,7.7,8,82.0,8,1,90.5,8,11.9,8,1,8.2,8,110.5,8,1,129.8,8,12.3,8,1,8.5,8,88.0,8,1,103.3,8,11.3,8,1,7.8,8
2023/4,134.0,8,1,128.5,8,13.3,8,1,11.0,8,110.5,8,1,115.8,8,12.3,8,1,10.9,8,101.0,8,1,112.6,8,12.9,8,1,11.2,8,104.5,8,1,131.4,8,14.4,8,1,12.1,8,84.0,8,1,122.0,8,13.6,8,1,12.1,8,91.0,0,8,1,116.7,0,8,14.5,8,1,12.3,8,58.0,8,1,91.3,8,15.3,8,1,13.5,8,83.5,8,1,105.7,8,14.5,8,1,12.6,8,72.5,8,1,101.2,8,14.9,8,1,12.9,8,84.5,8,1,122.5,8,14.5,8,1,12.0,8,56.0,0,8,1,109.8,0,8,14.9,8,1,12.8,8,54.5,8,1,105.1,8,15.3,8,1,13.2,8,82.5,8,1,123.3,8,15.2,8,1,13.1,8,61.0,8,1,109.0,8,15.0,8,1,13.0,8
2023/5,115.5,8,1,156.1,8,16.5,8,1,15.3,8,144.0,8,1,134.0,8,16.1,8,1,16.2,8,119.0,8,1,136.4,8,16.5,8,1,16.1,8,137.0,8,1,164.2,8,17.3,8,1,16.3,8,133.5,8,1,138.3,8,16.9,8,1,17.0,8,162.0,0,8,1,144.5,0,8,17.8,8,1,17.0,8,128.5,8,1,120.8,8,18.7,8,1,18.4,8,114.5,8,1,117.3,8,18.0,8,1,17.9,8,98.0,8,1,122.9,8,18.3,8,1,17.8,8,156.5,8,1,136.5,8,17.4,8,1,16.6,8,170.0,0,8,1,129.8,0,8,17.7,8,1,17.4,8,134.0,8,1,121.3,8,18.3,8,1,17.8,8,153.5,8,1,132.7,8,17.8,8,1,17.3,8,194.5,8,1,122.6,8,17.9,8,1,17.8,8
2023/6,304.5,8,1,158.0,8,21.0,8,1,18.6,8,327.5,8,1,148.0,8,20.9,8,1,20.1,8,377.0,8,1,147.9,8,21.1,8,1,19.7,8,390.5,8,1,159.8,8,21.5,8,1,19.6,8,324.5,8,1,143.3,8,21.6,8,1,20.5,8,423.0,0,8,1,135.7,0,8,22.2,8,1,20.3,8,283.5,8,1,132.0,8,23.0,8,1,21.8,8,311.5,8,1,113.8,8,22.4,8,1,21.3,8,263.5,8,1,121.2,8,22.5,8,1,21.1,8,406.5,8,1,141.9,8,21.8,8,1,19.9,8,364.5,0,8,1,131.8,0,8,22.2,8,1,20.8,8,404.0,8,1,123.5,8,22.7,8,1,21.0,8,353.0,8,1,145.4,8,22.0,8,1,20.3,8,319.5,8,1,135.1,8,22.2,8,1,21.0,8
