ダウンロードした時刻：2024/06/06 22:46:36

,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木,栃木
,那須高原,那須高原,那須高原,那須高原,那須高原,那須高原,那須高原,那須高原,那須高原,那須高原,五十里,五十里,五十里,五十里,五十里,五十里,五十里,五十里,五十里,五十里,黒磯,黒磯,黒磯,黒磯,黒磯,黒磯,黒磯,黒磯,黒磯,黒磯,土呂部,土呂部,土呂部,土呂部,土呂部,土呂部,土呂部,土呂部,土呂部,土呂部,大田原,大田原,大田原,大田原,大田原,大田原,大田原,大田原,大田原,大田原,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,奥日光（日光）,日光東町,日光東町,日光東町,日光東町,日光東町,日光東町,日光東町,日光東町,日光東町,日光東町,塩谷,塩谷,塩谷,塩谷,塩谷,塩谷,塩谷,塩谷,塩谷,塩谷,那須烏山,那須烏山,那須烏山,那須烏山,那須烏山,那須烏山,那須烏山,那須烏山,那須烏山,那須烏山,鹿沼,鹿沼,鹿沼,鹿沼,鹿沼,鹿沼,鹿沼,鹿沼,鹿沼,鹿沼,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,真岡,真岡,真岡,真岡,真岡,真岡,真岡,真岡,真岡,真岡,佐野,佐野,佐野,佐野,佐野,佐野,佐野,佐野,佐野,佐野,小山,小山,小山,小山,小山,小山,小山,小山,小山,小山
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,31.0,8,1,52.6,8,-1.6,8,1,-1.7,8,14.5,8,1,62.4,8,-1.1,8,1,-1.7,8,13.5,8,1,32.9,8,1.2,8,1,0.9,8,34.5,8,1,70.7,8,-3.5,8,1,-3.9,8,14.0,8,1,34.9,8,1.9,8,1,1.7,8,14.0,0,8,1,57.5,0,8,-3.6,8,1,-3.9,8,10.5,8,1,,0,0.5,8,1,,0,11.0,8,1,40.2,8,1.1,8,1,1.1,8,10.5,8,1,32.7,8,1.2,8,1,0.9,8,7.5,8,1,40.9,8,1.8,8,1,1.5,8,5.5,0,8,1,37.5,0,8,3.1,8,1,2.8,8,10.0,8,1,34.7,8,2.3,8,1,1.6,8,4.0,8,1,35.1,8,3.6,8,1,3.2,8,8.0,8,1,36.2,8,3.5,8,1,2.9,8
2023/2,30.5,8,1,42.8,8,-0.6,8,1,-1.3,8,21.0,8,1,45.4,8,-0.1,8,1,-1.0,8,23.5,8,1,32.4,8,2.3,8,1,1.5,8,26.5,8,1,55.0,8,-2.2,8,1,-3.3,8,22.0,8,1,34.8,8,3.5,8,1,2.6,8,33.0,0,8,1,48.6,0,8,-2.4,8,1,-3.5,8,27.0,8,1,,0,1.8,8,1,,0,22.5,8,1,38.5,8,2.9,8,1,2.0,8,20.0,8,1,47.3,8,3.6,8,1,2.5,8,25.5,8,1,37.5,8,3.3,8,1,2.4,8,23.5,0,8,1,38.5,0,8,5.0,8,1,3.8,8,29.5,8,1,37.3,8,4.2,8,1,2.8,8,23.0,8,1,33.4,8,5.4,8,1,4.0,8,27.0,8,1,38.8,8,5.2,8,1,4.0,8
2023/3,92.0,8,1,101.6,8,6.2,8,1,2.0,8,89.0,8,1,83.3,8,6.6,5,1,2.6,8,79.0,8,1,81.0,8,8.4,8,1,4.9,8,75.5,8,1,80.4,8,4.4,8,1,0.3,8,81.5,8,1,84.0,8,9.5,8,1,5.9,8,131.0,0,8,1,108.5,0,8,3.5,8,1,-0.3,8,119.5,8,1,,0,8.2,8,1,,0,97.0,8,1,94.0,8,9.0,8,1,5.5,8,95.0,8,1,91.3,8,9.5,8,1,6.4,8,108.5,8,1,91.8,8,9.9,8,1,6.0,8,97.0,0,8,1,87.7,0,8,11.3,8,1,7.4,8,108.5,8,1,80.4,8,10.5,8,1,6.6,8,88.0,8,1,69.4,8,11.8,8,1,7.6,8,88.0,8,1,80.4,8,11.5,8,1,7.7,8
2023/4,113.0,8,1,139.6,8,9.3,8,1,7.8,8,70.0,8,1,108.9,8,10.2,8,1,8.4,8,85.0,8,1,111.0,8,11.6,8,1,10.2,8,53.0,8,1,101.1,8,8.0,8,1,6.3,8,67.5,8,1,108.3,8,13.2,8,1,11.3,8,131.0,0,8,1,154.4,0,8,7.0,8,1,5.1,8,76.5,8,1,,0,11.4,8,1,,0,68.0,8,1,119.7,8,12.6,8,1,10.9,8,76.0,8,1,138.5,8,13.0,8,1,11.3,8,80.0,8,1,125.7,8,13.3,8,1,11.5,8,101.5,0,8,1,121.5,0,8,14.6,8,1,12.8,8,88.5,8,1,109.8,8,13.8,8,1,11.9,8,54.5,8,1,90.5,8,15.2,8,1,12.9,8,72.5,8,1,102.2,8,14.8,8,1,13.1,8
2023/5,147.0,8,1,180.8,8,13.1,8,1,13.0,8,166.0,8,1,127.0,8,13.9,8,1,13.6,8,123.5,8,1,143.3,8,15.5,8,1,15.5,8,104.5,8,1,118.9,8,11.9,8,1,11.7,8,160.0,8,1,139.4,8,17.1,8,1,16.5,8,223.0,0,8,1,177.1,0,8,10.8,8,1,10.3,8,203.0,8,1,,0,14.9,8,1,,0,176.5,8,1,146.5,8,16.3,8,1,16.3,8,160.0,8,1,128.0,8,16.8,8,1,17.2,8,161.0,8,1,153.0,8,17.2,8,1,16.8,8,159.5,0,8,1,149.2,0,8,18.1,8,1,17.8,8,157.5,8,1,134.2,8,17.6,8,1,17.2,8,146.5,8,1,114.8,8,18.8,8,1,17.9,8,126.5,8,1,130.6,8,18.4,8,1,18.0,8
2023/6,189.0,8,1,220.5,8,17.4,8,1,16.4,8,219.5,8,1,162.1,8,18.4,8,1,17.3,8,243.5,8,1,175.1,8,20.2,8,1,19.1,8,244.5,8,1,160.5,8,16.4,8,1,15.5,8,275.5,8,1,172.4,8,21.5,8,1,20.0,8,333.0,0,8,1,228.8,0,8,15.2,8,1,14.0,8,360.0,8,1,,0,19.3,8,1,,0,312.0,5,1,193.9,8,20.7,5,1,19.8,8,406.0,8,1,169.3,8,21.4,8,1,20.6,8,332.0,8,1,203.6,8,21.7,8,1,20.4,8,340.0,0,8,1,175.2,0,8,22.4,8,1,21.2,8,357.5,8,1,147.1,8,22.1,8,1,20.7,8,264.0,8,1,145.2,8,23.3,8,1,21.6,8,273.5,8,1,135.1,8,22.7,8,1,21.5,8
