ダウンロードした時刻：2024/06/06 22:48:06

,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬,群馬
,藤原,藤原,藤原,藤原,藤原,藤原,藤原,藤原,藤原,藤原,みなかみ,みなかみ,みなかみ,みなかみ,みなかみ,みなかみ,みなかみ,みなかみ,みなかみ,みなかみ,草津,草津,草津,草津,草津,草津,草津,草津,草津,草津,沼田,沼田,沼田,沼田,沼田,沼田,沼田,沼田,沼田,沼田,中之条,中之条,中之条,中之条,中之条,中之条,中之条,中之条,中之条,中之条,田代,田代,田代,田代,田代,田代,田代,田代,田代,田代,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,桐生,桐生,桐生,桐生,桐生,桐生,桐生,桐生,桐生,桐生,上里見,上里見,上里見,上里見,上里見,上里見,上里見,上里見,上里見,上里見,伊勢崎,伊勢崎,伊勢崎,伊勢崎,伊勢崎,伊勢崎,伊勢崎,伊勢崎,伊勢崎,伊勢崎,西野牧,西野牧,西野牧,西野牧,西野牧,西野牧,西野牧,西野牧,西野牧,西野牧,館林,館林,館林,館林,館林,館林,館林,館林,館林,館林,神流,神流,神流,神流,神流,神流,神流,神流,神流,神流
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,189.0,8,1,219.4,8,-2.2,8,1,-2.5,8,107.0,8,1,154.9,8,-0.4,8,1,-1.2,8,36.0,8,1,68.5,8,-3.8,8,1,-4.1,8,19.5,8,1,42.0,8,0.0,8,1,-0.1,8,5.5,8,1,33.5,8,0.9,8,1,0.4,8,11.5,8,1,52.4,8,-3.9,8,1,-4.5,8,4.5,0,8,1,29.7,0,8,4.3,8,1,3.7,8,4.0,8,1,33.2,8,3.6,8,1,3.4,8,7.0,8,1,29.1,8,2.9,8,1,2.6,8,2.0,8,1,28.8,8,4.5,8,1,4.1,8,4.0,8,1,27.7,8,1.5,8,1,1.1,8,3.5,8,1,37.2,8,3.9,8,1,4.0,8,3.0,8,1,32.1,8,0.7,8,1,0.6,8
2023/2,85.0,8,1,163.2,8,-1.3,8,1,-2.2,8,68.0,8,1,125.9,8,0.5,8,1,-0.8,8,39.0,8,1,66.1,8,-2.6,8,1,-3.6,8,27.5,8,1,42.8,8,1.7,8,1,0.7,8,15.5,8,1,31.9,8,2.2,8,1,1.2,8,32.0,8,1,55.5,8,-2.8,8,1,-4.0,8,12.0,0,8,1,26.5,0,8,5.7,8,1,4.5,8,20.5,8,1,28.4,8,5.3,8,1,4.3,8,13.0,8,1,26.8,8,4.4,8,1,3.5,8,13.0,8,1,25.3,8,5.9,8,1,4.9,8,17.0,8,1,27.9,8,2.9,8,1,1.9,8,24.0,8,1,34.2,8,5.5,8,1,4.9,8,23.5,8,1,24.7,8,2.4,8,1,1.7,8
2023/3,78.0,8,1,124.1,8,4.6,8,1,0.9,8,75.5,8,1,114.0,8,7.2,8,1,2.3,8,91.5,8,1,90.6,8,4.4,8,1,-0.1,8,79.5,8,1,64.7,8,8.4,8,1,4.4,8,83.0,8,1,64.9,8,8.8,8,1,4.8,8,110.5,8,1,96.4,8,4.3,8,1,-0.4,8,79.5,0,8,1,58.3,0,8,12.2,8,1,7.9,8,74.0,8,1,63.9,8,11.9,8,1,7.8,8,90.0,8,1,61.0,8,11.0,8,1,7.0,8,79.0,8,1,49.8,8,12.4,8,1,8.4,8,74.5,8,1,57.6,8,9.5,8,1,5.3,8,111.0,8,1,70.1,8,11.8,8,1,8.5,8,55.5,8,1,58.9,8,8.7,8,1,5.3,8
2023/4,90.0,8,1,89.6,8,8.7,8,1,6.3,8,82.0,8,1,99.7,8,10.8,8,1,8.2,8,111.5,8,1,106.2,8,7.8,8,1,6.0,8,52.5,8,1,65.3,8,11.7,8,1,10.4,8,61.5,8,1,79.8,8,11.8,8,1,10.5,8,106.0,8,1,107.9,8,7.8,8,1,5.7,8,39.5,0,8,1,74.8,0,8,15.2,8,1,13.4,8,43.5,8,1,83.9,8,15.4,8,1,13.2,8,48.0,8,1,78.9,8,14.2,8,1,12.6,8,31.5,8,1,73.5,8,15.7,8,1,13.7,8,66.0,8,1,75.1,8,13.0,8,1,10.9,8,43.5,8,1,84.6,8,15.5,8,1,14.0,8,23.0,8,1,74.2,8,12.7,8,1,10.8,8
2023/5,105.5,8,1,105.2,8,13.2,8,1,12.7,8,141.5,8,1,114.5,8,14.9,8,1,14.0,8,185.5,8,1,150.7,8,11.7,8,1,11.4,8,119.0,8,1,90.4,8,16.0,8,1,15.9,8,141.0,8,1,106.8,8,16.0,8,1,15.9,8,172.0,8,1,132.0,8,11.6,8,1,11.2,8,105.0,0,8,1,99.4,0,8,19.1,8,1,18.6,8,127.0,8,1,110.0,8,18.8,8,1,18.1,8,124.5,8,1,112.2,8,18.0,8,1,17.6,8,92.0,8,1,99.3,8,19.3,5,1,19.1,8,104.5,8,1,106.1,8,16.5,8,1,15.9,8,138.5,8,1,114.2,8,18.9,8,1,18.9,8,101.5,8,1,97.1,8,15.9,8,1,15.8,8
2023/6,225.5,8,1,130.3,8,17.6,8,1,17.0,8,277.0,8,1,152.0,8,19.4,8,1,18.0,8,290.0,8,1,218.3,8,15.9,8,1,14.9,8,205.0,8,1,130.1,8,20.6,8,1,19.8,8,246.5,8,1,157.0,8,20.8,8,1,19.8,8,275.5,8,1,180.0,8,16.2,8,1,14.9,8,272.0,0,8,1,147.8,0,8,23.3,8,1,22.1,8,312.5,8,1,152.8,8,23.1,8,1,21.5,8,359.5,8,1,173.1,8,22.5,8,1,21.2,8,279.0,8,1,139.9,8,23.7,8,1,22.6,8,296.5,8,1,163.1,8,20.9,8,1,19.5,8,276.5,8,1,142.3,8,23.3,8,1,22.4,8,240.5,8,1,143.4,8,20.1,8,1,19.3,8
