ダウンロードした時刻：2024/06/06 22:53:57

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
,我孫子,我孫子,我孫子,我孫子,我孫子,我孫子,我孫子,我孫子,我孫子,我孫子,香取,香取,香取,香取,香取,香取,香取,香取,香取,香取,船橋,船橋,船橋,船橋,船橋,船橋,船橋,船橋,船橋,船橋,佐倉,佐倉,佐倉,佐倉,佐倉,佐倉,佐倉,佐倉,佐倉,佐倉,成田,成田,成田,成田,成田,成田,成田,成田,成田,成田,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,横芝光,横芝光,横芝光,横芝光,横芝光,横芝光,横芝光,横芝光,横芝光,横芝光,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,牛久,牛久,牛久,牛久,牛久,牛久,牛久,牛久,牛久,牛久,坂畑,坂畑,坂畑,坂畑,坂畑,坂畑,坂畑,坂畑,坂畑,坂畑,鴨川,鴨川,鴨川,鴨川,鴨川,鴨川,鴨川,鴨川,鴨川,鴨川,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,勝浦,館山,館山,館山,館山,館山,館山,館山,館山,館山,館山,館山,館山,木更津,木更津,木更津,木更津,木更津,木更津,木更津,木更津,木更津,木更津
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,17.5,8,1,50.5,8,3.6,8,1,3.3,8,33.0,8,1,84.3,8,3.6,8,1,3.5,8,20.5,8,1,63.0,8,5.1,8,1,4.8,8,21.0,8,1,65.9,8,3.9,8,1,3.7,8,27.0,8,1,63.8,8,4.0,8,1,3.9,8,57.5,0,8,1,105.5,0,8,6.7,8,1,6.6,8,31.0,8,1,78.4,8,4.6,8,1,4.7,8,20.0,0,8,1,67.5,0,8,6.3,8,1,6.1,8,33.5,8,1,85.1,8,4.9,8,1,5.2,8,31.5,8,1,82.4,8,3.9,8,1,4.1,8,39.5,8,1,104.5,8,3.5,8,1,3.5,8,47.0,8,1,90.1,8,6.3,8,1,6.2,8,37.5,0,8,1,103.9,0,8,6.7,8,1,6.8,8,46.5,0,8,1,85.9,0,8,6.3,8,1,6.4,8,23.0,8,1,66.2,8,5.6,8,1,5.6,8
2023/2,34.5,8,1,63.5,8,5.4,8,1,4.5,8,60.5,8,1,69.0,8,5.6,8,1,4.5,8,37.5,8,1,61.4,8,6.7,8,1,5.7,8,39.0,8,1,57.8,8,5.9,8,1,4.8,8,45.0,8,1,69.7,8,6.1,8,1,5.0,8,118.0,0,8,1,90.5,0,8,8.5,8,1,6.9,8,44.0,8,1,69.9,8,6.8,8,1,5.5,8,38.0,0,8,1,59.1,0,8,7.8,8,1,6.6,8,58.5,8,1,75.2,8,6.9,8,1,6.0,8,48.0,8,1,74.0,8,6.4,8,1,5.2,8,67.0,8,1,89.1,8,5.8,8,1,4.4,8,89.5,8,1,85.4,8,8.0,8,1,6.8,8,130.5,0,8,1,103.9,0,8,8.4,8,1,7.2,8,129.5,0,8,1,81.9,0,8,8.4,8,1,7.0,8,44.5,8,1,82.0,8,7.2,8,1,6.2,8
2023/3,89.5,8,1,98.4,8,11.3,8,1,8.3,8,108.5,8,1,114.1,8,11.5,8,1,7.9,8,102.0,8,1,103.0,8,12.5,8,1,9.0,8,101.0,8,1,109.2,8,11.9,8,1,8.3,8,93.0,8,1,102.1,8,11.9,8,1,8.3,8,121.5,0,8,1,149.1,0,8,13.6,8,1,9.7,8,100.0,8,1,127.3,8,12.3,8,1,8.8,8,100.5,0,8,1,111.3,0,8,13.2,8,1,9.6,8,111.5,8,1,140.6,8,12.3,8,1,9.3,8,112.0,8,1,138.0,8,11.7,8,1,8.6,8,159.5,8,1,187.5,8,11.2,8,1,7.8,8,150.5,8,1,170.7,8,13.1,5,1,9.8,8,143.5,0,8,1,180.2,0,8,13.4,8,1,10.0,8,148.0,0,8,1,160.9,0,8,13.2,8,1,10.1,8,121.0,8,1,134.0,8,12.5,8,1,9.5,8
2023/4,77.5,8,1,124.9,8,14.9,8,1,12.8,8,99.5,8,1,124.4,8,14.9,8,1,12.6,8,51.0,8,1,114.5,8,16.0,8,1,13.8,8,60.5,8,1,112.9,8,15.6,8,1,13.4,8,71.5,8,1,125.1,8,15.3,8,1,13.0,8,98.0,0,8,1,127.3,0,8,15.8,8,1,13.8,8,70.0,8,1,119.8,8,15.4,8,1,13.7,8,54.5,0,8,1,110.4,0,8,16.7,8,1,14.5,8,102.0,8,1,131.8,8,15.9,8,1,14.1,8,92.5,8,1,132.5,8,15.7,8,1,13.7,8,142.5,8,1,176.1,8,14.8,8,1,12.6,8,149.0,8,1,155.6,8,16.5,8,1,14.4,8,145.0,0,8,1,157.5,0,8,16.1,8,1,14.2,8,134.5,0,8,1,155.7,0,8,16.5,8,1,14.5,8,87.0,8,1,133.5,8,16.1,8,1,13.8,8
2023/5,160.0,8,1,112.3,8,17.7,8,1,18.3,8,195.0,8,1,134.5,8,17.6,8,1,17.2,8,212.5,8,1,129.8,8,18.6,8,1,18.5,8,194.0,8,1,127.4,8,18.3,8,1,18.1,8,177.5,8,1,129.1,8,17.8,8,1,17.6,8,199.0,0,8,1,135.8,0,8,18.3,8,1,17.4,8,142.5,8,1,130.8,8,18.3,8,1,18.0,8,206.0,0,8,1,122.3,0,8,19.3,8,1,18.9,8,153.0,8,1,142.7,8,18.5,8,1,18.4,8,153.5,8,1,130.4,8,18.1,8,1,18.2,8,188.0,8,1,176.3,8,17.3,8,1,17.0,8,142.0,8,1,164.4,8,18.9,8,1,18.4,8,111.0,0,8,1,164.7,0,8,18.5,8,1,18.0,8,145.0,0,8,1,153.2,0,8,19.0,8,1,18.5,8,192.5,8,1,140.9,8,18.5,8,1,18.6,8
2023/6,312.5,8,1,149.9,8,22.1,8,1,21.2,8,319.0,8,1,146.3,8,21.8,8,1,20.5,8,314.0,8,1,155.3,8,22.9,8,1,21.6,8,268.5,8,1,148.6,8,22.7,8,1,21.3,8,249.0,8,1,144.1,8,22.1,8,1,20.9,8,300.0,0,8,1,166.2,0,8,21.9,8,1,20.2,8,239.5,5,1,159.5,8,22.2,5,1,21.1,8,253.5,0,8,1,150.9,0,8,23.5,8,1,21.9,8,240.0,5,1,181.1,8,22.8,5,1,21.5,8,234.5,5,1,170.6,8,22.5,5,1,21.3,8,261.5,5,1,208.9,8,21.4,5,1,20.2,8,251.0,8,1,217.3,8,22.3,8,1,21.3,8,240.0,0,8,1,222.2,0,8,21.8,8,1,20.8,8,220.0,0,8,1,211.5,0,8,22.7,8,1,21.5,8,318.0,8,1,181.7,8,22.6,8,1,21.4,8
