ダウンロードした時刻：2024/06/06 22:56:07

,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川,神奈川
,海老名,海老名,海老名,海老名,海老名,海老名,海老名,海老名,海老名,海老名,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,三浦,三浦,三浦,三浦,三浦,三浦,三浦,三浦,三浦,三浦
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,7.5,8,1,67.3,8,4.9,8,1,4.7,8,16.5,0,8,1,64.7,0,8,6.4,8,1,6.1,8,12.5,8,1,60.8,8,6.2,8,1,6.0,8,14.0,8,1,83.7,8,5.3,8,1,5.3,8,27.5,8,1,61.3,8,6.7,8,1,6.6,8
2023/2,45.0,8,1,67.0,8,6.9,8,1,5.7,8,41.0,0,8,1,64.7,0,8,7.9,8,1,6.7,8,33.0,8,1,61.1,8,8.0,8,1,6.8,8,61.5,8,1,89.5,8,7.1,8,1,6.1,8,49.5,8,1,68.1,8,8.1,8,1,7.0,8
2023/3,153.5,8,1,143.9,8,12.5,8,1,9.1,8,140.0,0,8,1,139.5,0,8,13.2,8,1,9.7,8,124.5,8,1,132.6,8,13.2,8,1,9.8,8,182.5,8,1,175.6,8,12.6,8,1,9.2,8,117.5,8,1,129.0,8,13.2,8,1,9.9,8
2023/4,103.0,8,1,152.9,8,16.0,8,1,14.1,8,95.0,0,8,1,143.1,0,8,16.6,8,1,14.5,8,90.5,8,1,134.4,8,16.5,8,1,14.4,8,129.5,8,1,181.7,8,16.2,8,1,14.0,8,94.0,8,1,132.1,8,16.4,8,1,14.3,8
2023/5,170.0,8,1,156.9,8,18.7,8,1,18.6,8,220.5,0,8,1,152.6,0,8,19.0,8,1,18.8,8,199.5,8,1,148.1,8,18.8,8,1,18.6,8,229.5,8,1,182.2,8,18.5,8,1,18.2,8,181.5,8,1,139.4,8,18.7,8,1,18.4,8
2023/6,356.5,8,1,178.2,8,22.8,8,1,21.9,8,333.0,0,8,1,188.8,0,8,23.2,8,1,21.8,8,306.0,8,1,171.9,8,22.8,8,1,21.6,8,374.0,8,1,219.3,8,22.6,8,1,21.3,8,318.5,8,1,179.6,8,22.4,8,1,21.3,8
