ダウンロードした時刻：2024/06/06 23:10:05

,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨,山梨
,大泉,大泉,大泉,大泉,大泉,大泉,大泉,大泉,大泉,大泉,韮崎,韮崎,韮崎,韮崎,韮崎,韮崎,韮崎,韮崎,韮崎,韮崎,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,勝沼,勝沼,勝沼,勝沼,勝沼,勝沼,勝沼,勝沼,勝沼,勝沼,大月,大月,大月,大月,大月,大月,大月,大月,大月,大月,古関,古関,古関,古関,古関,古関,古関,古関,古関,古関,切石,切石,切石,切石,切石,切石,切石,切石,切石,切石,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,河口湖,山中,山中,山中,山中,山中,山中,山中,山中,山中,山中,南部,南部,南部,南部,南部,南部,南部,南部,南部,南部
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,4.0,8,1,40.9,8,0.3,8,1,-0.2,8,4.5,8,1,47.8,8,1.9,8,1,2.0,8,3.0,0,8,1,42.7,0,8,3.3,8,1,3.1,8,2.0,8,1,38.9,8,2.7,8,1,2.1,8,5.5,8,1,52.2,8,2.2,8,1,1.8,8,4.5,8,1,56.8,8,0.7,8,1,0.3,8,1.5,8,1,60.5,8,1.9,8,1,1.8,8,4.0,0,8,1,60.9,0,8,-0.1,8,1,-0.4,8,7.0,8,1,82.1,8,-1.5,8,1,-2.4,8,9.0,8,1,92.6,8,3.9,8,1,3.6,8
2023/2,33.5,8,1,41.9,8,1.4,8,1,0.6,8,63.0,8,1,49.0,8,3.9,8,1,3.4,8,43.0,0,8,1,44.1,0,8,5.7,8,1,4.7,8,23.5,8,1,38.5,8,4.8,8,1,3.6,8,41.0,8,1,45.3,8,3.9,8,1,3.0,8,54.0,8,1,58.7,8,2.5,8,1,1.9,8,67.5,8,1,66.7,8,4.2,8,1,3.6,8,42.0,0,8,1,55.4,0,8,1.9,8,1,0.6,8,72.5,8,1,80.8,8,0.4,8,1,-1.2,8,90.5,8,1,106.5,8,6.2,8,1,5.0,8
2023/3,95.0,8,1,77.3,8,8.2,8,1,4.3,8,115.0,8,1,94.8,8,10.2,8,1,7.2,8,108.5,0,8,1,86.2,0,8,11.9,8,1,8.6,8,74.5,8,1,73.7,8,11.2,8,1,7.6,8,77.0,8,1,89.9,8,10.1,8,1,6.7,8,164.5,8,1,121.8,8,9.4,8,1,5.8,8,152.5,8,1,126.9,8,11.0,8,1,7.6,8,112.0,0,8,1,107.6,0,8,7.4,8,1,4.2,8,226.5,8,1,174.6,8,6.1,8,1,2.5,8,218.0,8,1,204.3,8,11.7,8,1,8.5,8
2023/4,80.0,8,1,82.4,8,11.6,8,1,9.8,8,81.0,8,1,88.7,8,14.0,8,1,12.7,8,70.0,0,8,1,79.5,0,8,15.6,8,1,14.0,8,51.0,8,1,73.0,8,15.0,8,1,13.2,8,40.0,8,1,87.7,8,14.4,8,1,12.1,8,98.0,8,1,127.6,8,12.8,8,1,11.4,8,101.0,8,1,120.5,8,14.3,8,1,13.0,8,74.5,0,8,1,106.1,0,8,11.4,8,1,9.5,8,172.0,8,1,181.1,8,10.2,8,1,7.9,8,170.0,8,1,204.1,8,15.0,8,1,13.6,8
2023/5,135.0,8,1,96.5,8,15.1,8,1,14.8,8,96.0,8,1,96.6,8,17.2,8,1,17.5,8,73.0,0,8,1,85.4,0,8,18.9,8,1,18.8,8,84.0,8,1,84.3,8,18.3,8,1,18.0,8,128.5,8,1,101.5,8,17.2,8,1,16.9,8,147.0,8,1,128.1,8,15.9,8,1,16.0,8,133.5,8,1,134.7,8,17.4,8,1,17.7,8,124.5,0,8,1,123.2,0,8,14.5,8,1,14.3,8,216.5,8,1,188.0,8,13.5,8,1,12.8,8,221.5,8,1,214.2,8,18.2,8,1,18.2,8
2023/6,281.5,8,1,135.1,8,19.4,8,1,18.4,8,224.0,8,1,124.0,8,21.2,8,1,21.1,8,256.0,0,8,1,113.4,0,8,22.8,8,1,22.3,8,258.0,8,1,113.2,8,22.2,8,1,21.5,8,284.0,8,1,143.6,8,21.2,8,1,20.4,8,328.0,8,1,152.1,8,20.0,8,1,19.6,8,311.0,8,1,156.5,8,21.3,8,1,21.2,8,351.5,0,8,1,157.1,0,8,18.7,8,1,17.8,8,494.0,8,1,221.2,8,17.9,8,1,16.5,8,472.0,8,1,251.1,8,22.0,8,1,21.6,8
