ダウンロードした時刻：2024/06/06 23:14:17

,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知,愛知
,愛西,愛西,愛西,愛西,愛西,愛西,愛西,愛西,愛西,愛西,稲武,稲武,稲武,稲武,稲武,稲武,稲武,稲武,稲武,稲武,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,豊田,豊田,豊田,豊田,豊田,豊田,豊田,豊田,豊田,豊田,大府,大府,大府,大府,大府,大府,大府,大府,大府,大府,岡崎,岡崎,岡崎,岡崎,岡崎,岡崎,岡崎,岡崎,岡崎,岡崎,新城,新城,新城,新城,新城,新城,新城,新城,新城,新城,セントレア,セントレア,セントレア,セントレア,セントレア,セントレア,セントレア,セントレア,セントレア,セントレア,蒲郡,蒲郡,蒲郡,蒲郡,蒲郡,蒲郡,蒲郡,蒲郡,蒲郡,蒲郡,南知多,南知多,南知多,南知多,南知多,南知多,南知多,南知多,南知多,南知多,豊橋,豊橋,豊橋,豊橋,豊橋,豊橋,豊橋,豊橋,豊橋,豊橋,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖,伊良湖
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,31.5,8,1,57.2,8,4.7,8,1,4.2,8,53.5,8,1,69.7,8,0.6,8,1,0.2,8,25.0,0,8,1,50.8,0,8,5.2,8,1,4.8,8,34.0,8,1,48.0,8,4.0,8,1,3.6,8,16.5,8,1,53.3,8,5.4,8,1,5.3,8,31.5,8,1,53.7,8,4.1,8,1,4.1,8,53.5,8,1,51.6,8,4.5,8,1,4.4,8,18.0,8,1,42.1,8,6.7,8,1,6.3,8,35.5,8,1,58.8,8,5.8,8,1,5.6,8,28.0,8,1,54.4,8,6.1,8,1,5.2,8,39.0,8,1,50.3,8,5.7,8,1,5.4,8,41.0,0,8,1,61.9,0,8,6.4,8,1,6.0,8
2023/2,44.0,8,1,67.9,8,5.9,8,1,4.9,8,82.0,8,1,85.8,8,2.1,8,1,1.0,8,44.0,0,8,1,64.7,0,8,6.5,8,1,5.5,8,38.0,8,1,61.2,8,5.7,8,1,4.5,8,34.0,8,1,56.3,8,6.7,8,1,5.9,8,35.5,8,1,60.9,8,5.6,8,1,5.0,8,38.5,8,1,100.7,8,6.4,8,1,5.8,8,31.0,8,1,61.3,8,7.1,8,1,6.6,8,34.0,8,1,67.0,8,7.1,8,1,6.2,8,35.5,8,1,59.3,8,6.9,8,1,5.6,8,32.5,8,1,79.9,8,6.9,8,1,6.4,8,40.0,0,8,1,68.3,0,8,7.1,8,1,6.3,8
2023/3,78.0,8,1,122.8,8,11.6,8,1,8.4,8,135.5,8,1,160.6,8,8.0,8,1,4.8,8,95.0,0,8,1,116.2,0,8,12.7,8,1,9.2,8,104.0,8,1,112.0,8,11.7,8,1,8.3,8,72.5,8,1,113.8,8,12.5,8,1,10.0,8,111.0,8,1,115.8,8,11.5,8,1,8.6,8,129.5,8,1,167.0,8,11.4,8,1,8.8,8,63.0,8,1,95.1,8,11.8,8,1,9.3,8,99.5,8,1,128.1,8,12.6,8,1,9.4,8,83.5,8,1,107.7,8,12.1,8,1,8.7,8,93.5,8,1,127.5,8,12.3,8,1,9.5,8,105.5,0,8,1,121.5,0,8,12.3,8,1,9.4,8
2023/4,218.0,5,1,149.3,8,15.0,5,1,13.8,8,187.0,5,1,157.8,8,11.7,5,1,10.2,8,144.0,0,8,1,127.5,0,8,15.9,8,1,14.6,8,134.0,8,1,119.5,8,15.1,8,1,13.7,8,112.5,8,1,141.1,8,15.8,8,1,14.8,8,142.0,8,1,123.6,8,15.1,8,1,13.8,8,208.5,8,1,192.0,8,14.7,8,1,13.6,8,101.5,8,1,112.8,8,15.3,8,1,13.9,8,160.0,8,1,139.3,8,15.5,8,1,14.5,8,128.0,5,1,122.2,8,15.4,8,1,13.7,8,140.0,8,1,150.9,8,15.7,8,1,14.3,8,100.0,0,8,1,138.8,0,8,15.8,8,1,14.3,8
2023/5,212.5,8,1,175.1,8,19.5,8,1,18.8,8,318.0,8,1,169.4,8,15.4,8,1,15.2,8,173.0,0,8,1,150.3,0,8,20.2,8,1,19.4,8,198.0,8,1,142.2,8,19.3,8,1,18.5,8,175.5,8,1,128.5,8,19.8,8,1,20.0,8,203.0,5,1,139.4,8,19.2,5,1,18.6,8,315.0,5,1,220.3,8,18.5,8,1,18.3,8,146.0,8,1,130.4,8,19.3,8,1,18.8,8,222.5,5,1,160.9,8,19.1,8,1,18.9,8,187.5,8,1,159.9,8,19.1,8,1,18.3,8,245.5,8,1,178.1,8,19.4,8,1,19.0,8,221.5,0,8,1,163.5,0,8,19.3,8,1,18.8,8
2023/6,355.0,8,1,213.2,8,23.3,8,1,22.6,8,471.0,8,1,223.8,8,19.3,8,1,19.1,8,377.5,0,8,1,186.5,0,8,23.8,8,1,23.0,8,384.0,8,1,183.6,8,23.0,8,1,22.3,8,331.5,8,1,164.0,8,23.3,8,1,23.1,8,412.0,8,1,177.1,8,22.8,8,1,22.3,8,606.0,8,1,229.6,8,22.3,8,1,21.8,8,277.5,8,1,166.4,8,22.9,8,1,22.5,8,483.5,8,1,193.3,8,22.7,8,1,22.2,8,401.5,8,1,187.7,8,22.7,8,1,21.9,8,535.0,8,1,184.6,8,22.8,8,1,22.3,8,585.0,0,8,1,179.6,0,8,22.9,8,1,22.2,8
