ダウンロードした時刻：2024/06/06 23:36:36

,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀,滋賀
,今津,今津,今津,今津,今津,今津,今津,今津,今津,今津,長浜,長浜,長浜,長浜,長浜,長浜,長浜,長浜,長浜,長浜,米原,米原,米原,米原,米原,米原,米原,米原,米原,米原,南小松,南小松,南小松,南小松,南小松,南小松,南小松,南小松,南小松,南小松,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,東近江,東近江,東近江,東近江,東近江,東近江,東近江,東近江,東近江,東近江,大津,大津,大津,大津,大津,大津,大津,大津,大津,大津,信楽,信楽,信楽,信楽,信楽,信楽,信楽,信楽,信楽,信楽,土山,土山,土山,土山,土山,土山,土山,土山,土山,土山
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,188.0,8,1,192.5,8,3.1,8,1,2.8,8,126.0,8,1,137.2,8,3.2,8,1,2.9,8,95.5,8,1,115.0,8,2.4,8,1,2.1,8,138.5,8,1,128.0,8,4.0,8,1,3.8,8,60.5,0,8,1,112.0,0,8,4.1,8,1,3.9,8,65.5,8,1,77.7,8,3.1,8,1,3.1,8,43.5,8,1,56.8,8,4.3,8,1,4.1,8,56.0,8,1,60.2,8,1.5,8,1,1.6,8,43.0,8,1,65.6,8,2.5,8,1,2.2,8
2023/2,100.5,8,1,144.2,8,4.0,8,1,3.1,8,65.0,8,1,104.4,8,4.2,8,1,3.3,8,65.5,8,1,93.5,8,3.5,8,1,3.1,8,104.0,8,1,124.3,8,4.5,8,1,3.9,8,55.0,0,8,1,99.6,0,8,5.0,8,1,4.2,8,69.0,8,1,82.2,8,4.3,8,1,3.5,8,47.5,8,1,69.7,8,5.0,8,1,4.4,8,64.0,8,1,68.9,8,2.6,8,1,2.0,8,54.5,8,1,74.7,8,3.5,8,1,2.7,8
2023/3,100.0,8,1,139.9,8,9.4,8,1,6.4,8,86.0,8,1,111.3,8,9.8,8,1,6.8,8,97.0,8,1,112.4,8,9.2,8,1,6.2,8,100.5,8,1,140.9,8,9.9,8,1,7.1,8,100.5,0,8,1,114.9,0,8,10.2,5,1,7.3,8,67.5,8,1,105.8,8,9.9,8,1,7.0,8,85.0,8,1,117.9,8,10.7,8,1,7.6,8,58.5,8,1,114.9,8,7.8,8,1,5.3,8,60.0,8,1,109.1,8,9.3,8,1,6.0,8
2023/4,177.5,8,1,126.6,8,12.8,8,1,11.7,8,139.5,8,1,108.3,8,13.5,8,1,12.2,8,153.0,8,1,115.1,8,12.7,8,1,11.7,8,207.5,8,1,144.3,8,13.5,8,1,12.2,8,188.5,0,8,1,117.3,0,8,13.7,8,1,12.4,8,133.5,8,1,102.9,8,13.4,8,1,12.4,8,178.0,8,1,125.6,8,14.3,8,1,13.1,8,143.0,8,1,114.3,8,11.8,8,1,10.6,8,136.5,8,1,112.5,8,12.8,8,1,11.4,8
2023/5,196.0,8,1,167.0,8,17.5,8,1,17.0,8,196.5,5,1,138.0,8,18.0,5,1,17.4,8,213.5,8,1,132.5,8,17.3,8,1,16.9,8,179.5,8,1,180.9,8,17.9,8,1,17.3,8,206.0,0,8,1,146.9,0,8,18.2,8,1,17.6,8,191.5,5,1,130.7,8,18.1,5,1,17.7,8,249.0,8,1,156.9,8,18.8,8,1,18.2,8,212.5,8,1,143.1,8,16.2,8,1,15.8,8,189.0,5,1,150.1,8,17.0,5,1,16.4,8
2023/6,271.0,8,1,175.1,8,21.5,8,1,21.2,8,264.0,8,1,164.7,8,21.6,8,1,21.4,8,261.5,8,1,168.5,8,21.2,8,1,21.0,8,221.0,8,1,225.6,8,21.8,8,1,21.4,8,249.0,0,8,1,175.6,0,8,22.3,8,1,21.8,8,235.0,8,1,181.0,8,22.1,8,1,21.7,8,234.0,8,1,217.7,8,22.7,8,1,22.1,8,229.0,5,1,204.8,8,20.4,5,1,19.9,8,253.0,8,1,197.0,8,20.9,8,1,20.4,8
