ダウンロードした時刻：2024/06/06 23:41:54

,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,針,針,針,針,針,針,針,針,針,針,大宇陀,大宇陀,大宇陀,大宇陀,大宇陀,大宇陀,大宇陀,大宇陀,大宇陀,大宇陀,五條,五條,五條,五條,五條,五條,五條,五條,五條,五條,上北山,上北山,上北山,上北山,上北山,上北山,上北山,上北山,上北山,上北山,風屋,風屋,風屋,風屋,風屋,風屋,風屋,風屋,風屋,風屋
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,27.5,0,8,1,52.4,0,8,4.7,8,1,4.5,8,49.5,8,1,61.8,8,1.4,8,1,1.3,8,59.5,8,1,65.1,8,2.2,8,1,2.1,8,66.0,8,1,58.4,8,3.5,8,1,3.3,8,62.0,8,1,80.7,8,2.8,8,1,2.9,8,89.0,8,1,79.0,8,3.4,8,1,3.4,8
2023/2,39.0,0,8,1,63.1,0,8,5.4,8,1,5.1,8,51.0,8,1,67.2,8,2.2,8,1,1.7,8,53.5,8,1,77.2,8,2.9,8,1,2.6,8,35.5,8,1,79.2,8,4.4,8,1,4.2,8,52.0,8,1,104.4,8,4.3,8,1,3.7,8,50.5,8,1,103.1,8,4.5,8,1,4.0,8
2023/3,66.5,0,8,1,105.1,0,8,11.6,8,1,8.5,8,78.0,8,1,116.0,8,7.9,8,1,5.1,8,101.5,8,1,113.0,8,8.6,8,1,5.9,8,93.0,8,1,104.7,8,10.2,8,1,7.6,8,125.5,8,1,164.2,8,9.4,8,1,7.1,8,137.5,8,1,162.6,8,10.0,8,1,7.3,8
2023/4,149.5,0,8,1,98.9,0,8,14.9,8,1,14.0,8,135.5,8,1,110.6,8,11.5,8,1,10.6,8,144.5,8,1,107.6,8,12.3,8,1,11.4,8,120.0,8,1,96.5,8,13.9,8,1,12.5,8,228.0,5,1,175.2,8,12.9,5,1,12.0,8,240.5,5,1,168.4,8,13.5,5,1,12.4,8
2023/5,205.5,0,8,1,138.5,0,8,19.0,8,1,19.0,8,189.5,8,1,149.6,8,15.7,8,1,15.7,8,201.0,5,1,138.8,8,16.4,5,1,16.5,8,209.5,8,1,119.2,8,17.7,8,1,17.8,8,242.5,8,1,223.4,8,16.6,8,1,16.6,8,248.5,8,1,208.0,8,17.3,8,1,17.0,8
2023/6,235.0,0,8,1,184.1,0,8,22.9,8,1,22.9,8,251.0,8,1,208.6,8,19.8,8,1,19.5,8,301.5,8,1,194.5,8,20.6,8,1,20.4,8,382.0,8,1,177.7,8,21.6,8,1,21.5,8,528.5,8,1,316.1,8,20.0,8,1,20.1,8,636.0,8,1,341.0,8,20.8,8,1,20.5,8
