ダウンロードした時刻：2024/06/06 23:45:11

,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山
,上長田,上長田,上長田,上長田,上長田,上長田,上長田,上長田,上長田,上長田,千屋,千屋,千屋,千屋,千屋,千屋,千屋,千屋,千屋,千屋,奈義,奈義,奈義,奈義,奈義,奈義,奈義,奈義,奈義,奈義,今岡,今岡,今岡,今岡,今岡,今岡,今岡,今岡,今岡,今岡,久世,久世,久世,久世,久世,久世,久世,久世,久世,久世,津山,津山,津山,津山,津山,津山,津山,津山,津山,津山,津山,津山,新見,新見,新見,新見,新見,新見,新見,新見,新見,新見,福渡,福渡,福渡,福渡,福渡,福渡,福渡,福渡,福渡,福渡,和気,和気,和気,和気,和気,和気,和気,和気,和気,和気,高梁,高梁,高梁,高梁,高梁,高梁,高梁,高梁,高梁,高梁,日応寺,日応寺,日応寺,日応寺,日応寺,日応寺,日応寺,日応寺,日応寺,日応寺,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,虫明,虫明,虫明,虫明,虫明,虫明,虫明,虫明,虫明,虫明,倉敷,倉敷,倉敷,倉敷,倉敷,倉敷,倉敷,倉敷,倉敷,倉敷,笠岡,笠岡,笠岡,笠岡,笠岡,笠岡,笠岡,笠岡,笠岡,笠岡,玉野,玉野,玉野,玉野,玉野,玉野,玉野,玉野,玉野,玉野
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,292.5,8,1,174.0,8,0.6,8,1,0.3,8,104.5,8,1,106.1,8,0.2,8,1,-0.2,8,74.5,8,1,60.3,8,1.9,8,1,1.8,8,90.5,8,1,73.8,8,1.9,8,1,1.6,8,65.0,8,1,58.1,8,2.4,8,1,2.2,8,69.5,0,8,1,52.2,0,8,2.6,8,1,2.5,8,46.0,8,1,50.9,8,1.6,8,1,1.1,8,26.0,8,1,40.4,8,2.4,8,1,2.5,8,23.5,8,1,37.9,8,2.9,8,1,2.9,8,32.0,8,1,39.4,8,2.8,8,1,2.8,8,22.5,8,1,30.4,8,3.5,8,1,2.9,8,19.5,0,8,1,36.2,0,8,4.8,8,1,4.6,8,19.0,8,1,36.1,8,4.5,8,1,4.2,8,20.0,8,1,34.4,8,4.9,8,1,4.6,8,18.5,8,1,33.0,8,5.0,8,1,4.5,8,27.5,8,1,35.5,8,5.9,8,1,5.5,8
2023/2,166.0,8,1,152.4,8,1.3,8,1,0.7,8,82.5,8,1,102.2,8,1.0,8,1,0.3,8,47.5,8,1,67.5,8,3.4,8,1,2.6,8,53.5,8,1,81.4,8,3.0,8,1,2.4,8,48.5,8,1,63.6,8,3.5,8,1,3.0,8,41.5,0,8,1,59.3,0,8,3.9,8,1,3.4,8,45.5,8,1,56.9,8,2.7,8,1,1.7,8,27.0,8,1,48.5,8,3.8,8,1,3.3,8,26.5,8,1,45.4,8,4.2,8,1,3.7,8,27.5,8,1,48.8,8,4.2,8,1,3.7,8,26.5,8,1,50.6,8,4.4,8,1,3.9,8,24.5,0,8,1,45.4,0,8,5.7,8,1,5.2,8,27.0,8,1,43.8,8,5.2,8,1,4.5,8,26.5,8,1,42.4,8,5.6,8,1,5.2,8,24.0,8,1,41.6,8,5.7,8,1,5.1,8,28.5,8,1,42.9,8,6.2,8,1,5.8,8
2023/3,79.5,8,1,161.7,8,6.9,8,1,4.1,8,82.0,8,1,137.5,8,7.1,8,1,3.7,8,84.5,8,1,105.1,8,9.2,8,1,6.1,8,92.0,8,1,116.5,8,9.3,8,1,6.0,8,69.0,8,1,104.0,8,9.4,8,1,6.4,8,72.0,0,8,1,99.7,0,8,10.0,8,1,6.8,8,60.5,8,1,100.9,8,8.7,8,1,5.2,8,65.0,8,1,91.9,8,9.7,8,1,6.7,8,68.0,8,1,86.9,8,10.0,8,1,7.0,8,59.5,8,1,90.2,8,10.4,8,1,7.3,8,65.5,8,1,85.4,8,10.6,8,1,7.1,8,70.5,0,8,1,82.5,0,8,11.8,8,1,8.7,8,72.5,8,1,83.8,8,10.4,8,1,7.7,8,57.0,8,1,78.2,8,11.7,8,1,8.5,8,51.5,8,1,76.6,8,11.4,8,1,8.3,8,60.5,8,1,77.9,8,11.0,8,1,8.8,8
2023/4,191.0,8,1,126.7,8,10.7,8,1,9.6,8,252.0,8,1,131.8,8,10.5,8,1,9.4,8,233.0,8,1,120.1,8,12.7,8,1,11.6,8,240.0,8,1,126.9,8,12.6,8,1,11.6,8,258.5,8,1,113.9,8,12.7,8,1,12.1,8,249.5,0,8,1,116.1,0,8,13.3,8,1,12.4,8,221.5,8,1,104.3,8,11.8,8,1,10.9,8,212.0,8,1,102.1,8,12.8,8,1,12.2,8,185.5,8,1,96.1,8,13.3,8,1,12.4,8,196.0,8,1,96.9,8,13.6,8,1,12.9,8,204.5,8,1,100.8,8,13.3,8,1,12.6,8,160.5,0,8,1,90.0,0,8,14.8,8,1,14.1,8,134.0,8,1,88.3,8,14.0,8,1,12.8,8,174.0,8,1,82.5,8,14.7,8,1,13.9,8,172.0,8,1,81.2,8,14.6,8,1,13.6,8,126.0,8,1,78.7,8,14.5,8,1,13.7,8
2023/5,276.5,8,1,142.3,8,14.6,8,1,14.7,8,222.5,8,1,149.5,8,14.9,8,1,14.5,8,262.5,8,1,157.3,8,17.4,8,1,17.0,8,271.5,8,1,164.7,8,17.1,8,1,16.8,8,260.0,8,1,142.5,8,17.3,8,1,17.4,8,261.5,0,8,1,148.5,0,8,17.6,8,1,17.5,8,209.5,8,1,135.6,8,16.1,8,1,15.9,8,221.5,5,1,131.0,8,17.3,5,1,17.3,8,237.0,8,1,122.5,8,17.6,8,1,17.5,8,247.0,5,1,125.6,8,18.0,5,1,18.1,8,219.5,8,1,116.5,8,17.5,8,1,17.7,8,201.0,0,8,1,112.6,0,8,19.2,8,1,19.1,8,203.0,8,1,116.2,8,18.2,8,1,17.8,8,210.0,8,1,101.9,8,19.1,8,1,19.1,8,188.0,5,1,102.7,8,18.8,5,1,18.6,8,171.5,8,1,103.1,8,18.5,8,1,18.5,8
2023/6,204.5,8,1,181.3,8,19.3,8,1,18.8,8,198.0,8,1,193.1,8,19.1,8,1,18.4,8,235.0,5,1,191.3,8,21.2,5,1,21.0,8,226.5,8,1,193.6,8,21.1,8,1,20.8,8,228.5,5,1,185.1,8,21.4,5,1,21.4,8,236.5,0,8,1,185.1,0,8,21.5,8,1,21.5,8,187.5,5,1,178.1,8,20.0,5,1,19.7,8,169.5,8,1,171.0,8,21.6,8,1,21.5,8,146.5,5,1,162.6,8,21.7,5,1,21.6,8,169.0,8,1,166.5,8,22.2,8,1,22.0,8,165.0,8,1,170.1,8,21.2,8,1,21.4,8,143.5,0,8,1,169.3,0,8,23.0,8,1,22.7,8,136.0,5,1,154.2,8,21.9,8,1,21.9,8,128.5,5,1,149.8,8,23.3,5,1,22.9,8,133.0,8,1,160.7,8,22.4,8,1,22.6,8,105.5,8,1,146.2,8,22.4,8,1,22.2,8
