ダウンロードした時刻：2024/06/06 23:50:29

,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取
,境,境,境,境,境,境,境,境,境,境,境,境,塩津,塩津,塩津,塩津,塩津,塩津,塩津,塩津,塩津,塩津,青谷,青谷,青谷,青谷,青谷,青谷,青谷,青谷,青谷,青谷,湖山,湖山,湖山,湖山,湖山,湖山,湖山,湖山,湖山,湖山,岩井,岩井,岩井,岩井,岩井,岩井,岩井,岩井,岩井,岩井,米子,米子,米子,米子,米子,米子,米子,米子,米子,米子,米子,米子,倉吉,倉吉,倉吉,倉吉,倉吉,倉吉,倉吉,倉吉,倉吉,倉吉,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,智頭,智頭,智頭,智頭,智頭,智頭,智頭,智頭,智頭,智頭,茶屋,茶屋,茶屋,茶屋,茶屋,茶屋,茶屋,茶屋,茶屋,茶屋
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,174.5,0,8,1,188.4,0,8,5.3,8,1,4.9,8,183.5,8,1,160.8,8,5.3,8,1,5.0,8,224.5,8,1,195.5,8,5.0,8,1,4.6,8,135.0,8,1,139.4,8,5.1,8,1,4.6,8,239.5,8,1,225.1,8,4.2,8,1,3.7,8,156.0,0,8,1,151.7,0,8,5.1,8,1,4.7,8,191.0,8,1,154.2,8,4.9,8,1,4.4,8,237.0,0,8,1,201.2,0,8,4.7,8,1,4.2,8,197.5,8,1,159.5,8,2.0,8,1,1.6,8,122.0,8,1,137.1,8,-0.4,8,1,-0.2,8
2023/2,110.0,0,8,1,136.0,0,8,6.1,8,1,5.3,8,93.0,8,1,113.8,8,6.0,8,1,5.4,8,84.0,8,1,140.2,8,5.7,8,1,4.8,8,48.0,8,1,101.4,8,6.0,8,1,5.2,8,54.0,8,1,153.5,8,4.8,8,1,4.0,8,93.0,0,8,1,117.5,0,8,6.0,8,1,5.1,8,81.0,8,1,112.1,8,5.5,8,1,4.7,8,86.0,0,8,1,154.0,0,8,5.7,8,1,4.7,8,137.0,8,1,143.3,8,2.2,8,1,2.1,8,81.5,8,1,114.2,8,0.8,8,1,0.3,8
2023/3,67.0,0,8,1,139.7,0,8,11.1,8,1,8.3,8,86.5,8,1,123.3,8,10.5,8,1,8.0,8,112.0,8,1,138.3,8,10.0,8,1,7.5,8,48.5,8,1,112.3,8,10.8,8,1,8.0,8,41.0,8,1,149.9,8,9.8,8,1,6.9,8,69.0,0,8,1,128.2,0,8,11.2,8,1,8.2,8,74.0,8,1,124.1,8,10.7,8,1,7.7,8,77.5,0,8,1,144.3,0,8,11.1,8,1,7.9,8,102.0,8,1,164.6,8,8.8,8,1,5.7,8,92.0,8,1,138.2,8,6.9,8,1,3.9,8
2023/4,179.5,0,8,1,111.2,0,8,14.5,8,1,13.3,8,181.0,8,1,100.2,8,13.6,8,1,12.6,8,185.5,8,1,101.6,8,13.4,8,1,12.2,8,147.0,8,1,90.1,8,13.9,8,1,12.7,8,206.0,8,1,114.4,8,13.1,8,1,12.0,8,176.5,0,8,1,106.3,0,8,14.3,8,1,13.2,8,182.0,8,1,100.0,8,13.8,8,1,12.6,8,205.0,0,5,1,102.2,0,8,14.3,8,1,13.2,8,261.0,8,1,130.9,8,12.4,8,1,11.3,8,172.5,8,1,121.4,8,10.5,8,1,9.6,8
2023/5,274.0,0,8,1,123.3,0,8,18.5,8,1,18.1,8,275.5,8,1,111.3,8,17.3,8,1,17.1,8,239.5,8,1,122.9,8,17.2,8,1,16.9,8,181.5,8,1,99.3,8,17.8,8,1,17.5,8,229.0,8,1,136.8,8,17.2,8,1,16.9,8,257.5,0,8,1,119.1,0,8,18.6,8,1,18.2,8,237.0,8,1,115.2,8,17.8,8,1,17.4,8,222.0,0,8,1,123.0,0,8,18.6,8,1,18.1,8,218.0,8,1,146.1,8,16.5,8,1,16.5,8,233.0,8,1,131.9,8,15.0,8,1,15.0,8
2023/6,153.5,0,8,1,170.8,0,8,23.0,8,1,21.8,8,175.0,8,1,157.1,8,22.0,8,1,20.8,8,159.5,8,1,157.4,8,21.8,8,1,20.8,8,143.0,8,1,130.9,8,22.4,8,1,21.4,8,230.5,8,1,161.2,8,21.7,8,1,20.8,8,160.5,0,8,1,169.5,0,8,23.2,8,1,21.8,8,193.5,8,1,145.6,8,22.4,8,1,21.2,8,206.0,0,8,1,146.0,0,8,22.9,8,1,22.0,8,184.5,8,1,168.9,8,20.7,8,1,20.5,8,252.0,8,1,194.1,8,19.5,8,1,18.9,8
