ダウンロードした時刻：2024/06/06 23:51:54

,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
,池田,池田,池田,池田,池田,池田,池田,池田,池田,池田,穴吹,穴吹,穴吹,穴吹,穴吹,穴吹,穴吹,穴吹,穴吹,穴吹,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,京上,京上,京上,京上,京上,京上,京上,京上,京上,京上,蒲生田,蒲生田,蒲生田,蒲生田,蒲生田,蒲生田,蒲生田,蒲生田,蒲生田,蒲生田,木頭,木頭,木頭,木頭,木頭,木頭,木頭,木頭,木頭,木頭,日和佐,日和佐,日和佐,日和佐,日和佐,日和佐,日和佐,日和佐,日和佐,日和佐,海陽,海陽,海陽,海陽,海陽,海陽,海陽,海陽,海陽,海陽
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,64.5,8,1,56.5,8,3.8,8,1,3.5,8,45.5,8,1,47.3,8,4.9,8,1,4.3,8,22.0,0,8,1,41.9,0,8,6.8,8,1,6.3,8,78.5,8,1,81.2,8,2.1,8,1,1.4,8,54.5,8,1,69.6,8,7.3,8,1,7.0,8,55.5,8,1,77.0,8,2.5,8,1,2.6,8,53.0,8,1,79.7,8,7.2,8,1,6.9,8,56.0,8,1,77.8,8,6.6,8,1,5.9,8
2023/2,49.0,8,1,60.9,8,4.8,8,1,4.2,8,36.0,8,1,54.2,8,5.7,8,1,5.2,8,33.0,0,8,1,53.0,0,8,7.1,8,1,6.8,8,50.5,8,1,104.0,8,3.2,8,1,2.4,8,37.0,8,1,91.1,8,7.7,8,1,7.2,8,53.5,8,1,108.2,8,4.3,8,1,3.9,8,39.5,8,1,110.8,8,8.0,8,1,7.5,8,41.0,8,1,133.8,8,7.8,8,1,7.2,8
2023/3,86.5,8,1,94.5,8,10.2,8,1,7.5,8,70.0,8,1,79.4,8,11.4,8,1,8.5,8,80.0,0,8,1,87.8,0,8,12.7,8,1,9.9,8,136.5,8,1,142.9,8,8.7,8,1,5.9,8,96.0,8,1,133.5,8,12.5,8,1,9.9,8,152.5,8,1,176.2,8,9.6,8,1,7.4,8,138.5,8,1,186.0,8,12.8,8,1,10.5,8,184.0,8,1,186.7,8,12.6,8,1,10.3,8
2023/4,150.0,8,1,86.1,8,13.5,8,1,13.0,8,106.0,8,1,67.5,8,14.5,8,1,13.8,8,159.0,0,8,1,104.3,0,8,16.0,8,1,15.0,8,269.5,8,1,142.2,8,12.1,8,1,11.1,8,192.0,8,1,149.0,8,15.5,8,1,14.6,8,320.5,5,1,204.9,8,12.9,5,1,12.5,8,271.5,5,1,227.2,8,15.8,5,1,15.1,8,305.5,5,1,286.9,8,16.0,5,1,14.6,8
2023/5,192.5,5,1,124.6,8,17.6,5,1,17.7,8,161.5,8,1,105.9,8,18.2,8,1,18.5,8,179.5,0,8,1,146.6,0,8,19.6,8,1,19.6,8,276.0,8,1,177.9,8,15.8,8,1,15.6,8,338.5,8,1,182.7,8,18.7,8,1,18.8,8,359.5,8,1,277.4,8,17.0,8,1,16.9,8,379.5,8,1,248.7,8,19.1,8,1,19.2,8,320.5,8,1,250.2,8,18.6,8,1,19.0,8
2023/6,231.0,8,1,197.6,8,21.4,8,1,21.2,8,267.5,8,1,167.8,8,22.0,8,1,21.9,8,293.5,0,8,1,192.6,0,8,22.9,8,1,23.0,8,321.0,8,1,299.1,8,19.3,8,1,19.1,8,587.5,8,1,242.8,8,22.0,8,1,22.0,8,485.0,8,1,398.7,8,20.4,8,1,20.3,8,631.5,8,1,340.8,8,22.3,8,1,22.4,8,556.5,8,1,453.0,8,22.2,8,1,22.2,8
2023/7,131.0,8,1,211.5,8,26.0,8,1,25.1,8,117.0,8,1,216.0,8,26.4,8,1,25.7,8,68.0,0,8,1,177.0,0,8,27.9,8,1,26.8,8,223.0,8,1,414.1,8,23.4,8,1,22.8,8,84.5,8,1,229.3,8,26.6,8,1,25.7,8,84.5,8,1,479.6,8,24.9,8,1,24.0,8,215.5,8,1,307.0,8,26.9,8,1,26.1,8,232.5,8,1,433.0,8,26.9,8,1,26.1,8
2023/8,292.5,8,1,169.2,8,26.1,8,1,25.6,8,351.0,8,1,222.6,8,26.9,8,1,26.5,8,450.5,0,8,1,193.0,0,8,28.6,8,1,28.1,8,607.5,8,1,331.8,8,23.6,8,1,23.2,8,472.5,8,1,172.2,8,27.9,8,1,27.2,8,1331.0,8,1,546.8,8,24.8,8,1,24.5,8,399.0,8,1,255.7,8,27.8,8,1,27.4,8,419.5,8,1,311.8,8,27.6,8,1,27.4,8
2023/9,31.5,8,1,222.1,8,24.4,8,1,21.8,8,65.5,8,1,269.2,8,25.1,8,1,22.6,8,225.0,0,8,1,271.2,0,8,27.0,8,1,24.8,8,43.5,8,1,356.0,8,22.2,8,1,19.8,8,171.5,8,1,284.9,8,26.4,8,1,24.5,8,124.0,8,1,611.2,8,23.4,8,1,21.1,8,206.0,8,1,337.6,8,26.3,8,1,24.7,8,140.5,8,1,402.8,8,25.9,8,1,24.2,8
2023/10,34.0,8,1,136.8,8,15.8,8,1,16.0,8,24.5,8,1,163.5,8,17.0,8,1,17.1,8,42.5,0,8,1,199.5,0,8,19.3,8,1,19.3,8,35.5,8,1,188.0,8,13.6,8,1,14.1,8,73.5,8,1,228.8,8,19.5,8,1,19.6,8,47.5,8,1,283.5,8,14.9,8,1,15.6,8,52.5,8,1,254.8,8,19.3,8,1,19.8,8,35.5,8,1,341.3,8,18.5,8,1,19.4,8
2023/11,79.0,8,1,78.6,8,11.0,8,1,10.5,8,68.5,8,1,59.9,8,12.2,8,1,11.5,8,173.0,0,8,1,89.2,0,8,14.1,8,1,13.8,8,151.0,8,1,103.3,8,8.8,8,1,8.6,8,221.5,8,1,124.8,8,14.5,8,1,14.6,8,175.5,8,1,131.4,8,10.0,8,1,9.8,8,238.0,8,1,151.4,8,14.3,8,1,14.4,8,321.5,8,1,152.7,8,13.5,8,1,13.8,8
2023/12,44.5,8,1,84.6,8,6.3,8,1,5.6,8,28.5,8,1,68.9,8,7.1,8,1,6.4,8,35.0,0,8,1,63.9,0,8,9.1,8,1,8.7,8,47.0,8,1,108.9,8,4.2,8,1,3.5,8,35.0,8,1,83.3,8,10.1,8,1,9.5,8,55.0,8,1,96.4,8,5.3,8,1,4.5,8,49.5,8,1,104.4,8,9.9,8,1,9.3,8,49.0,8,1,117.3,8,9.2,8,1,8.2,8
