ダウンロードした時刻：2024/06/06 23:52:58

,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川,香川
,内海,内海,内海,内海,内海,内海,内海,内海,内海,内海,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,多度津,多度津,多度津,多度津,多度津,多度津,多度津,多度津,多度津,多度津,多度津,多度津,滝宮,滝宮,滝宮,滝宮,滝宮,滝宮,滝宮,滝宮,滝宮,滝宮,香南,香南,香南,香南,香南,香南,香南,香南,香南,香南,引田,引田,引田,引田,引田,引田,引田,引田,引田,引田,財田,財田,財田,財田,財田,財田,財田,財田,財田,財田
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,24.5,8,1,36.7,8,6.2,8,1,5.6,8,32.0,0,8,1,39.4,0,8,6.2,8,1,5.9,8,31.0,0,8,1,38.3,0,8,6.6,8,1,6.2,8,44.0,8,1,41.0,8,4.7,8,1,4.5,8,41.5,8,1,41.0,8,4.6,8,1,4.1,8,25.5,8,1,36.3,8,5.7,8,1,5.5,8,41.5,8,1,44.7,8,4.5,8,1,4.5,8
2023/2,33.0,8,1,43.2,8,6.2,8,1,5.9,8,41.0,0,8,1,45.8,0,8,6.5,8,1,6.3,8,33.5,0,8,1,46.3,0,8,6.4,8,1,6.4,8,43.5,8,1,48.0,8,4.9,8,1,5.0,8,46.0,8,1,54.8,8,4.9,8,1,4.9,8,29.0,8,1,44.1,8,6.2,8,1,5.7,8,42.5,8,1,51.9,8,5.0,8,1,4.9,8
2023/3,74.0,8,1,77.6,8,11.4,8,1,8.8,8,65.5,0,8,1,81.4,0,8,12.2,8,1,9.4,8,61.0,0,8,1,81.2,0,8,11.5,8,1,9.3,8,70.5,8,1,85.2,8,10.6,8,1,8.2,8,69.0,8,1,84.8,8,10.8,8,1,8.0,8,56.5,8,1,72.9,8,11.0,8,1,8.6,8,74.0,8,1,86.7,8,10.6,8,1,8.2,8
2023/4,104.5,8,1,78.4,8,14.6,8,1,13.9,8,126.0,0,8,1,74.6,0,8,15.5,8,1,14.7,8,140.5,0,8,1,79.5,0,8,15.1,8,1,14.2,8,140.5,8,1,79.5,8,14.1,8,1,13.6,8,110.0,8,1,77.8,8,13.9,8,1,13.3,8,82.5,8,1,78.6,8,14.8,8,1,13.7,8,135.0,8,1,86.0,8,14.3,8,1,13.4,8
2023/5,166.5,8,1,113.9,8,18.4,8,1,18.5,8,159.0,0,8,1,100.9,0,8,19.7,8,1,19.8,8,166.5,0,8,1,105.8,0,8,19.2,8,1,19.1,8,189.5,8,1,111.4,8,18.2,8,1,18.6,8,166.5,8,1,105.5,8,17.8,8,1,18.3,8,121.5,8,1,111.3,8,18.7,8,1,18.6,8,173.0,8,1,115.2,8,18.4,8,1,18.4,8
2023/6,140.5,8,1,156.7,8,22.4,8,1,22.1,8,153.0,0,8,1,153.1,0,8,23.5,8,1,23.3,8,154.0,0,8,1,160.5,0,8,22.9,8,1,22.6,8,166.5,5,1,164.4,8,22.5,5,1,22.3,8,172.5,8,1,160.7,8,21.8,8,1,21.8,8,206.5,8,1,159.3,8,22.3,8,1,22.2,8,179.0,5,1,171.7,8,21.9,5,1,22.2,8
2023/7,102.0,8,1,164.9,8,27.0,8,1,26.1,8,79.0,0,8,1,159.8,0,8,28.5,8,1,27.5,8,82.0,0,8,1,161.1,0,8,27.5,8,1,26.8,8,86.0,8,1,168.8,8,27.3,8,1,26.4,8,101.0,8,1,193.2,8,26.5,8,1,25.6,8,88.0,8,1,159.4,8,27.1,8,1,26.1,8,113.0,8,1,178.7,8,27.2,8,1,26.2,8
2023/8,305.0,8,1,116.7,8,28.7,8,1,27.4,8,246.0,0,8,1,106.0,0,8,29.7,8,1,28.6,8,161.0,0,8,1,88.9,0,8,29.0,8,1,28.3,8,250.5,8,1,105.7,8,27.9,8,1,27.3,8,242.0,8,1,150.1,8,27.1,8,1,26.7,8,283.0,8,1,168.6,8,28.6,8,1,27.2,8,309.5,8,1,121.5,8,27.6,8,1,27.1,8
2023/9,30.0,8,1,175.6,8,26.8,8,1,24.0,8,62.5,0,8,1,167.4,0,8,27.4,8,1,24.7,8,29.0,0,8,1,149.0,0,8,27.4,8,1,24.6,8,41.0,8,1,169.9,8,25.8,8,1,23.2,8,68.5,8,1,214.4,8,25.0,8,1,22.8,8,85.0,8,1,244.0,8,26.5,8,1,23.8,8,26.5,8,1,183.6,8,25.7,8,1,23.2,8
