ダウンロードした時刻：2024/06/06 23:56:38

,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知
,本川,本川,本川,本川,本川,本川,本川,本川,本川,本川,本山,本山,本山,本山,本山,本山,本山,本山,本山,本山,大栃,大栃,大栃,大栃,大栃,大栃,大栃,大栃,大栃,大栃,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,後免,後免,後免,後免,後免,後免,後免,後免,後免,後免,南国日章,南国日章,南国日章,南国日章,南国日章,南国日章,南国日章,南国日章,南国日章,南国日章,安芸,安芸,安芸,安芸,安芸,安芸,安芸,安芸,安芸,安芸,梼原,梼原,梼原,梼原,梼原,梼原,梼原,梼原,梼原,梼原,須崎,須崎,須崎,須崎,須崎,須崎,須崎,須崎,須崎,須崎,窪川,窪川,窪川,窪川,窪川,窪川,窪川,窪川,窪川,窪川,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,室戸岬,江川崎,江川崎,江川崎,江川崎,江川崎,江川崎,江川崎,江川崎,江川崎,江川崎,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,中村,中村,中村,中村,中村,中村,中村,中村,中村,中村,清水,清水,清水,清水,清水,清水,清水,清水,清水,清水,清水,清水
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,75.5,8,1,76.1,8,1.8,8,1,1.6,8,49.5,8,1,67.6,8,3.3,8,1,3.3,8,103.0,8,1,73.0,8,4.9,8,1,4.6,8,52.0,0,8,1,59.1,0,8,6.9,8,1,6.7,8,47.0,8,1,51.7,8,6.1,8,1,6.0,8,55.5,8,1,50.4,8,6.5,8,1,6.4,8,93.5,8,1,58.7,8,7.9,8,1,7.5,8,70.5,8,1,87.3,8,3.1,8,1,2.6,8,49.5,8,1,68.3,8,6.5,8,1,6.7,8,54.0,8,1,84.7,8,4.2,8,1,4.2,8,59.5,0,8,1,89.5,0,8,7.7,8,1,7.7,8,69.0,8,1,71.2,8,5.2,8,1,4.9,8,59.0,8,1,79.2,8,6.5,8,1,6.4,8,91.5,0,8,1,65.1,0,8,7.8,8,1,7.4,8,77.0,8,1,91.3,8,5.7,8,1,5.9,8,93.0,0,8,1,98.6,0,8,9.0,8,1,8.9,8
2023/2,48.0,8,1,114.3,8,3.2,8,1,2.4,8,47.0,8,1,103.6,8,5.0,8,1,4.2,8,47.0,8,1,123.9,8,6.3,8,1,5.6,8,46.0,0,8,1,107.8,0,8,8.5,8,1,7.8,8,36.0,8,1,95.1,8,8.0,8,1,7.1,8,35.5,8,1,106.2,8,8.3,8,1,7.9,8,35.5,8,1,91.6,8,9.0,8,1,8.4,8,52.5,8,1,109.0,8,4.2,8,1,3.6,8,49.5,8,1,99.2,8,7.8,8,1,7.6,8,65.0,8,1,115.8,8,5.7,8,1,5.3,8,54.0,0,8,1,113.8,0,8,8.7,8,1,8.2,8,56.0,8,1,94.2,8,6.7,8,1,5.9,8,65.0,8,1,118.7,8,7.9,8,1,7.4,8,62.0,0,8,1,90.4,0,8,8.7,8,1,8.2,8,77.5,8,1,116.9,8,7.5,8,1,7.1,8,65.5,0,8,1,116.4,0,8,10.5,8,1,9.8,8
2023/3,149.0,8,1,192.8,8,8.5,8,1,5.9,8,125.0,8,1,173.6,8,10.2,8,1,7.7,8,184.5,8,1,189.0,8,11.6,8,1,8.9,8,169.5,0,8,1,174.8,0,8,13.8,8,1,11.2,8,158.5,8,1,153.5,8,13.1,8,1,10.5,8,144.0,8,1,138.1,8,13.4,8,1,10.8,8,141.0,8,1,146.9,8,14.0,8,1,11.5,8,134.0,8,1,164.9,8,9.7,8,1,7.1,8,268.5,8,1,187.8,8,12.9,8,1,10.8,8,246.5,8,1,207.1,8,11.1,8,1,8.8,8,161.5,0,8,1,177.4,0,8,13.2,8,1,11.0,8,153.5,8,1,151.3,8,12.1,8,1,9.3,8,286.5,5,1,204.3,8,13.0,5,1,10.7,8,186.5,0,8,1,135.9,0,8,13.6,8,1,11.2,8,266.0,8,1,189.9,8,12.7,8,1,10.5,8,207.5,0,8,1,183.9,0,8,15.3,8,1,12.8,8
2023/4,397.0,8,1,221.3,8,11.9,8,1,10.8,8,357.0,8,1,196.0,8,13.7,8,1,12.7,8,490.5,8,1,231.8,8,14.8,5,1,13.8,8,464.0,0,8,1,225.3,0,8,16.7,8,1,15.8,8,397.0,5,1,195.6,8,16.3,5,1,15.2,8,314.5,8,1,184.4,8,16.3,8,1,15.4,8,264.0,8,1,174.7,8,16.8,8,1,15.9,8,285.5,8,1,180.5,8,12.8,8,1,12.1,8,306.5,8,1,221.6,8,15.7,8,1,15.3,8,345.0,8,1,253.9,8,14.3,8,1,13.6,8,181.0,0,8,1,203.2,0,8,15.6,8,1,15.2,8,279.5,8,1,166.6,8,15.4,8,1,14.2,8,391.5,8,1,234.9,8,16.1,8,1,15.1,8,256.5,0,8,1,157.0,0,8,16.7,8,1,15.6,8,294.5,8,1,212.5,8,15.7,8,1,15.2,8,162.0,0,8,1,221.8,0,8,17.5,8,1,16.9,8
2023/5,336.5,8,1,264.8,8,15.4,5,1,15.2,8,289.5,8,1,241.9,8,17.4,8,1,17.3,8,476.5,8,1,260.1,8,18.2,8,1,18.3,8,327.5,0,8,1,280.4,0,8,19.9,8,1,20.0,8,316.0,8,1,239.3,8,19.4,8,1,19.4,8,244.0,8,1,199.9,8,19.2,8,1,19.5,8,263.0,8,1,191.8,8,19.5,8,1,19.8,8,248.0,8,1,220.9,8,16.6,8,1,16.5,8,205.0,8,1,275.9,8,18.9,5,1,19.4,8,186.5,8,1,308.7,8,17.8,8,1,18.1,8,346.0,0,8,1,240.6,0,8,18.3,8,1,18.8,8,182.0,8,1,204.9,8,19.1,8,1,18.7,8,173.0,8,1,282.3,8,18.7,8,1,19.1,8,148.5,0,8,1,194.6,0,8,19.5,8,1,19.5,8,182.0,8,1,262.8,8,19.2,8,1,19.4,8,182.0,0,8,1,232.6,0,8,19.7,8,1,20.4,8
2023/6,326.0,8,1,367.8,8,18.8,8,1,18.8,8,348.0,8,1,352.6,8,21.1,8,1,21.0,8,432.5,8,1,383.5,8,21.5,8,1,21.6,8,419.0,0,8,1,359.5,0,8,23.0,8,1,23.1,8,372.0,8,1,316.1,8,22.5,8,1,22.5,8,440.5,8,1,288.6,8,22.3,8,1,22.6,8,517.0,8,1,305.3,8,22.6,8,1,22.7,8,377.0,5,1,353.7,8,20.0,5,1,20.0,8,407.0,8,1,376.8,8,22.1,8,1,22.4,8,457.0,8,1,425.8,8,21.3,8,1,21.4,8,574.0,0,8,1,330.8,0,8,21.4,8,1,21.5,8,368.0,8,1,355.2,8,22.5,8,1,22.1,8,564.0,8,1,424.5,8,22.1,8,1,22.2,8,433.0,0,8,1,328.6,0,8,22.8,8,1,22.6,8,570.5,5,1,418.2,8,22.8,5,1,22.6,8,619.0,0,8,1,400.2,0,8,23.0,8,1,23.0,8
