ダウンロードした時刻：2024/06/07 00:18:46

,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎
,鰐浦,鰐浦,鰐浦,鰐浦,鰐浦,鰐浦,鰐浦,鰐浦,鰐浦,鰐浦,厳原,厳原,厳原,厳原,厳原,厳原,厳原,厳原,厳原,厳原,厳原,厳原,美津島,美津島,美津島,美津島,美津島,美津島,美津島,美津島,美津島,美津島,芦辺,芦辺,芦辺,芦辺,芦辺,芦辺,芦辺,芦辺,芦辺,芦辺,石田,石田,石田,石田,石田,石田,石田,石田,石田,石田,平戸,平戸,平戸,平戸,平戸,平戸,平戸,平戸,平戸,平戸,平戸,平戸,松浦,松浦,松浦,松浦,松浦,松浦,松浦,松浦,松浦,松浦,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,佐世保,西海,西海,西海,西海,西海,西海,西海,西海,西海,西海,有川,有川,有川,有川,有川,有川,有川,有川,有川,有川,大村,大村,大村,大村,大村,大村,大村,大村,大村,大村,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,雲仙岳,島原,島原,島原,島原,島原,島原,島原,島原,島原,島原,福江,福江,福江,福江,福江,福江,福江,福江,福江,福江,福江,福江,上大津,上大津,上大津,上大津,上大津,上大津,上大津,上大津,上大津,上大津,口之津,口之津,口之津,口之津,口之津,口之津,口之津,口之津,口之津,口之津,脇岬,脇岬,脇岬,脇岬,脇岬,脇岬,脇岬,脇岬,脇岬,脇岬
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,6.3,8,1,5.8,8,28.5,8,1,43.3,8,6.2,8,1,6.0,8,183.0,0,8,1,80.1,0,8,6.2,8,1,5.5,8,78.0,8,1,60.9,8,6.6,8,1,6.2,8,65.0,8,1,76.1,8,6.6,8,1,6.4,8,62.5,8,1,65.7,8,7.5,8,1,7.0,8,131.0,0,8,1,84.9,0,8,7.0,8,1,7.0,8,122.0,8,1,86.0,8,7.3,8,1,7.0,8,96.5,0,8,1,63.4,0,8,7.6,8,1,,0,101.5,8,1,,0,8.3,8,1,7.7,8,133.0,8,1,83.2,8,7.0,8,1,6.7,8,101.0,8,1,57.4,8,7.4,8,1,7.2,8,156.0,0,8,1,63.1,0,8,2.9,8,1,2.5,8,167.0,0,8,1,88.2,0,8,6.9,8,1,7.0,8,107.5,8,1,64.2,8,8.1,8,1,7.6,8,137.5,0,8,1,93.4,0,8,7.5,8,1,6.9,8,98.5,8,1,72.8,8,7.4,8,1,7.2,8,79.5,8,1,60.9,8,8.9,8,1,,0,112.5,8,1,,0
2023/2,8.5,8,1,6.9,8,40.0,8,1,46.9,8,8.3,8,1,6.9,8,108.5,0,8,1,94.7,0,8,8.2,8,1,6.7,8,87.0,8,1,80.3,8,8.4,8,1,6.9,8,108.0,8,1,78.6,8,9.1,8,1,7.7,8,85.5,8,1,75.4,8,9.0,8,1,7.6,8,112.5,0,8,1,93.6,0,8,8.7,5,1,7.4,8,96.5,5,1,99.9,8,9.1,8,1,7.8,8,104.0,0,8,1,81.1,0,8,9.1,5,1,,0,87.5,5,1,,0,9.9,8,1,8.3,8,118.5,8,1,100.1,8,8.5,8,1,7.6,8,81.0,8,1,77.4,8,9.2,8,1,8.1,8,77.5,0,8,1,84.0,0,8,5.0,8,1,3.6,8,102.5,0,8,1,129.2,0,8,9.2,5,1,8.1,8,76.0,5,1,117.5,8,9.6,8,1,8.3,8,154.0,0,8,1,109.5,0,8,9.3,5,1,8.0,8,106.5,5,1,111.7,8,9.1,8,1,8.0,8,69.0,8,1,79.0,8,10.0,8,1,,0,73.0,8,1,,0
2023/3,12.8,8,1,9.9,8,55.5,8,1,87.5,8,12.5,8,1,10.0,8,82.5,0,8,1,172.3,0,8,12.5,8,1,9.6,8,71.0,5,1,130.1,8,12.4,8,1,9.7,8,100.5,5,1,127.8,8,12.5,8,1,10.4,8,121.5,8,1,116.5,8,12.6,8,1,10.3,8,127.0,0,8,1,148.7,0,8,12.5,8,1,10.8,8,102.0,8,1,135.7,8,13.5,8,1,11.0,8,105.0,0,8,1,120.7,0,8,13.0,8,1,,0,125.0,8,1,,0,13.3,8,1,11.0,8,142.0,8,1,147.6,8,12.8,8,1,10.7,8,163.0,8,1,112.6,8,13.6,8,1,11.2,8,138.5,0,8,1,123.2,0,8,9.3,8,1,6.8,8,204.0,0,8,1,202.5,0,8,13.5,8,1,11.1,8,143.0,8,1,144.9,8,12.9,8,1,10.9,8,161.0,0,8,1,172.1,0,8,12.7,8,1,10.5,8,124.5,8,1,154.4,8,13.2,5,1,11.1,8,113.5,5,1,114.8,8,13.8,8,1,,0,112.5,8,1,,0
2023/4,15.0,8,1,13.9,8,79.0,8,1,105.1,8,15.4,8,1,14.2,8,277.5,0,8,1,218.4,0,8,15.0,8,1,13.7,8,194.5,8,1,157.8,8,15.1,8,1,13.7,8,200.0,8,1,148.7,8,15.5,8,1,14.3,8,184.5,8,1,137.9,8,15.4,8,1,14.2,8,291.0,0,8,1,189.0,0,8,15.6,8,1,14.6,8,246.0,8,1,167.6,8,16.6,8,1,15.3,8,220.5,0,8,1,152.9,0,8,16.2,8,1,,0,216.5,8,1,,0,16.2,8,1,14.9,8,305.5,8,1,196.9,8,16.5,8,1,15.2,8,199.5,8,1,143.5,8,16.9,8,1,15.6,8,224.0,0,8,1,153.0,0,8,12.6,8,1,11.5,8,349.0,0,8,1,253.3,0,8,17.0,8,1,15.4,8,254.5,8,1,183.0,8,16.0,8,1,14.9,8,419.0,0,8,1,216.1,0,8,15.6,8,1,14.5,8,345.0,8,1,197.8,8,16.5,8,1,15.4,8,162.0,8,1,132.6,8,16.8,8,1,,0,210.0,8,1,,0
2023/5,18.1,8,1,17.8,8,167.0,8,1,113.6,8,18.4,8,1,18.2,8,332.0,0,8,1,241.2,0,8,18.0,8,1,17.8,8,290.0,8,1,179.8,8,18.2,8,1,17.7,8,182.5,8,1,165.0,8,18.6,8,1,18.4,8,185.0,8,1,141.2,8,18.3,8,1,18.0,8,263.5,0,8,1,198.4,0,8,19.0,8,1,19.0,8,242.0,8,1,147.7,8,19.8,8,1,19.7,8,267.0,0,8,1,171.1,0,8,19.0,8,1,,0,280.5,8,1,,0,19.1,8,1,18.8,8,327.0,8,1,199.0,8,19.8,8,1,19.7,8,270.5,8,1,158.0,8,19.7,8,1,19.7,8,294.0,0,8,1,160.7,0,8,16.0,8,1,15.9,8,418.5,0,8,1,265.1,0,8,20.3,8,1,20.0,8,302.0,8,1,185.7,8,19.0,8,1,18.8,8,335.5,0,8,1,210.2,0,8,18.6,8,1,18.5,8,286.0,8,1,189.6,8,19.5,8,1,19.5,8,257.0,8,1,151.6,8,19.5,8,1,,0,300.0,8,1,,0
2023/6,22.2,8,1,20.8,8,181.5,8,1,191.5,8,22.9,8,1,21.3,8,290.0,0,8,1,294.4,0,8,22.4,8,1,20.9,8,224.5,8,1,224.3,8,22.2,8,1,20.9,8,175.0,8,1,273.1,8,22.5,8,1,21.5,8,154.5,8,1,257.3,8,22.3,8,1,21.1,8,241.0,0,8,1,319.0,0,8,23.2,8,1,22.0,8,185.5,8,1,309.2,8,23.8,8,1,23.0,8,226.0,0,8,1,328.9,0,8,23.1,8,1,,0,256.0,8,1,,0,23.2,8,1,22.1,8,242.5,8,1,306.0,8,23.8,8,1,23.3,8,271.5,8,1,305.5,8,23.7,8,1,23.0,8,332.0,0,8,1,335.9,0,8,19.6,8,1,19.2,8,336.0,0,8,1,575.4,0,8,23.8,8,1,23.1,8,272.5,8,1,475.8,8,23.0,8,1,22.1,8,294.5,0,8,1,324.2,0,8,22.4,8,1,21.8,8,238.0,8,1,317.8,8,23.1,8,1,22.9,8,221.0,8,1,366.9,8,23.1,8,1,,0,247.5,8,1,,0
