ダウンロードした時刻：2024/06/07 00:19:46

,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀
,唐津,唐津,唐津,唐津,唐津,唐津,唐津,唐津,唐津,唐津,伊万里,伊万里,伊万里,伊万里,伊万里,伊万里,伊万里,伊万里,伊万里,伊万里,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,嬉野,嬉野,嬉野,嬉野,嬉野,嬉野,嬉野,嬉野,嬉野,嬉野,白石,白石,白石,白石,白石,白石,白石,白石,白石,白石,川副,川副,川副,川副,川副,川副,川副,川副,川副,川副
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,6.5,8,1,6.3,8,81.5,8,1,75.4,8,5.7,8,1,5.4,8,123.0,8,1,78.6,8,6.2,8,1,5.8,8,86.5,0,8,1,54.1,0,8,4.6,8,1,4.5,8,115.0,8,1,71.5,8,5.2,8,1,5.0,8,74.0,8,1,53.7,8,5.2,8,1,5.0,8,64.0,8,1,40.4,8
2023/2,8.5,8,1,7.2,8,81.5,8,1,85.4,8,7.5,8,1,6.4,8,114.0,8,1,93.8,8,8.5,8,1,7.0,8,62.5,0,8,1,77.5,0,8,6.6,8,1,5.6,8,127.0,8,1,96.1,8,7.5,8,1,6.2,8,71.0,8,1,71.3,8,7.4,8,1,6.6,8,63.5,8,1,73.7,8
2023/3,12.4,8,1,10.4,8,97.5,8,1,117.0,8,12.1,8,1,9.5,8,121.5,8,1,148.6,8,13.3,8,1,10.4,8,135.5,0,8,1,120.6,0,8,11.2,8,1,8.9,8,182.0,8,1,152.7,8,12.1,5,1,9.6,8,120.0,8,1,109.8,8,11.9,8,1,9.7,8,121.5,8,1,97.3,8
2023/4,15.5,8,1,14.5,8,202.5,8,1,146.3,8,15.5,8,1,14.2,8,238.5,8,1,188.2,8,16.6,8,1,15.3,8,225.0,0,8,1,161.7,0,8,14.8,8,1,13.8,8,262.0,8,1,194.1,8,15.6,8,1,14.5,8,157.0,8,1,145.1,8,15.6,8,1,14.4,8,171.5,8,1,123.9,8
2023/5,19.0,8,1,19.1,8,222.0,8,1,125.5,8,19.0,8,1,18.6,8,329.0,8,1,197.2,8,20.5,8,1,20.0,8,297.0,0,8,1,182.9,0,8,18.5,8,1,18.4,8,435.5,8,1,207.4,8,19.7,8,1,19.3,8,251.5,8,1,154.9,8,19.3,8,1,19.3,8,243.0,8,1,149.4,8
2023/6,23.1,8,1,22.2,8,162.0,8,1,280.0,8,23.2,8,1,22.2,8,281.5,8,1,355.6,8,24.3,8,1,23.5,8,378.5,0,8,1,327.0,0,8,22.7,8,1,21.9,8,513.5,8,1,396.7,8,23.8,8,1,23.1,8,339.0,8,1,309.5,8,23.4,8,1,23.0,8,307.5,8,1,265.4,8
2023/7,27.5,8,1,26.4,8,537.0,8,1,349.0,8,27.7,8,1,26.4,8,398.0,8,1,367.9,8,28.4,8,1,27.2,8,637.0,0,8,1,366.8,0,8,27.1,8,1,26.0,8,473.0,8,1,400.6,8,28.0,8,1,27.0,8,412.5,8,1,354.0,8,27.4,8,1,26.9,8,424.5,8,1,370.6,8
2023/8,28.3,8,1,27.6,8,117.5,8,1,314.1,8,28.5,8,1,27.2,8,224.0,8,1,272.0,8,29.8,8,1,28.2,8,102.0,0,8,1,252.4,0,8,27.9,8,1,26.6,8,224.0,8,1,277.7,8,29.1,8,1,27.6,8,111.0,8,1,219.4,8,28.8,8,1,27.9,8,55.5,8,1,212.5,8
2023/9,25.5,8,1,23.7,8,357.5,8,1,191.3,8,25.4,8,1,23.3,8,236.0,8,1,224.1,8,26.8,8,1,24.5,8,87.5,0,8,1,169.3,0,8,24.8,8,1,22.8,8,155.0,8,1,227.9,8,25.9,8,1,23.8,8,113.0,8,1,171.2,8,26.1,8,1,24.2,8,98.5,8,1,157.1,8
2023/10,18.6,8,1,19.0,8,27.0,8,1,126.7,8,17.6,8,1,17.9,8,30.0,8,1,105.0,8,19.1,8,1,19.1,8,31.0,0,8,1,90.1,0,8,16.9,8,1,17.2,8,49.0,8,1,111.6,8,18.0,8,1,18.1,8,29.0,8,1,88.8,8,17.7,8,1,18.6,8,21.5,8,1,90.9,8
2023/11,14.0,8,1,13.6,8,71.5,8,1,85.7,8,13.4,8,1,12.4,8,62.0,8,1,107.4,8,14.1,8,1,13.3,8,39.5,0,8,1,89.4,0,8,12.1,8,1,11.5,8,56.0,8,1,109.4,8,12.8,8,1,12.3,8,36.0,8,1,85.9,8,12.9,8,1,12.8,8,34.0,8,1,73.9,8
2023/12,9.1,8,1,8.1,8,60.0,8,1,94.6,8,8.6,8,1,7.3,8,65.5,8,1,83.6,8,9.0,8,1,7.8,8,31.0,0,8,1,59.5,0,8,7.5,8,1,6.4,8,35.5,8,1,78.2,8,8.0,8,1,7.0,8,28.0,8,1,59.4,8,8.1,8,1,7.0,8,16.5,8,1,59.4,8
