ダウンロードした時刻：2024/06/07 00:22:38

,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本
,鹿北,鹿北,鹿北,鹿北,鹿北,鹿北,鹿北,鹿北,鹿北,鹿北,南小国,南小国,南小国,南小国,南小国,南小国,南小国,南小国,南小国,南小国,岱明,岱明,岱明,岱明,岱明,岱明,岱明,岱明,岱明,岱明,菊池,菊池,菊池,菊池,菊池,菊池,菊池,菊池,菊池,菊池,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,阿蘇乙姫,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,益城,益城,益城,益城,益城,益城,益城,益城,益城,益城,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,高森,高森,高森,高森,高森,高森,高森,高森,高森,高森,三角,三角,三角,三角,三角,三角,三角,三角,三角,三角,甲佐,甲佐,甲佐,甲佐,甲佐,甲佐,甲佐,甲佐,甲佐,甲佐,松島,松島,松島,松島,松島,松島,松島,松島,松島,松島,本渡,本渡,本渡,本渡,本渡,本渡,本渡,本渡,本渡,本渡,八代,八代,八代,八代,八代,八代,八代,八代,八代,八代,水俣,水俣,水俣,水俣,水俣,水俣,水俣,水俣,水俣,水俣,人吉,人吉,人吉,人吉,人吉,人吉,人吉,人吉,人吉,人吉,人吉,人吉,上,上,上,上,上,上,上,上,上,上,牛深,牛深,牛深,牛深,牛深,牛深,牛深,牛深,牛深,牛深,牛深,牛深
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報
2023/1,3.9,8,1,3.5,8,87.0,8,1,59.3,8,1.9,8,1,1.8,8,79.5,8,1,73.8,8,5.9,8,1,5.6,8,89.5,8,1,53.2,8,4.8,8,1,4.4,8,83.5,8,1,55.0,8,2.1,8,1,2.0,8,100.5,8,1,92.7,8,6.2,8,1,6.0,8,91.5,0,8,1,57.2,0,8,5.0,8,1,4.5,8,91.0,8,1,54.6,8,3.1,8,1,,0,108.0,8,1,,0,2.5,8,1,2.2,8,79.5,5,1,74.6,8,6.9,8,1,6.8,8,81.5,8,1,59.8,8,5.1,8,1,5.4,8,75.0,8,1,71.5,8,6.5,8,1,6.5,8,73.5,8,1,70.6,8,6.4,8,1,6.2,8,98.5,8,1,83.1,8,6.5,8,1,6.4,8,74.5,8,1,69.9,8,6.9,8,1,6.8,8,96.0,8,1,71.1,8,4.8,8,1,4.7,8,74.0,0,8,1,75.4,0,8,4.2,8,1,4.1,8,71.5,8,1,65.5,8,8.9,8,1,8.6,8,134.0,0,8,1,79.7,0,8
2023/2,6.3,8,1,4.9,8,83.0,8,1,84.8,8,4.2,8,1,3.2,8,109.5,8,1,107.6,8,7.8,8,1,6.8,8,68.5,8,1,71.3,8,7.2,8,1,6.0,8,70.5,8,1,79.6,8,4.4,8,1,3.4,8,122.0,8,1,134.8,8,8.5,8,1,7.4,8,72.0,0,8,1,83.2,0,8,7.3,8,1,6.3,8,73.5,8,1,106.1,8,5.5,8,1,,0,141.5,8,1,,0,5.0,8,1,3.6,8,134.5,8,1,105.9,8,8.8,8,1,7.7,8,73.5,8,1,79.6,8,7.2,8,1,6.7,8,99.5,8,1,97.3,8,8.6,8,1,7.4,8,87.5,8,1,90.9,8,8.4,8,1,7.2,8,97.5,8,1,96.1,8,8.5,8,1,7.6,8,88.0,8,1,90.6,8,8.9,8,1,7.8,8,114.5,8,1,94.7,8,7.5,8,1,6.2,8,152.0,0,8,1,109.0,0,8,7.1,8,1,5.8,8,122.0,8,1,98.3,8,10.5,8,1,9.4,8,115.5,0,8,1,95.4,0,8
2023/3,11.1,8,1,8.4,8,153.0,8,1,136.3,8,9.3,8,1,6.8,8,148.5,8,1,161.8,8,12.7,8,1,10.2,8,121.5,8,1,112.0,8,12.3,8,1,9.5,8,129.5,8,1,122.9,8,9.1,8,1,6.9,8,173.0,8,1,197.2,8,13.6,8,1,10.9,8,122.0,0,8,1,124.8,0,8,12.4,8,1,9.5,8,131.5,8,1,124.8,8,10.2,8,1,,0,168.0,8,1,,0,9.9,8,1,7.1,8,125.5,8,1,156.7,8,13.2,8,1,10.8,8,119.5,8,1,113.9,8,12.1,8,1,10.1,8,131.0,8,1,133.9,8,12.7,8,1,10.6,8,105.5,8,1,122.8,8,12.5,8,1,10.3,8,117.0,8,1,132.6,8,12.9,5,1,10.8,8,121.0,5,1,118.3,8,13.1,8,1,10.9,8,123.0,8,1,130.1,8,12.2,8,1,9.8,8,112.0,0,8,1,160.7,0,8,11.8,8,1,9.5,8,100.0,8,1,144.5,8,14.6,8,1,12.2,8,105.5,0,8,1,124.7,0,8
2023/4,14.7,8,1,13.6,8,193.5,8,1,158.7,8,12.8,8,1,12.0,8,183.0,8,1,165.8,8,16.3,5,1,15.2,8,179.0,8,1,132.6,8,15.9,8,1,14.6,8,190.0,8,1,139.6,8,12.7,8,1,11.9,8,255.0,8,1,219.2,8,17.0,8,1,15.8,8,236.0,0,8,1,144.9,0,8,15.7,8,1,14.5,8,232.0,8,1,148.3,8,13.8,8,1,,0,245.5,8,1,,0,13.2,8,1,12.2,8,201.5,8,1,164.1,8,16.5,8,1,15.4,8,188.0,8,1,136.3,8,15.7,8,1,15.0,8,200.5,8,1,141.1,8,16.4,8,1,15.1,8,181.0,8,1,145.4,8,16.3,8,1,14.9,8,190.0,8,1,157.2,8,16.7,5,1,15.5,8,204.5,5,1,133.1,8,16.7,8,1,15.3,8,205.0,8,1,143.3,8,15.5,8,1,14.6,8,281.0,0,8,1,177.8,0,8,15.2,8,1,14.4,8,224.0,8,1,154.5,8,17.7,8,1,16.3,8,187.5,0,8,1,158.1,0,8
2023/5,18.8,8,1,18.4,8,308.0,8,1,196.7,8,17.1,8,1,16.9,8,330.5,8,1,197.5,8,20.1,8,1,19.9,8,231.0,8,1,151.5,8,19.9,8,1,19.5,8,221.5,8,1,157.7,8,17.0,8,1,16.7,8,310.0,8,1,261.3,8,20.8,8,1,20.5,8,194.0,0,8,1,160.9,0,8,19.4,8,1,19.3,8,202.0,8,1,186.6,8,17.8,8,1,,0,251.0,8,1,,0,17.1,8,1,16.9,8,222.0,8,1,189.7,8,19.9,8,1,19.7,8,239.5,8,1,154.3,8,19.5,8,1,19.5,8,239.0,8,1,169.1,8,19.7,8,1,19.3,8,287.0,8,1,158.7,8,19.6,8,1,19.2,8,305.5,8,1,169.9,8,20.4,8,1,19.9,8,219.0,8,1,165.8,8,20.1,8,1,19.6,8,184.0,8,1,187.2,8,19.5,8,1,19.1,8,227.0,0,8,1,215.6,0,8,19.4,8,1,18.9,8,156.5,8,1,200.0,8,20.5,8,1,20.1,8,240.5,0,8,1,178.7,0,8
2023/6,22.5,8,1,22.1,8,451.5,8,1,449.0,8,20.8,8,1,20.5,8,373.0,8,1,518.2,8,23.8,8,1,23.4,8,314.5,8,1,357.5,8,23.4,8,1,23.0,8,299.5,8,1,400.9,8,20.9,8,1,20.2,8,557.5,8,1,667.9,8,24.2,8,1,23.7,8,262.5,0,8,1,448.5,0,8,22.8,8,1,22.5,8,306.0,8,1,443.7,8,21.5,8,1,,0,514.5,8,1,,0,20.8,8,1,20.3,8,402.0,8,1,536.0,8,23.4,8,1,22.9,8,258.5,8,1,402.4,8,23.3,8,1,23.0,8,373.0,8,1,473.7,8,23.2,8,1,22.7,8,321.0,8,1,416.7,8,23.0,8,1,22.6,8,310.5,8,1,405.3,8,23.8,8,1,23.2,8,286.5,8,1,426.2,8,23.3,8,1,22.9,8,434.0,8,1,463.8,8,22.7,8,1,22.4,8,479.5,0,8,1,560.9,0,8,22.6,8,1,22.4,8,675.0,8,1,558.8,8,23.6,8,1,23.1,8,281.0,0,8,1,409.6,0,8
2023/7,26.5,8,1,25.7,8,584.5,8,1,452.5,8,24.8,8,1,24.2,8,649.0,8,1,490.5,8,28.0,8,1,27.3,8,343.0,8,1,329.2,8,27.3,8,1,26.6,8,442.5,8,1,381.4,8,24.5,8,1,23.8,8,647.0,8,1,582.6,8,28.2,8,1,27.5,8,507.5,0,8,1,386.8,0,8,26.8,5,1,26.1,8,520.5,5,1,469.2,8,25.4,8,1,,0,693.5,8,1,,0,24.7,8,1,23.9,8,590.0,8,1,447.9,8,27.9,8,1,26.7,8,168.5,8,1,318.1,8,27.3,8,1,26.5,8,404.0,8,1,395.2,8,27.6,8,1,26.6,8,201.5,5,1,352.7,8,27.5,8,1,26.5,8,266.0,8,1,340.5,8,28.1,8,1,27.1,8,308.5,8,1,386.7,8,27.7,8,1,26.7,8,239.5,8,1,410.7,8,26.9,8,1,26.1,8,293.5,0,8,1,491.0,0,8,26.8,8,1,26.0,8,333.0,8,1,496.5,8,28.0,8,1,27.0,8,144.5,0,8,1,348.9,0,8
