ダウンロードした時刻：2024/06/06 19:54:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌
,天塩,天塩,天塩,天塩,天塩,天塩,天塩,天塩,天塩,天塩,遠別,遠別,遠別,遠別,遠別,遠別,遠別,遠別,遠別,遠別,初山別,初山別,初山別,初山別,初山別,初山別,初山別,初山別,初山別,初山別,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,羽幌,達布,達布,達布,達布,達布,達布,達布,達布,達布,達布,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,留萌,増毛,増毛,増毛,増毛,増毛,増毛,増毛,増毛,増毛,増毛,焼尻,焼尻,焼尻,焼尻,焼尻,焼尻,焼尻,焼尻,焼尻,焼尻,幌糠,幌糠,幌糠,幌糠,幌糠,幌糠,幌糠,幌糠,幌糠,幌糠
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,28.5,8,1,44.6,8,-6.2,8,1,-5.4,8,56.5,8,1,73.3,8,-6.1,8,1,-5.8,8,33.0,8,1,56.7,8,-5.3,8,1,-4.6,8,139.0,0,5,1,116.5,0,8,-5.2,8,1,-4.3,8,120.5,8,1,155.2,8,-7.3,8,1,-6.4,8,91.5,0,5,1,95.8,0,8,-5.1,8,1,-4.1,8,35.5,8,1,79.5,8,-3.9,8,1,-3.3,8,70.5,8,1,47.8,8,-4.6,8,1,-3.3,8,180.5,8,1,161.5,8,-7.5,8,1,-6.5,8
2023/2,22.5,8,1,31.5,8,-5.8,8,1,-5.3,8,30.5,8,1,52.4,8,-5.4,8,1,-5.6,8,28.0,8,1,43.1,8,-4.4,8,1,-4.4,8,89.5,0,8,1,82.2,0,8,-4.3,8,1,-4.0,8,60.5,8,1,106.7,8,-6.6,8,1,-5.9,8,63.5,0,5,1,68.5,0,8,-3.8,8,1,-3.7,8,43.0,8,1,52.2,8,-2.7,8,1,-3.0,8,28.0,8,1,32.2,8,-3.1,8,1,-3.1,8,101.0,5,1,106.9,8,-6.9,5,1,-6.1,8
2023/3,41.0,8,1,34.4,8,2.9,8,1,-1.4,8,41.5,8,1,53.1,8,3.3,8,1,-1.4,8,54.0,8,1,46.5,8,3.7,8,1,-0.6,8,59.0,0,8,1,67.8,0,8,3.8,8,1,-0.1,8,62.5,8,1,90.9,8,1.8,8,1,-1.6,8,35.0,0,8,1,53.5,0,8,3.3,8,1,0.0,8,49.0,8,1,48.2,8,4.5,8,1,0.5,8,41.0,8,1,32.6,8,3.8,8,1,0.3,8,49.5,8,1,82.4,8,1.1,8,1,-1.8,8
2023/4,64.0,8,1,41.4,8,6.0,8,1,4.3,8,87.5,8,1,50.2,8,6.8,8,1,4.6,8,75.0,8,1,49.2,8,7.0,8,1,5.1,8,89.5,0,8,1,58.1,0,8,7.3,8,1,5.5,8,83.5,8,1,74.2,8,6.2,8,1,4.2,8,63.5,0,8,1,43.2,0,8,7.3,8,1,5.5,8,73.5,8,1,42.1,8,8.1,8,1,6.0,8,96.0,8,1,37.8,8,6.6,8,1,5.3,8,86.5,8,1,57.2,8,6.1,8,1,3.9,8
2023/5,32.0,8,1,61.2,8,10.2,8,1,9.6,8,39.0,8,1,68.9,8,11.4,8,1,10.4,8,41.5,8,1,72.2,8,11.2,8,1,10.6,8,40.0,0,8,1,72.2,0,8,11.5,8,1,11.2,8,58.0,8,1,88.0,8,11.3,8,1,11.0,8,26.0,0,8,1,59.7,0,8,11.4,8,1,11.1,8,35.5,8,1,54.6,8,12.3,8,1,11.4,8,17.5,8,1,59.3,8,10.6,8,1,10.1,8,27.5,8,1,66.7,8,11.5,8,1,10.9,8
2023/6,49.0,8,1,56.0,8,15.9,8,1,13.8,8,51.5,8,1,65.0,8,17.0,8,1,14.8,8,49.5,8,1,64.9,8,16.8,8,1,14.9,8,50.0,0,8,1,67.8,0,8,17.6,8,1,15.5,8,79.5,8,1,73.9,8,17.3,8,1,15.8,8,89.0,0,8,1,56.3,0,8,17.4,8,1,15.4,8,81.5,8,1,54.4,8,17.7,8,1,15.4,8,44.0,8,1,58.2,8,16.6,8,1,14.4,8,90.5,8,1,59.8,8,17.4,8,1,15.5,8
