ダウンロードした時刻：2024/06/06 20:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知,空知
,石狩沼田,石狩沼田,石狩沼田,石狩沼田,石狩沼田,石狩沼田,石狩沼田,石狩沼田,石狩沼田,石狩沼田,秩父別,秩父別,秩父別,秩父別,秩父別,秩父別,秩父別,秩父別,秩父別,秩父別,深川,深川,深川,深川,深川,深川,深川,深川,深川,深川,空知吉野,空知吉野,空知吉野,空知吉野,空知吉野,空知吉野,空知吉野,空知吉野,空知吉野,空知吉野,滝川,滝川,滝川,滝川,滝川,滝川,滝川,滝川,滝川,滝川,芦別,芦別,芦別,芦別,芦別,芦別,芦別,芦別,芦別,芦別,月形,月形,月形,月形,月形,月形,月形,月形,月形,月形,美唄,美唄,美唄,美唄,美唄,美唄,美唄,美唄,美唄,美唄,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,岩見沢,長沼,長沼,長沼,長沼,長沼,長沼,長沼,長沼,長沼,長沼,夕張,夕張,夕張,夕張,夕張,夕張,夕張,夕張,夕張,夕張
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,118.5,8,1,116.9,8,-8.8,8,1,-7.4,8,129.5,8,1,,0,-8.8,8,1,,0,65.5,8,1,50.0,8,-8.5,8,1,-7.3,8,110.5,8,1,151.7,8,-8.5,8,1,-7.0,8,37.5,8,1,61.9,8,-8.2,8,1,-6.9,8,40.5,8,1,65.3,8,-8.0,8,1,-6.4,8,131.5,8,1,139.1,8,-7.0,8,1,-6.0,8,64.5,8,1,77.6,8,-8.6,8,1,-6.6,8,169.5,0,8,1,119.4,0,8,-6.5,8,1,-5.3,8,67.0,8,1,59.8,8,-7.4,8,1,-6.2,8,150.5,5,1,115.3,8,-8.2,8,1,-6.6,8
2023/2,80.0,8,1,82.5,8,-7.2,8,1,-6.7,8,70.0,8,1,,0,-7.3,8,1,,0,48.5,8,1,39.9,8,-7.3,8,1,-6.6,8,93.0,8,1,114.6,8,-6.8,8,1,-6.3,8,42.0,8,1,53.0,8,-6.4,8,1,-6.1,8,41.0,8,1,53.1,8,-6.1,8,1,-5.6,8,118.0,8,1,96.4,8,-5.6,8,1,-5.3,8,51.5,8,1,63.5,8,-6.7,8,1,-5.9,8,76.0,0,8,1,85.5,0,8,-4.8,8,1,-4.6,8,44.5,8,1,50.3,8,-5.4,8,1,-5.3,8,66.0,8,1,82.0,8,-6.3,8,1,-6.0,8
2023/3,48.0,8,1,65.6,8,0.8,8,1,-2.3,8,50.5,8,1,,0,1.0,8,1,,0,56.0,8,1,42.7,8,1.4,8,1,-2.0,8,79.0,8,1,101.4,8,1.4,8,1,-1.9,8,69.5,8,1,54.1,8,1.8,8,1,-1.7,8,50.0,8,1,59.4,8,2.0,8,1,-1.0,8,59.0,8,1,68.5,8,1.8,8,1,-1.3,8,64.5,8,1,54.6,8,1.3,8,1,-1.5,8,48.5,0,8,1,59.4,0,8,3.3,8,1,-0.4,8,45.5,8,1,47.1,8,3.2,8,1,-0.7,8,91.0,8,1,78.5,8,1.8,8,1,-1.8,8
2023/4,91.5,8,1,49.9,8,5.9,8,1,4.1,8,105.0,8,1,,0,6.6,8,1,,0,116.0,8,1,47.9,8,7.0,8,1,4.8,8,128.5,8,1,69.6,8,6.3,8,1,4.2,8,129.0,8,1,54.6,8,7.3,8,1,5.0,8,102.5,8,1,53.7,8,7.4,8,1,5.5,8,79.0,8,1,60.1,8,7.1,8,1,4.7,8,111.0,8,1,53.8,8,7.6,8,1,5.4,8,80.5,0,8,1,52.7,0,8,8.2,8,1,6.1,8,86.0,8,1,49.8,8,8.1,8,1,5.8,8,124.5,8,1,78.4,8,6.4,8,1,4.5,8
2023/5,27.0,8,1,70.8,8,11.6,8,1,11.2,8,33.5,8,1,,0,12.2,8,1,,0,40.0,8,1,67.9,8,12.4,8,1,11.7,8,43.5,8,1,85.1,8,11.8,8,1,11.1,8,44.5,8,1,74.2,8,12.4,8,1,11.7,8,39.5,8,1,66.7,8,12.8,8,1,12.3,8,57.0,8,1,88.5,8,12.0,8,1,11.1,8,55.0,8,1,80.8,8,12.7,8,1,12.1,8,39.5,0,8,1,83.9,0,8,12.9,8,1,12.1,8,40.0,8,1,81.4,8,12.5,5,1,11.4,8,64.5,8,1,107.1,8,11.3,8,1,10.9,8
2023/6,69.0,8,1,64.4,8,17.5,8,1,16.0,8,68.0,8,1,,0,18.2,8,1,,0,67.5,8,1,62.1,8,18.2,8,1,16.4,8,58.5,8,1,67.8,8,17.5,8,1,15.9,8,94.0,8,1,64.4,8,18.3,8,1,16.2,8,99.0,8,1,76.3,8,18.4,8,1,16.9,8,91.5,8,1,71.7,8,17.7,8,1,15.6,8,110.0,8,1,69.1,8,18.4,8,1,16.5,8,83.0,0,8,1,69.5,0,8,18.3,8,1,16.3,8,76.5,8,1,77.4,8,17.7,8,1,15.6,8,88.0,8,1,86.4,8,16.5,8,1,15.0,8
