ダウンロードした時刻：2024/06/06 20:24:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志,後志
,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,神恵内,神恵内,神恵内,神恵内,神恵内,神恵内,神恵内,神恵内,神恵内,神恵内,余市,余市,余市,余市,余市,余市,余市,余市,余市,余市,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,共和,共和,共和,共和,共和,共和,共和,共和,共和,共和,蘭越,蘭越,蘭越,蘭越,蘭越,蘭越,蘭越,蘭越,蘭越,蘭越,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,倶知安,寿都,寿都,寿都,寿都,寿都,寿都,寿都,寿都,寿都,寿都,寿都,寿都,真狩,真狩,真狩,真狩,真狩,真狩,真狩,真狩,真狩,真狩,喜茂別,喜茂別,喜茂別,喜茂別,喜茂別,喜茂別,喜茂別,喜茂別,喜茂別,喜茂別,黒松内,黒松内,黒松内,黒松内,黒松内,黒松内,黒松内,黒松内,黒松内,黒松内
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,168.5,8,1,203.0,8,-5.3,8,1,-4.0,8,107.0,8,1,94.8,8,-3.6,8,1,-2.3,8,86.5,8,1,124.5,8,-5.1,8,1,-3.8,8,134.0,0,8,1,138.1,0,8,-4.4,8,1,-3.1,8,58.5,8,1,56.3,8,-4.3,8,1,-3.4,8,125.0,8,1,104.2,8,-5.2,8,1,-4.2,8,189.5,0,8,1,184.5,0,8,-6.7,8,1,-5.4,8,115.0,0,8,1,120.2,0,8,-3.3,8,1,-2.3,8,103.5,8,1,116.6,8,-7.7,8,1,-6.6,8,78.0,8,1,86.1,8,-8.5,8,1,-7.2,8,126.0,8,1,125.3,8,-5.2,8,1,-4.1,8
2023/2,162.5,8,1,145.2,8,-3.6,8,1,-3.5,8,120.0,8,1,72.1,8,-1.9,8,1,-1.9,8,103.5,8,1,100.5,8,-3.2,8,1,-3.3,8,117.5,0,8,1,106.6,0,8,-2.5,8,1,-2.7,8,59.0,8,1,40.7,8,-2.6,8,1,-3.0,8,106.5,8,1,79.6,8,-3.7,8,1,-3.7,8,154.0,0,8,1,129.4,0,8,-4.8,8,1,-4.9,8,115.5,0,8,1,87.4,0,8,-1.4,8,1,-1.9,8,82.5,8,1,87.4,8,-6.0,8,1,-6.1,8,66.5,8,1,66.4,8,-6.5,8,1,-6.7,8,114.0,8,1,99.8,8,-3.3,8,1,-3.7,8
2023/3,79.0,8,1,119.2,8,3.7,8,1,-0.1,8,43.0,8,1,59.8,8,5.2,8,1,1.4,8,46.5,8,1,83.9,8,4.3,8,1,0.4,8,44.0,0,8,1,87.3,0,8,4.4,8,1,0.8,8,35.5,8,1,40.6,8,4.1,8,1,0.5,8,41.5,8,1,59.2,8,2.5,8,1,-0.2,8,46.0,0,8,1,98.3,0,8,2.4,8,1,-1.0,8,37.0,0,8,1,68.1,0,8,4.4,8,1,1.2,8,60.5,8,1,81.5,8,1.0,8,1,-2.5,8,47.0,5,1,68.2,8,0.8,5,1,-2.5,8,50.5,8,1,85.2,8,2.5,8,1,-0.2,8
2023/4,115.5,8,1,96.2,8,7.7,8,1,5.5,8,75.0,8,1,65.1,8,8.3,8,1,6.7,8,74.5,8,1,65.1,8,8.3,8,1,6.3,8,62.5,0,8,1,56.4,0,8,8.6,8,1,6.5,8,52.5,8,1,47.6,8,8.4,8,1,6.3,8,56.5,8,1,61.0,8,7.3,8,1,5.4,8,80.5,0,8,1,67.1,0,8,6.8,8,1,4.9,8,57.0,0,8,1,59.3,0,8,8.4,8,1,6.5,8,94.5,8,1,66.7,8,5.1,8,1,3.2,8,90.5,8,1,64.0,8,5.5,8,1,3.5,8,102.5,8,1,84.5,8,7.3,8,1,5.2,8
2023/5,46.0,8,1,82.5,8,12.3,8,1,11.4,8,69.0,8,1,88.0,8,12.6,8,1,11.7,8,30.5,8,1,63.6,8,12.8,8,1,12.1,8,30.0,0,8,1,53.7,0,8,13.0,8,1,12.1,8,37.0,8,1,61.1,8,12.8,8,1,11.8,8,36.5,8,1,74.1,8,12.2,8,1,11.4,8,42.5,0,8,1,75.8,0,8,11.9,8,1,11.2,8,31.0,0,8,1,65.9,0,8,12.5,8,1,11.5,8,61.0,8,1,81.9,8,10.5,8,1,9.8,8,43.5,8,1,78.9,8,10.7,8,1,10.2,8,44.5,8,1,95.8,8,11.8,8,1,10.8,8
2023/6,73.5,8,1,60.3,8,17.2,8,1,15.2,8,72.0,8,1,69.4,8,18.0,8,1,15.7,8,65.0,8,1,51.4,8,18.3,8,1,16.2,8,89.0,0,8,1,55.6,0,8,18.3,8,1,16.0,8,79.5,8,1,52.4,8,18.7,8,1,16.0,8,80.0,8,1,64.1,8,17.7,8,1,15.9,8,102.5,0,8,1,59.9,0,8,17.5,8,1,15.6,8,79.5,0,8,1,60.7,0,8,17.8,8,1,15.4,8,94.0,8,1,65.4,8,15.8,8,1,14.1,8,89.0,8,1,58.1,8,16.3,8,1,15.0,8,165.5,8,1,83.6,8,17.0,8,1,15.0,8
