ダウンロードした時刻：2024/06/06 22:18:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,浜中,浜中,浜中,浜中,浜中,浜中,浜中,浜中,浜中,浜中,金山,金山,金山,金山,金山,金山,金山,金山,金山,金山,鶴岡,鶴岡,鶴岡,鶴岡,鶴岡,鶴岡,鶴岡,鶴岡,鶴岡,鶴岡,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,狩川,新庄,新庄,新庄,新庄,新庄,新庄,新庄,新庄,新庄,新庄,新庄,新庄,向町,向町,向町,向町,向町,向町,向町,向町,向町,向町,肘折,肘折,肘折,肘折,肘折,肘折,肘折,肘折,肘折,肘折,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,尾花沢,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,鼠ケ関,村山,村山,村山,村山,村山,村山,村山,村山,村山,村山,東根,東根,東根,東根,東根,東根,東根,東根,東根,東根,大井沢,大井沢,大井沢,大井沢,大井沢,大井沢,大井沢,大井沢,大井沢,大井沢,左沢,左沢,左沢,左沢,左沢,左沢,左沢,左沢,左沢,左沢,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,長井,長井,長井,長井,長井,長井,長井,長井,長井,長井,小国,小国,小国,小国,小国,小国,小国,小国,小国,小国,高畠,高畠,高畠,高畠,高畠,高畠,高畠,高畠,高畠,高畠,高峰,高峰,高峰,高峰,高峰,高峰,高峰,高峰,高峰,高峰,米沢,米沢,米沢,米沢,米沢,米沢,米沢,米沢,米沢,米沢
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,87.0,8,1,111.0,8,2.3,8,1,2.1,8,190.0,0,8,1,177.7,0,8,1.9,8,1,1.9,8,250.0,4,1,270.7,8,-1.2,8,1,-1.0,8,149.0,8,1,110.9,8,1.7,8,1,1.8,8,181.5,8,1,211.4,8,-1.6,8,1,-1.4,8,219.0,8,1,218.3,8,1.5,8,1,1.7,8,149.0,8,1,190.9,8,0.5,8,1,0.6,8,197.0,0,8,1,238.4,0,8,-1.1,8,1,-0.8,8,98.5,8,1,168.9,8,-1.6,8,1,-1.3,8,358.0,8,1,403.3,8,-2.0,8,1,-1.8,8,213.0,8,1,165.3,8,-1.3,8,1,-1.0,8,147.0,8,1,171.0,8,3.4,8,1,2.5,8,118.0,8,1,123.6,8,-1.4,8,1,-1.2,8,70.0,8,1,90.4,8,-1.2,8,1,-1.1,8,70.5,4,1,345.3,8,-2.5,8,1,-2.3,8,64.0,5,1,135.0,8,-1.6,8,1,-1.3,8,52.0,0,8,1,87.8,0,8,0.0,8,1,-0.1,8,132.5,8,1,179.4,8,-1.0,8,1,-0.9,8,316.5,8,1,342.1,8,-0.7,8,1,-0.3,8,74.5,8,1,113.0,8,-0.7,8,1,-0.9,8,299.5,8,1,256.5,8,-1.1,8,1,-1.2,8,197.5,8,1,159.5,8,-1.3,8,1,-0.8,8
2023/2,84.0,8,1,79.6,8,2.8,8,1,2.3,8,110.5,0,8,1,118.4,0,8,2.5,8,1,2.2,8,158.0,8,1,196.1,8,-0.5,8,1,-0.7,8,81.5,8,1,72.8,8,2.3,8,1,1.8,8,120.0,8,1,141.2,8,-0.6,8,1,-1.0,8,98.5,8,1,134.8,8,2.2,8,1,1.9,8,77.0,8,1,125.2,8,1.0,8,1,0.8,8,125.5,0,8,1,154.0,0,8,-0.3,8,1,-0.5,8,97.5,8,1,116.6,8,-0.5,8,1,-1.0,8,177.0,8,1,268.4,8,-1.3,8,1,-1.6,8,136.0,8,1,98.4,8,-0.6,8,1,-0.7,8,94.0,8,1,107.5,8,3.6,8,1,2.5,8,124.5,8,1,77.5,8,-0.7,8,1,-0.7,8,85.5,8,1,53.1,8,-0.5,8,1,-0.5,8,219.5,8,1,226.9,8,-1.9,8,1,-2.1,8,92.0,8,1,93.1,8,-1.0,8,1,-1.0,8,73.0,0,8,1,63.0,0,8,0.7,8,1,0.4,8,143.0,8,1,127.0,8,-0.2,8,1,-0.6,8,227.0,8,1,243.2,8,-0.1,8,1,-0.1,8,70.0,8,1,69.5,8,0.1,8,1,-0.6,8,194.5,8,1,161.6,8,-0.3,8,1,-0.9,8,126.5,8,1,101.8,8,-0.6,8,1,-0.5,8
2023/3,82.0,8,1,84.2,8,7.9,8,1,4.9,8,99.5,0,8,1,111.1,0,8,8.0,8,1,5.1,8,81.0,8,1,181.1,8,2.8,8,1,1.6,8,96.0,8,1,97.3,8,7.1,8,1,4.7,8,73.5,8,1,128.3,8,4.0,8,1,1.7,8,89.0,8,1,130.0,8,7.6,8,1,4.9,8,66.5,8,1,119.6,8,6.9,8,1,3.8,8,56.5,0,8,1,126.7,0,8,4.5,8,1,2.4,8,50.0,8,1,114.5,8,4.7,8,1,1.9,8,62.0,8,1,186.4,8,3.1,8,1,1.1,8,49.0,8,1,80.7,8,3.6,8,1,2.1,8,109.5,8,1,118.4,8,8.7,8,1,5.1,8,49.5,8,1,70.8,8,5.0,8,1,2.8,8,44.5,8,1,61.6,8,5.7,8,1,3.1,8,51.5,8,1,185.0,8,2.4,8,1,0.6,8,43.0,8,1,88.8,8,4.9,8,1,2.3,8,46.5,0,8,1,72.1,0,8,7.4,8,1,4.0,8,43.0,8,1,120.2,8,5.8,8,1,2.5,8,117.0,8,1,202.4,8,3.2,8,1,2.2,8,38.5,8,1,74.6,8,6.2,8,1,2.6,8,53.5,8,1,134.7,8,4.3,8,1,1.8,8,42.0,8,1,85.5,8,5.6,8,1,2.7,8
2023/4,83.5,8,1,84.1,8,10.8,8,1,9.4,8,129.5,0,8,1,103.6,0,8,11.5,8,1,10.2,8,154.5,8,1,154.5,8,8.9,8,1,7.0,8,126.5,8,1,95.4,8,10.8,8,1,9.3,8,117.5,8,1,106.1,8,9.5,8,1,7.6,8,98.0,8,1,106.8,8,11.6,8,1,10.4,8,112.5,8,1,103.1,8,10.8,8,1,9.4,8,115.5,0,8,1,97.5,0,8,10.3,8,1,8.5,8,109.0,8,1,104.1,8,9.7,8,1,7.7,8,111.5,8,1,128.4,8,7.0,8,1,5.6,8,55.5,8,1,68.4,8,9.9,8,1,8.2,8,127.0,8,1,115.0,8,12.2,8,1,10.0,8,50.5,8,1,65.2,8,10.6,8,1,8.9,8,46.5,8,1,59.7,8,10.9,8,1,9.0,8,89.0,8,1,142.3,8,6.7,8,1,5.2,8,43.0,8,1,69.5,8,10.0,8,1,8.5,8,54.0,0,8,1,63.9,0,8,12.1,8,1,10.2,8,46.0,8,1,109.4,8,10.7,8,1,8.8,8,124.0,8,1,163.0,8,9.2,8,1,7.7,8,42.0,8,1,65.4,8,10.9,8,1,9.1,8,66.5,8,1,97.8,8,9.8,8,1,7.5,8,41.0,8,1,67.4,8,11.0,8,1,9.3,8
2023/5,137.0,8,1,86.4,8,14.6,8,1,14.1,8,174.0,0,8,1,122.6,0,8,15.9,8,1,15.7,8,213.5,8,1,180.5,8,14.3,8,1,13.8,8,154.0,8,1,97.8,8,15.0,8,1,15.1,8,185.5,8,1,130.5,8,14.5,8,1,14.1,8,132.5,8,1,119.9,8,16.1,8,1,16.0,8,171.5,8,1,121.7,8,15.5,8,1,15.2,8,167.0,0,8,1,107.7,0,8,15.1,8,1,14.8,8,140.5,8,1,119.2,8,14.5,8,1,13.9,8,147.5,8,1,112.4,8,12.3,8,1,12.0,8,118.0,8,1,78.4,8,15.1,8,1,14.6,8,142.5,8,1,130.4,8,15.9,8,1,15.2,8,127.0,8,1,65.8,8,15.4,8,1,15.4,8,125.0,8,1,63.4,8,15.3,8,1,15.5,8,191.5,5,1,138.5,8,12.4,8,1,12.1,8,129.5,8,1,78.2,8,14.5,8,1,14.7,8,133.5,0,8,1,74.5,0,8,16.4,8,1,16.2,8,124.5,8,1,109.4,8,15.1,8,1,15.1,8,180.5,8,1,149.4,8,14.3,8,1,14.4,8,117.5,8,1,75.7,8,15.1,8,1,15.3,8,128.5,8,1,95.1,8,14.5,8,1,14.2,8,104.5,8,1,71.1,8,15.4,8,1,15.6,8
2023/6,91.0,8,1,91.4,8,20.0,8,1,18.4,8,150.0,0,8,1,125.3,0,8,21.5,8,1,20.0,8,179.5,8,1,189.8,8,19.6,8,1,18.4,8,136.0,5,1,102.7,8,20.8,8,1,19.5,8,176.5,8,1,136.6,8,19.9,8,1,18.6,8,138.5,8,1,124.3,8,21.6,8,1,20.1,8,120.5,8,1,125.2,8,21.0,8,1,19.6,8,174.0,0,8,1,126.0,0,8,20.6,8,1,19.3,8,178.5,8,1,137.2,8,19.6,8,1,18.3,8,170.0,8,1,135.0,8,17.9,8,1,17.0,8,112.5,8,1,105.6,8,20.5,8,1,19.0,8,137.5,8,1,137.7,8,21.1,8,1,19.2,8,170.5,8,1,91.4,8,20.7,8,1,19.9,8,142.0,8,1,86.1,8,20.7,8,1,20.0,8,204.0,8,1,166.7,8,17.8,8,1,16.9,8,148.0,8,1,115.4,8,19.7,8,1,19.0,8,169.0,0,8,1,104.8,0,8,21.6,8,1,20.3,8,206.0,8,1,141.8,8,20.4,8,1,19.3,8,282.5,8,1,191.7,8,19.7,8,1,18.9,8,195.5,8,1,103.6,8,20.4,8,1,19.6,8,199.0,8,1,130.7,8,19.8,8,1,18.5,8,281.5,8,1,114.0,8,20.5,8,1,19.8,8
