ダウンロードした時刻：2024/06/06 22:49:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉,埼玉
,寄居,寄居,寄居,寄居,寄居,寄居,寄居,寄居,寄居,寄居,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,久喜,久喜,久喜,久喜,久喜,久喜,久喜,久喜,久喜,久喜,鳩山,鳩山,鳩山,鳩山,鳩山,鳩山,鳩山,鳩山,鳩山,鳩山,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,越谷,越谷,越谷,越谷,越谷,越谷,越谷,越谷,越谷,越谷,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,2.5,8,1,36.1,8,3.0,8,1,3.1,8,2.0,0,8,1,36.5,0,8,4.6,8,1,4.3,8,5.5,8,1,43.2,8,3.8,8,1,3.6,8,8.0,8,1,39.2,8,3.4,8,1,2.6,8,7.0,8,1,42.4,8,4.4,8,1,3.9,8,12.0,8,1,50.2,8,4.2,8,1,4.2,8,10.5,8,1,50.9,8,3.9,8,1,3.7,8,4.5,0,8,1,40.3,0,8,2.2,8,1,1.8,8
2023/2,21.5,8,1,28.9,8,4.5,8,1,4.0,8,24.5,0,8,1,32.3,0,8,6.2,8,1,5.1,8,27.0,8,1,38.6,8,5.6,8,1,4.6,8,27.5,8,1,35.2,8,5.1,8,1,3.8,8,30.0,8,1,39.6,8,6.2,8,1,4.9,8,34.5,8,1,47.5,8,6.1,8,1,5.2,8,31.0,8,1,47.0,8,5.4,8,1,4.5,8,29.5,0,8,1,30.8,0,8,4.0,8,1,3.0,8
2023/3,81.0,8,1,61.2,8,10.8,8,1,7.4,8,109.5,0,8,1,69.0,0,8,12.3,8,1,8.6,8,91.5,8,1,82.0,8,11.7,8,1,8.1,8,97.5,8,1,75.0,8,11.4,8,1,7.5,8,88.0,8,1,88.0,8,12.3,8,1,8.4,8,93.5,8,1,94.5,8,12.1,8,1,8.7,8,91.0,8,1,98.3,8,11.3,8,1,7.8,8,62.5,0,8,1,69.0,0,8,10.3,8,1,6.6,8
2023/4,25.0,8,1,84.9,8,14.6,8,1,12.8,8,36.5,0,8,1,90.7,0,8,15.8,8,1,13.9,8,49.5,8,1,99.5,8,15.3,8,1,13.4,8,41.0,8,1,96.4,8,15.1,8,1,12.8,8,43.5,8,1,101.9,8,15.8,8,1,13.7,8,64.5,8,1,109.8,8,15.9,8,1,13.9,8,49.0,8,1,110.1,8,14.9,8,1,13.1,8,23.0,0,8,1,88.0,0,8,14.2,8,1,12.2,8
2023/5,113.5,8,1,110.2,8,18.0,8,1,17.7,8,135.5,0,8,1,115.1,0,8,19.2,8,1,18.8,8,163.5,8,1,124.2,8,18.7,8,1,18.4,8,154.5,8,1,111.4,8,18.3,8,1,17.8,8,111.5,8,1,121.4,8,19.0,8,1,18.6,8,129.5,8,1,124.4,8,18.9,8,1,18.7,8,122.0,8,1,125.8,8,18.0,8,1,17.8,8,98.0,0,8,1,102.4,0,8,17.7,8,1,17.3,8
2023/6,267.0,8,1,160.1,8,22.5,8,1,21.2,8,277.0,0,8,1,149.5,0,8,23.5,8,1,22.3,8,238.5,8,1,142.7,8,23.1,8,1,21.8,8,253.5,8,1,167.8,8,23.0,8,1,21.4,8,319.5,8,1,144.8,8,23.3,8,1,22.0,8,344.5,8,1,144.0,8,23.2,8,1,22.0,8,327.5,8,1,166.7,8,22.2,8,1,21.2,8,242.0,0,8,1,145.4,0,8,21.9,8,1,20.8,8
