ダウンロードした時刻：2024/06/06 23:12:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡
,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士,富士,富士,富士,富士,富士,富士,富士,富士,富士,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,佐久間,佐久間,佐久間,佐久間,佐久間,佐久間,佐久間,佐久間,佐久間,佐久間,川根本町,川根本町,川根本町,川根本町,川根本町,川根本町,川根本町,川根本町,川根本町,川根本町,清水,清水,清水,清水,清水,清水,清水,清水,清水,清水,網代,網代,網代,網代,網代,網代,網代,網代,網代,網代,網代,網代,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,天竜,天竜,天竜,天竜,天竜,天竜,天竜,天竜,天竜,天竜,浜松,浜松,浜松,浜松,浜松,浜松,浜松,浜松,浜松,浜松,浜松,浜松,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,菊川牧之原,静岡空港,静岡空港,静岡空港,静岡空港,静岡空港,静岡空港,静岡空港,静岡空港,静岡空港,静岡空港,松崎,松崎,松崎,松崎,松崎,松崎,松崎,松崎,松崎,松崎,稲取,稲取,稲取,稲取,稲取,稲取,稲取,稲取,稲取,稲取,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,石廊崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,御前崎,磐田,磐田,磐田,磐田,磐田,磐田,磐田,磐田,磐田,磐田,御殿場,御殿場,御殿場,御殿場,御殿場,御殿場,御殿場,御殿場,御殿場,御殿場,井川,井川,井川,井川,井川,井川,井川,井川,井川,井川
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,,,0,1,,,0,-18.0,8,1,-18.2,8,11.5,8,1,76.8,8,6.1,8,1,5.8,8,33.0,0,8,1,73.2,0,8,6.0,8,1,5.9,8,50.0,8,1,71.0,8,2.9,8,1,3.1,8,27.0,8,1,97.7,8,3.0,8,1,3.0,8,21.0,8,1,81.8,8,7.1,8,1,6.7,8,18.5,0,8,1,76.1,0,8,7.2,8,1,7.0,8,19.5,0,8,1,79.6,0,8,7.2,8,1,6.9,8,34.0,8,1,61.5,8,5.9,8,1,5.6,8,53.0,0,8,1,59.2,0,8,6.5,8,1,6.3,8,36.0,8,1,71.3,8,5.0,8,1,4.7,8,33.0,8,1,56.4,8,6.2,8,1,5.6,8,63.5,8,1,73.9,8,7.3,8,1,7.0,8,38.5,8,1,87.1,8,7.5,8,1,6.9,8,64.0,0,8,1,67.7,0,8,8.6,8,1,8.2,8,59.0,0,8,1,78.7,0,8,7.3,8,1,6.9,8,58.0,8,1,52.0,8,6.3,8,1,6.2,8,22.0,8,1,104.6,8,2.8,8,1,2.7,8,21.0,8,1,108.6,8,1.2,8,1,1.2,8
2023/2,,,0,1,,,0,-16.0,8,1,-17.4,8,49.5,8,1,95.4,8,8.1,8,1,6.8,8,64.5,0,8,1,91.6,0,8,8.0,8,1,6.8,8,78.0,8,1,97.6,8,4.7,8,1,4.3,8,124.0,8,1,134.8,8,5.2,8,1,4.2,8,52.5,8,1,106.4,8,9.1,8,1,7.5,8,55.0,0,8,1,82.0,0,8,8.3,8,1,7.4,8,56.0,0,8,1,105.3,0,8,9.2,8,1,7.7,8,42.0,8,1,88.7,8,7.7,8,1,6.4,8,38.5,0,8,1,76.8,0,8,8.3,8,1,6.8,8,41.5,8,1,96.3,8,6.8,8,1,5.5,8,45.5,8,1,126.6,8,7.9,8,1,6.7,8,39.5,8,1,97.4,8,8.7,8,1,7.5,8,74.5,8,1,123.7,8,8.5,8,1,7.2,8,64.0,0,8,1,92.4,0,8,9.6,8,1,8.5,8,70.0,0,8,1,105.4,0,8,8.9,8,1,7.5,8,26.0,8,1,74.7,8,8.0,8,1,6.9,8,89.5,8,1,128.9,8,4.5,8,1,3.5,8,134.0,8,1,133.3,8,2.7,8,1,1.9,8
2023/3,,,0,1,,,0,-10.7,8,1,-14.1,8,163.0,8,1,193.4,8,13.1,8,1,9.9,8,162.5,0,8,1,154.9,0,8,13.3,8,1,10.0,8,149.5,8,1,184.1,8,10.2,8,1,7.9,8,201.5,8,1,247.0,8,10.6,8,1,7.6,8,179.5,8,1,209.4,8,13.7,8,1,10.5,8,179.0,0,8,1,158.0,0,8,13.1,8,1,10.1,8,184.0,0,8,1,207.1,0,8,13.8,8,1,10.7,8,186.0,8,1,176.8,8,12.2,8,1,9.6,8,139.5,0,8,1,147.1,0,8,13.4,8,1,10.3,8,159.0,8,1,176.5,8,12.1,8,1,8.7,8,166.5,5,1,181.5,8,12.6,8,1,9.9,8,121.5,8,1,161.1,8,13.0,8,1,10.3,8,172.0,8,1,208.1,8,13.2,8,1,10.0,8,128.5,0,8,1,147.5,0,8,13.9,8,1,11.0,8,143.0,0,8,1,167.5,0,8,13.9,8,1,10.5,8,116.0,8,1,133.9,8,12.9,8,1,10.0,8,214.0,8,1,253.3,8,9.9,8,1,6.6,8,227.5,8,1,253.0,8,8.1,8,1,5.1,8
2023/4,,,0,1,,,0,-7.6,8,1,-8.8,8,191.5,8,1,194.2,8,15.9,8,1,14.5,8,177.0,0,8,1,152.8,0,8,16.3,8,1,14.6,8,262.0,8,1,193.5,8,13.9,8,1,13.1,8,291.0,8,1,260.3,8,13.7,8,1,12.6,8,210.0,8,1,218.2,8,16.4,8,1,14.9,8,111.5,0,8,1,168.1,0,8,16.3,8,1,14.5,8,225.0,0,8,1,222.2,0,8,16.6,8,1,15.2,8,256.0,8,1,202.7,8,15.3,8,1,14.4,8,183.5,0,8,1,179.2,0,8,16.3,8,1,15.0,8,201.5,8,1,210.1,8,14.8,8,1,13.5,8,207.5,8,1,240.3,8,15.3,8,1,13.9,8,162.5,8,1,174.1,8,15.9,8,1,14.5,8,259.0,8,1,236.8,8,16.2,8,1,14.2,8,150.0,0,8,1,152.2,0,8,16.3,8,1,14.9,8,160.5,0,8,1,200.9,0,8,16.3,8,1,14.7,8,126.0,8,1,158.7,8,15.8,8,1,14.5,8,242.5,8,1,248.4,8,13.0,8,1,11.5,8,322.5,8,1,263.7,8,11.2,8,1,10.0,8
2023/5,,,0,1,,,0,-2.7,8,1,-3.2,8,271.0,8,1,195.3,8,18.7,8,1,18.8,8,237.0,0,8,1,158.7,0,8,19.2,8,1,19.0,8,343.5,5,1,192.0,8,17.7,5,1,17.9,8,358.0,8,1,267.6,8,17.3,8,1,17.1,8,325.5,5,1,211.8,8,19.1,5,1,18.9,8,238.0,0,8,1,172.6,0,8,18.4,8,1,18.5,8,367.5,0,8,1,215.3,0,8,19.5,8,1,19.2,8,373.5,8,1,212.8,8,18.9,8,1,18.7,8,297.0,0,8,1,191.9,0,8,19.7,8,1,19.3,8,343.0,8,1,207.1,8,18.0,8,1,17.7,8,373.5,8,1,210.5,8,18.4,8,1,18.5,8,243.5,8,1,182.0,8,18.5,8,1,18.4,8,322.0,5,1,222.9,8,18.4,5,1,18.1,8,268.0,0,8,1,176.9,0,8,18.8,8,1,18.4,8,356.5,0,8,1,213.4,0,8,19.2,8,1,18.6,8,256.5,5,1,170.3,8,19.3,5,1,18.6,8,384.5,5,1,255.7,8,16.2,5,1,15.9,8,374.5,8,1,276.3,8,14.5,8,1,14.4,8
2023/6,,,0,1,,,0,2.5,8,1,1.4,8,544.0,8,1,227.1,8,22.5,8,1,22.0,8,474.5,0,8,1,212.7,0,8,23.2,8,1,22.3,8,597.0,8,1,265.6,8,21.3,8,1,21.5,8,696.0,8,1,336.7,8,20.9,8,1,20.6,8,556.0,8,1,264.7,8,22.7,8,1,22.1,8,324.5,0,8,1,251.5,0,8,22.4,8,1,21.4,8,569.0,0,8,1,268.9,0,8,23.3,8,1,22.4,8,617.0,8,1,258.1,8,22.1,8,1,22.0,8,514.0,0,8,1,224.5,0,8,23.2,8,1,22.6,8,505.5,8,1,270.4,8,21.6,8,1,20.9,8,541.0,8,1,262.8,8,22.1,8,1,21.5,8,392.5,8,1,231.6,8,22.5,8,1,21.7,8,411.5,8,1,298.1,8,21.9,8,1,21.0,8,310.0,0,8,1,236.8,0,8,22.1,8,1,21.1,8,486.0,0,8,1,257.0,0,8,22.4,8,1,21.5,8,362.0,8,1,222.0,8,22.8,8,1,21.8,8,643.5,8,1,297.4,8,20.1,8,1,19.2,8,674.5,8,1,344.0,8,18.4,8,1,17.9,8
