ダウンロードした時刻：2024/06/06 23:21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重,三重
,桑名,桑名,桑名,桑名,桑名,桑名,桑名,桑名,桑名,桑名,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,亀山,亀山,亀山,亀山,亀山,亀山,亀山,亀山,亀山,亀山,上野,上野,上野,上野,上野,上野,上野,上野,上野,上野,上野,上野,津,津,津,津,津,津,津,津,津,津,津,津,小俣,小俣,小俣,小俣,小俣,小俣,小俣,小俣,小俣,小俣,鳥羽,鳥羽,鳥羽,鳥羽,鳥羽,鳥羽,鳥羽,鳥羽,鳥羽,鳥羽,南伊勢,南伊勢,南伊勢,南伊勢,南伊勢,南伊勢,南伊勢,南伊勢,南伊勢,南伊勢,紀伊長島,紀伊長島,紀伊長島,紀伊長島,紀伊長島,紀伊長島,紀伊長島,紀伊長島,紀伊長島,紀伊長島,粥見,粥見,粥見,粥見,粥見,粥見,粥見,粥見,粥見,粥見,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿,熊野新鹿
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,24.0,8,1,54.3,8,5.5,8,1,4.8,8,34.5,0,8,1,55.5,0,8,4.6,8,1,4.3,8,32.5,8,1,57.3,8,4.4,8,1,4.3,8,25.0,0,8,1,50.9,0,8,3.7,8,1,3.5,8,22.0,0,8,1,48.5,0,8,6.0,8,1,5.7,8,20.5,8,1,63.3,8,5.1,8,1,4.8,8,53.0,8,1,82.4,8,5.5,8,1,5.2,8,53.0,8,1,76.7,8,6.1,8,1,5.9,8,25.5,8,1,70.9,8,6.3,8,1,6.2,8,37.0,8,1,56.1,8,4.1,8,1,4.2,8,39.5,0,8,1,106.0,0,8,6.9,8,1,6.5,8,39.0,8,1,92.6,8,7.2,8,1,6.8,8
2023/2,34.0,8,1,63.2,8,6.6,8,1,5.5,8,37.0,0,8,1,67.2,0,8,5.8,8,1,4.9,8,41.5,8,1,68.8,8,5.5,8,1,4.7,8,47.0,0,8,1,60.0,0,8,4.7,8,1,4.0,8,31.0,0,8,1,57.1,0,8,6.7,8,1,5.9,8,38.0,8,1,68.3,8,6.1,8,1,5.2,8,71.5,8,1,90.2,8,6.1,8,1,5.5,8,43.5,8,1,86.7,8,7.2,8,1,6.4,8,26.0,8,1,80.0,8,7.9,8,1,6.9,8,34.5,8,1,63.0,8,5.1,8,1,4.7,8,38.0,0,8,1,118.8,0,8,8.2,8,1,7.2,8,34.0,8,1,121.6,8,8.7,8,1,8.0,8
2023/3,63.0,8,1,112.8,8,12.3,8,1,8.9,8,57.0,0,8,1,117.8,0,8,11.4,8,1,8.1,8,55.0,8,1,120.0,8,11.1,8,1,8.0,8,61.5,0,8,1,104.2,0,8,10.3,8,1,7.3,8,52.5,0,8,1,104.5,0,8,11.9,8,1,9.0,8,90.0,8,1,121.3,8,11.6,8,1,8.5,8,151.0,8,1,174.3,8,11.2,8,1,8.6,8,168.5,8,1,160.7,8,12.0,8,1,9.4,8,196.0,8,1,164.3,8,12.3,8,1,9.8,8,114.5,8,1,115.5,8,10.4,8,1,8.0,8,318.5,0,8,1,233.8,0,8,13.0,8,1,10.3,8,210.5,8,1,208.4,8,13.5,8,1,10.7,8
2023/4,158.5,8,1,141.7,8,15.5,8,1,14.2,8,177.5,0,8,1,153.7,0,8,14.6,8,1,13.3,8,170.0,8,1,153.4,8,14.2,8,1,13.2,8,129.5,0,8,1,104.2,0,8,13.9,8,1,12.7,8,109.0,0,8,1,129.0,0,8,15.3,8,1,14.2,8,74.5,5,1,134.2,8,15.2,5,1,13.8,8,164.0,8,1,212.2,8,15.0,5,1,13.7,8,150.0,8,1,193.3,8,15.2,8,1,14.0,8,187.5,8,1,207.3,8,15.7,8,1,14.3,8,110.0,5,1,143.3,8,14.1,5,1,13.0,8,335.0,0,8,1,295.4,0,8,16.2,8,1,14.7,8,337.5,8,1,270.1,8,16.0,8,1,15.1,8
2023/5,136.0,8,1,166.8,8,20.0,8,1,19.1,8,195.5,0,8,1,189.3,0,8,18.8,8,1,18.0,8,179.0,8,1,203.0,8,18.4,8,1,18.0,8,159.5,0,8,1,139.7,0,8,18.3,8,1,17.9,8,139.5,0,8,1,167.3,0,8,19.7,8,1,19.0,8,201.0,8,1,188.1,8,19.1,8,1,18.7,8,250.0,8,1,256.3,8,18.6,8,1,18.2,8,288.0,8,1,222.9,8,18.5,8,1,18.2,8,228.0,8,1,253.4,8,18.8,8,1,18.3,8,150.5,8,1,188.4,8,17.9,8,1,17.8,8,307.5,0,8,1,360.5,0,8,19.4,8,1,18.7,8,340.0,8,1,273.6,8,19.4,8,1,19.0,8
2023/6,319.5,8,1,209.5,8,23.6,8,1,22.8,8,330.5,0,8,1,249.0,0,8,22.4,8,1,21.7,8,299.5,8,1,255.8,8,22.1,8,1,21.6,8,260.5,0,8,1,194.3,0,8,22.2,8,1,21.8,8,330.5,0,8,1,201.8,0,8,23.4,8,1,22.7,8,462.5,8,1,213.7,8,22.8,8,1,22.2,8,692.0,8,1,264.3,8,22.2,8,1,21.7,8,635.0,8,1,256.6,8,22.4,8,1,21.6,8,570.0,8,1,312.9,8,22.4,8,1,21.6,8,355.0,8,1,231.3,8,21.7,8,1,21.4,8,707.0,0,8,1,436.6,0,8,22.7,8,1,21.9,8,679.0,8,1,388.9,8,22.8,8,1,22.1,8
2023/7,160.0,8,1,193.2,8,28.6,8,1,26.7,8,156.5,0,8,1,208.0,0,8,27.4,8,1,25.6,8,107.0,8,1,211.2,8,27.3,8,1,25.6,8,103.5,0,8,1,194.3,0,8,27.6,8,1,25.8,8,80.5,0,8,1,173.9,0,8,28.7,8,1,26.8,8,75.0,8,1,181.7,8,28.0,8,1,26.3,8,77.5,8,1,204.6,8,27.4,8,1,25.8,8,103.5,8,1,228.7,8,26.9,8,1,25.5,8,72.0,8,1,273.6,8,27.3,8,1,25.5,8,92.5,8,1,247.0,8,26.9,8,1,25.4,8,93.0,0,5,1,405.2,0,8,27.7,8,1,25.8,8,173.0,8,1,356.9,8,27.2,8,1,25.7,8
2023/8,205.5,8,1,137.1,8,29.4,8,1,28.0,8,313.0,0,8,1,158.8,0,8,28.0,8,1,26.8,8,289.0,8,1,180.8,8,27.4,8,1,26.7,8,219.0,0,8,1,136.4,0,8,28.1,8,1,26.7,8,275.5,0,8,1,144.5,0,8,29.1,8,1,27.9,8,410.5,8,1,160.2,8,28.3,8,1,27.2,8,389.0,8,1,187.0,8,27.9,8,1,26.9,8,327.0,8,1,185.8,8,27.8,8,1,26.7,8,880.5,8,1,262.2,8,27.7,8,1,26.5,8,758.5,8,1,272.3,8,26.8,8,1,26.1,8,1138.5,0,8,1,427.3,0,8,27.6,8,1,26.8,8,707.5,8,1,265.4,8,27.4,8,1,27.0,8
2023/9,109.5,8,1,233.3,8,27.4,8,1,24.4,8,132.5,0,8,1,286.9,0,8,25.8,8,1,23.2,8,140.0,8,1,284.1,8,25.2,8,1,23.0,8,51.5,0,8,1,187.3,0,8,25.8,8,1,22.8,8,109.5,0,8,1,276.6,0,8,27.0,8,1,24.4,8,126.5,8,1,319.2,8,26.1,8,1,23.7,8,169.0,8,1,399.0,8,25.6,8,1,23.5,8,206.5,8,1,379.1,8,25.7,8,1,23.7,8,126.0,8,1,474.0,8,25.9,8,1,23.7,8,109.5,8,1,400.7,8,25.0,8,1,22.7,8,251.0,0,5,1,745.7,0,8,26.4,5,1,23.8,8,264.5,8,1,476.1,8,26.0,8,1,24.2,8
2023/10,118.0,8,1,165.8,8,18.5,8,1,18.6,8,107.5,0,8,1,182.9,0,8,17.1,8,1,17.5,8,95.0,8,1,178.8,8,16.7,8,1,17.4,8,90.0,0,8,1,146.7,0,8,16.2,8,1,16.7,8,110.5,0,8,1,186.1,0,8,18.5,8,1,18.8,8,169.0,8,1,258.4,8,17.5,8,1,17.9,8,270.5,8,1,330.1,8,17.6,8,1,18.1,8,212.0,8,1,286.0,8,18.2,8,1,18.6,8,146.0,8,1,333.8,8,18.6,8,1,18.7,8,133.5,8,1,255.4,8,16.5,8,1,17.0,8,179.0,0,8,1,507.6,0,8,18.8,8,1,18.8,8,122.5,8,1,383.7,8,19.3,8,1,19.5,8
