ダウンロードした時刻：2024/06/06 23:29:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山
,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,砺波,砺波,砺波,砺波,砺波,砺波,砺波,砺波,砺波,砺波,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,秋ヶ島,上市,上市,上市,上市,上市,上市,上市,上市,上市,上市,南砺高宮,南砺高宮,南砺高宮,南砺高宮,南砺高宮,南砺高宮,南砺高宮,南砺高宮,南砺高宮,南砺高宮,八尾,八尾,八尾,八尾,八尾,八尾,八尾,八尾,八尾,八尾
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,270.0,8,1,279.1,8,3.4,8,1,3.4,8,174.0,8,1,242.3,8,2.6,8,1,2.4,8,205.5,8,1,254.7,8,3.5,8,1,2.7,8,175.5,0,8,1,272.7,0,8,3.4,8,1,2.9,8,183.0,0,8,1,259.0,0,8,3.7,8,1,3.0,8,,1,1,239.7,8,2.8,8,1,2.1,8,158.5,8,1,196.4,8,3.4,8,1,2.5,8,217.0,8,1,293.5,8,0.6,8,1,0.3,8,206.5,8,1,321.9,8,2.6,8,1,1.9,8,239.5,8,1,299.6,8,2.4,8,1,2.0,8
2023/2,198.5,8,1,184.7,8,3.8,8,1,3.6,8,112.0,8,1,143.4,8,3.4,8,1,2.6,8,147.0,8,1,165.5,8,3.7,8,1,2.9,8,101.0,0,8,1,161.6,0,8,4.1,8,1,3.3,8,114.0,0,8,1,171.7,0,8,4.2,8,1,3.4,8,,1,1,151.5,8,3.2,8,1,2.4,8,93.5,8,1,136.9,8,3.8,8,1,3.1,8,174.0,8,1,209.9,8,0.7,8,1,0.4,8,156.0,8,1,204.8,8,3.0,8,1,2.0,8,123.0,8,1,200.8,8,2.6,8,1,2.3,8
2023/3,196.5,8,1,194.3,8,9.2,8,1,6.8,8,92.5,8,1,135.6,8,8.4,8,1,5.8,8,167.0,8,1,176.8,8,9.5,8,1,6.2,8,102.0,0,8,1,150.6,0,8,9.7,8,1,6.6,8,124.0,0,8,1,164.6,0,8,10.3,8,1,6.9,8,0.0,4,1,143.1,8,9.3,8,1,5.9,8,118.0,8,1,140.1,8,10.4,8,1,6.7,8,194.0,8,1,217.5,8,7.4,8,1,3.6,8,119.0,8,1,180.3,8,9.2,8,1,5.6,8,128.0,8,1,182.1,8,9.4,8,1,5.8,8
2023/4,166.0,8,1,167.6,8,12.6,8,1,11.9,8,113.5,8,1,116.5,8,11.9,8,1,10.8,8,154.0,8,1,161.4,8,13.0,8,1,11.7,8,105.5,0,8,1,121.9,0,8,13.1,8,1,11.7,8,112.0,0,8,1,134.5,0,8,13.8,8,1,12.3,8,89.0,8,1,115.8,8,12.8,8,1,11.5,8,100.5,8,1,120.3,8,13.8,8,1,12.2,8,173.5,8,1,190.7,8,11.6,8,1,9.9,8,97.0,8,1,135.7,8,12.9,8,1,11.3,8,84.5,8,1,132.2,8,12.8,8,1,11.7,8
2023/5,246.0,8,1,155.0,8,17.2,8,1,17.1,8,179.0,8,1,110.2,8,16.3,8,1,16.0,8,243.0,8,1,154.0,8,17.3,8,1,16.9,8,243.0,0,8,1,115.4,0,8,17.3,8,1,16.8,8,260.0,0,8,1,122.8,0,8,18.0,8,1,17.5,8,248.0,8,1,110.0,8,17.5,8,1,16.9,8,257.5,8,1,104.8,8,18.1,8,1,17.9,8,287.0,8,1,198.3,8,15.8,8,1,15.4,8,239.0,8,1,117.5,8,17.6,8,1,16.9,8,291.5,8,1,115.9,8,16.8,8,1,17.1,8
2023/6,280.5,8,1,188.4,8,22.0,8,1,20.9,8,247.0,8,1,156.5,8,21.4,8,1,20.2,8,306.0,8,1,180.9,8,22.0,8,1,20.7,8,246.0,0,8,1,159.4,0,8,22.2,8,1,20.8,8,213.0,0,8,1,172.6,0,8,22.7,8,1,21.4,8,219.5,8,1,167.7,8,21.9,8,1,20.7,8,217.5,8,1,154.9,8,22.6,8,1,21.8,8,401.5,8,1,230.5,8,20.3,8,1,19.2,8,229.5,8,1,182.6,8,22.1,8,1,20.7,8,228.5,8,1,180.6,8,21.4,8,1,20.9,8
