ダウンロードした時刻：2024/06/06 23:37:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都
,間人,間人,間人,間人,間人,間人,間人,間人,間人,間人,宮津,宮津,宮津,宮津,宮津,宮津,宮津,宮津,宮津,宮津,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,福知山,福知山,福知山,福知山,福知山,福知山,福知山,福知山,福知山,福知山,美山,美山,美山,美山,美山,美山,美山,美山,美山,美山,園部,園部,園部,園部,園部,園部,園部,園部,園部,園部,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京田辺,京田辺,京田辺,京田辺,京田辺,京田辺,京田辺,京田辺,京田辺,京田辺
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,197.5,8,1,222.1,8,5.5,8,1,5.3,8,205.0,8,1,202.9,8,4.4,8,1,4.1,8,198.0,0,8,1,183.4,0,8,3.9,8,1,3.7,8,110.0,8,1,103.9,8,3.5,8,1,3.2,8,140.0,8,1,140.3,8,2.4,8,1,1.7,8,65.5,8,1,60.8,8,2.1,8,1,2.2,8,39.0,0,8,1,53.3,0,8,5.1,8,1,4.8,8,34.5,8,1,51.0,8,4.2,8,1,4.1,8
2023/2,71.5,8,1,125.4,8,6.3,8,1,5.5,8,76.5,8,1,150.4,8,5.2,8,1,4.3,8,85.5,0,8,1,146.6,0,8,4.9,8,1,4.1,8,63.0,8,1,96.5,8,4.3,8,1,3.8,8,100.5,8,1,128.5,8,2.5,8,1,2.1,8,39.0,8,1,78.4,8,3.4,8,1,3.3,8,36.0,0,8,1,65.1,0,8,6.0,8,1,5.4,8,45.0,8,1,63.4,8,5.1,8,1,4.6,8
2023/3,86.5,8,1,123.7,8,11.4,8,1,8.2,8,120.0,8,1,136.4,8,10.2,8,1,7.4,8,96.5,0,8,1,140.5,0,8,10.3,8,1,7.4,8,102.5,8,1,115.4,8,10.0,8,1,7.2,8,108.0,8,1,139.5,8,8.7,8,1,5.6,8,100.0,8,1,115.2,8,9.2,8,1,6.5,8,91.5,0,8,1,106.2,0,8,12.3,8,1,8.8,8,67.0,8,1,108.0,8,10.9,8,1,8.0,8
2023/4,198.0,8,1,99.3,8,13.9,8,1,13.1,8,192.5,8,1,111.9,8,13.8,8,1,12.5,8,166.0,0,8,1,116.6,0,8,14.0,8,1,12.7,8,174.5,8,1,114.1,8,13.9,8,1,12.7,8,165.5,8,1,121.9,8,12.3,8,1,11.1,8,170.5,8,1,117.4,8,12.9,8,1,12.0,8,208.0,0,8,1,117.0,0,8,15.4,8,1,14.4,8,163.0,8,1,106.8,8,14.4,8,1,13.5,8
2023/5,195.5,5,1,120.4,8,17.5,5,1,17.6,8,203.5,5,1,132.8,8,17.6,5,1,17.4,8,210.5,0,8,1,142.8,0,8,18.0,8,1,17.8,8,194.5,8,1,137.5,8,18.1,8,1,17.9,8,204.0,8,1,149.7,8,16.5,8,1,16.2,8,220.0,8,1,129.8,8,17.4,8,1,17.5,8,253.0,0,8,1,151.4,0,8,19.7,8,1,19.5,8,257.5,8,1,141.0,8,18.8,8,1,18.6,8
2023/6,224.0,8,1,141.8,8,22.1,8,1,21.1,8,222.0,8,1,146.1,8,21.8,8,1,21.2,8,238.0,0,8,1,154.9,0,8,22.1,8,1,21.6,8,343.0,8,1,163.9,8,22.2,8,1,21.8,8,268.0,8,1,177.1,8,20.9,8,1,20.3,8,218.5,8,1,166.5,8,21.7,8,1,21.6,8,228.0,0,8,1,199.7,0,8,23.6,8,1,23.3,8,247.0,8,1,204.2,8,22.9,8,1,22.6,8
