ダウンロードした時刻：2024/06/06 23:49:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根,島根
,西郷,西郷,西郷,西郷,西郷,西郷,西郷,西郷,西郷,西郷,西郷,西郷,西郷岬,西郷岬,西郷岬,西郷岬,西郷岬,西郷岬,西郷岬,西郷岬,西郷岬,西郷岬,海士,海士,海士,海士,海士,海士,海士,海士,海士,海士,鹿島,鹿島,鹿島,鹿島,鹿島,鹿島,鹿島,鹿島,鹿島,鹿島,斐川,斐川,斐川,斐川,斐川,斐川,斐川,斐川,斐川,斐川,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,大田,大田,大田,大田,大田,大田,大田,大田,大田,大田,掛合,掛合,掛合,掛合,掛合,掛合,掛合,掛合,掛合,掛合,横田,横田,横田,横田,横田,横田,横田,横田,横田,横田,赤名,赤名,赤名,赤名,赤名,赤名,赤名,赤名,赤名,赤名,川本,川本,川本,川本,川本,川本,川本,川本,川本,川本,浜田,浜田,浜田,浜田,浜田,浜田,浜田,浜田,浜田,浜田,浜田,浜田,瑞穂,瑞穂,瑞穂,瑞穂,瑞穂,瑞穂,瑞穂,瑞穂,瑞穂,瑞穂,弥栄,弥栄,弥栄,弥栄,弥栄,弥栄,弥栄,弥栄,弥栄,弥栄,高津,高津,高津,高津,高津,高津,高津,高津,高津,高津,益田,益田,益田,益田,益田,益田,益田,益田,益田,益田,津和野,津和野,津和野,津和野,津和野,津和野,津和野,津和野,津和野,津和野,吉賀,吉賀,吉賀,吉賀,吉賀,吉賀,吉賀,吉賀,吉賀,吉賀
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,180.5,0,8,1,158.3,0,8,4.8,8,1,4.5,8,111.5,8,1,103.5,8,5.1,8,1,4.6,8,133.5,8,1,116.9,8,5.6,8,1,5.3,8,127.5,8,1,143.7,8,6.0,8,1,4.8,8,85.5,8,1,120.5,8,4.9,8,1,4.4,8,178.0,0,8,1,153.3,0,8,5.0,8,1,4.6,8,116.0,8,1,121.6,8,5.5,8,1,4.8,8,35.0,8,1,119.6,8,5.8,8,1,5.0,8,131.5,8,1,167.0,8,3.4,8,1,2.4,8,135.0,8,1,143.1,8,0.8,8,1,0.7,8,176.5,8,1,172.5,8,0.9,8,1,0.3,8,138.5,8,1,147.2,8,3.2,8,1,2.7,8,77.0,0,8,1,97.8,0,8,6.8,8,1,6.2,8,162.5,8,1,151.8,8,1.4,8,1,0.7,8,156.5,8,1,168.8,8,1.9,8,1,1.6,8,64.5,8,1,79.1,8,5.7,8,1,5.0,8,75.5,8,1,97.0,8,5.9,8,1,5.5,8,90.5,8,1,127.4,8,3.3,8,1,3.0,8,79.5,8,1,102.5,8,2.7,8,1,2.2,8
2023/2,86.0,0,8,1,111.9,0,8,5.3,8,1,4.6,8,70.5,8,1,76.5,8,5.7,8,1,5.0,8,58.0,8,1,86.4,8,5.7,8,1,5.2,8,92.5,8,1,108.0,8,6.2,8,1,5.0,8,105.0,8,1,93.1,8,5.7,8,1,5.1,8,107.0,0,8,1,118.4,0,8,5.7,8,1,5.0,8,122.0,8,1,98.9,8,5.7,8,1,5.1,8,77.0,8,1,104.0,8,6.4,8,1,5.5,8,97.0,8,1,139.2,8,3.7,8,1,3.0,8,82.5,8,1,114.4,8,2.2,8,1,1.4,8,96.0,8,1,144.4,8,2.1,8,1,0.9,8,113.0,8,1,122.1,8,4.0,8,1,3.5,8,109.5,0,8,1,82.5,0,8,7.3,8,1,6.5,8,87.5,8,1,130.9,8,2.6,8,1,1.4,8,160.5,8,1,133.4,8,3.2,8,1,2.2,8,103.5,8,1,78.3,8,6.7,8,1,5.8,8,101.0,8,1,80.5,8,7.0,8,1,6.1,8,134.5,8,1,103.7,8,5.1,8,1,3.9,8,116.5,8,1,105.3,8,4.1,8,1,3.7,8
2023/3,67.0,0,8,1,125.0,0,8,9.9,8,1,7.3,8,52.5,8,1,97.5,8,10.4,8,1,7.6,8,43.0,8,1,108.6,8,10.1,8,1,7.8,8,75.0,8,1,124.9,8,10.8,8,1,7.7,8,76.5,8,1,118.8,8,10.5,8,1,8.0,8,95.0,0,8,1,134.0,0,8,10.9,8,1,8.0,8,121.0,8,1,123.5,8,10.4,8,1,7.8,8,91.0,8,1,131.6,8,11.1,8,1,8.3,8,94.5,8,1,155.6,8,9.5,8,1,6.3,8,86.5,8,1,129.5,8,8.3,8,1,5.0,8,95.0,8,1,152.6,8,8.2,8,1,4.4,8,76.0,8,1,139.0,8,9.6,8,1,6.7,8,101.0,0,8,1,122.1,0,8,11.7,8,1,9.0,8,79.0,8,1,145.9,8,8.4,8,1,5.0,8,113.0,8,1,158.7,8,8.2,8,1,5.4,8,60.5,8,1,113.3,8,10.9,8,1,8.5,8,57.0,8,1,121.4,8,11.3,8,1,8.9,8,65.5,8,1,148.3,8,10.4,8,1,7.4,8,81.0,8,1,144.9,8,9.3,8,1,6.8,8
2023/4,159.5,0,8,1,123.5,0,8,13.6,8,1,12.0,8,140.5,8,1,117.1,8,13.5,8,1,12.0,8,152.5,8,1,107.5,8,13.9,8,1,12.5,8,167.5,8,1,105.6,8,14.0,8,1,12.5,8,133.5,8,1,118.1,8,14.1,8,1,12.8,8,176.0,0,8,1,113.0,0,8,14.3,8,1,13.1,8,151.5,8,1,112.2,8,13.9,8,1,12.6,8,161.0,8,1,125.3,8,14.4,8,1,13.3,8,172.5,8,1,123.2,8,12.7,8,1,11.8,8,183.5,8,1,106.4,8,11.8,8,1,10.7,8,219.5,8,1,136.5,8,11.5,8,1,10.2,8,161.0,8,1,127.3,8,13.2,8,1,12.1,8,199.5,0,8,1,116.2,0,8,14.5,8,1,13.5,8,202.5,8,1,126.3,8,12.0,8,1,10.6,8,208.5,8,1,136.5,8,11.8,8,1,10.7,8,171.5,8,1,113.9,8,14.1,8,1,13.0,8,178.5,8,1,109.8,8,14.7,8,1,13.7,8,172.5,8,1,127.7,8,13.8,8,1,12.8,8,220.0,8,1,147.7,8,12.8,8,1,11.6,8
2023/5,194.0,0,8,1,134.1,0,8,17.3,8,1,16.7,8,167.5,8,1,120.8,8,17.1,8,1,16.5,8,186.0,8,1,125.7,8,17.7,8,1,17.1,8,251.0,8,1,121.5,8,17.8,8,1,17.4,8,222.0,8,1,126.4,8,18.2,8,1,17.9,8,287.0,0,8,1,130.3,0,8,18.4,8,1,18.0,8,235.0,8,1,130.3,8,17.7,8,1,17.3,8,236.0,8,1,144.4,8,18.5,8,1,18.0,8,222.5,8,1,126.9,8,17.1,8,1,16.9,8,208.0,8,1,114.2,8,16.3,8,1,16.1,8,226.0,8,1,155.8,8,16.0,8,1,15.4,8,206.5,8,1,145.9,8,17.4,8,1,17.0,8,257.0,0,8,1,136.7,0,8,18.3,8,1,17.9,8,218.5,8,1,139.7,8,16.5,8,1,15.7,8,244.0,8,1,156.5,8,15.9,8,1,15.7,8,185.5,8,1,111.0,8,17.9,8,1,17.5,8,191.5,8,1,124.4,8,18.8,8,1,18.4,8,216.0,8,1,141.0,8,18.2,8,1,17.8,8,210.0,8,1,139.0,8,17.0,8,1,16.7,8
2023/6,242.0,0,8,1,165.7,0,8,21.7,8,1,20.4,8,191.0,8,1,130.5,8,21.5,8,1,20.2,8,217.0,5,1,167.0,8,22.3,5,1,20.7,8,156.5,8,1,166.9,8,22.3,8,1,21.1,8,133.0,8,1,155.7,8,22.6,8,1,21.8,8,175.5,0,8,1,173.0,0,8,22.7,8,1,21.7,8,183.5,8,1,183.0,8,22.2,8,1,21.2,8,161.5,8,1,193.1,8,22.4,5,1,21.7,8,157.0,5,1,186.5,8,21.2,5,1,20.6,8,243.0,8,1,178.0,8,20.7,8,1,20.0,8,261.0,8,1,214.5,8,20.0,8,1,19.3,8,186.5,8,1,206.3,8,21.5,8,1,20.9,8,155.0,0,8,1,185.3,0,8,22.4,8,1,21.4,8,213.0,8,1,194.6,8,20.4,8,1,19.6,8,253.0,8,1,222.9,8,20.3,8,1,19.5,8,200.5,8,1,160.4,8,22.0,8,1,21.1,8,228.0,8,1,179.8,8,22.8,8,1,22.1,8,251.5,5,1,211.2,8,22.2,5,1,21.5,8,243.5,8,1,241.5,8,20.9,8,1,20.5,8
