ダウンロードした時刻：2024/06/06 23:58:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口
,須佐,須佐,須佐,須佐,須佐,須佐,須佐,須佐,須佐,須佐,萩,萩,萩,萩,萩,萩,萩,萩,萩,萩,萩,萩,油谷,油谷,油谷,油谷,油谷,油谷,油谷,油谷,油谷,油谷,徳佐,徳佐,徳佐,徳佐,徳佐,徳佐,徳佐,徳佐,徳佐,徳佐,秋吉台,秋吉台,秋吉台,秋吉台,秋吉台,秋吉台,秋吉台,秋吉台,秋吉台,秋吉台,広瀬,広瀬,広瀬,広瀬,広瀬,広瀬,広瀬,広瀬,広瀬,広瀬,豊田,豊田,豊田,豊田,豊田,豊田,豊田,豊田,豊田,豊田,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,岩国,岩国,岩国,岩国,岩国,岩国,岩国,岩国,岩国,岩国,防府,防府,防府,防府,防府,防府,防府,防府,防府,防府,下松,下松,下松,下松,下松,下松,下松,下松,下松,下松,玖珂,玖珂,玖珂,玖珂,玖珂,玖珂,玖珂,玖珂,玖珂,玖珂,下関,下関,下関,下関,下関,下関,下関,下関,下関,下関,下関,下関,宇部,宇部,宇部,宇部,宇部,宇部,宇部,宇部,宇部,宇部,柳井,柳井,柳井,柳井,柳井,柳井,柳井,柳井,柳井,柳井,安下庄,安下庄,安下庄,安下庄,安下庄,安下庄,安下庄,安下庄,安下庄,安下庄
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,91.0,8,1,102.8,8,5.4,8,1,5.1,8,63.0,0,8,1,94.5,0,8,6.2,8,1,5.7,8,78.5,8,1,97.8,8,6.0,8,1,5.8,8,86.0,8,1,121.9,8,2.0,8,1,1.8,8,72.5,8,1,95.5,8,3.4,8,1,3.0,8,122.5,8,1,85.8,8,3.0,8,1,2.8,8,89.0,8,1,90.8,8,3.7,8,1,3.6,8,78.5,0,8,1,76.3,0,8,4.8,8,1,4.4,8,68.5,8,1,54.3,8,4.6,8,1,4.2,8,79.0,8,1,55.6,8,5.2,8,1,5.0,8,114.5,8,1,54.3,8,5.6,8,1,4.9,8,90.5,8,1,62.0,8,3.7,8,1,3.6,8,91.0,0,8,1,80.0,0,8,7.6,8,1,7.2,8,61.0,8,1,56.2,8,6.1,8,1,5.8,8,97.5,8,1,54.0,8,5.3,8,1,5.0,8,92.0,8,1,57.9,8,6.3,8,1,6.0,8
2023/2,123.0,8,1,85.8,8,6.3,8,1,5.4,8,90.0,0,8,1,76.3,0,8,7.3,8,1,6.4,8,120.5,8,1,86.8,8,7.4,8,1,6.4,8,128.5,8,1,106.3,8,3.8,8,1,2.8,8,124.5,8,1,91.4,8,5.1,8,1,4.0,8,132.0,8,1,108.1,8,4.9,8,1,3.8,8,133.5,8,1,88.3,8,5.3,8,1,4.4,8,94.5,0,8,1,85.0,0,8,6.3,8,1,5.5,8,65.0,8,1,79.9,8,5.6,8,1,4.9,8,65.5,8,1,68.9,8,6.7,8,1,5.9,8,52.0,8,1,85.2,8,6.7,8,1,5.5,8,70.0,8,1,90.7,8,5.4,8,1,4.6,8,83.0,0,8,1,75.9,0,8,8.3,8,1,7.5,8,56.5,5,1,65.7,8,7.1,5,1,6.5,8,53.0,8,1,78.5,8,6.6,8,1,5.7,8,54.5,8,1,85.1,8,7.1,8,1,6.3,8
2023/3,83.5,8,1,137.1,8,10.4,8,1,8.0,8,50.0,0,8,1,124.5,0,8,11.7,8,1,9.1,8,66.0,8,1,137.7,8,11.7,8,1,9.3,8,63.5,8,1,146.7,8,9.3,8,1,6.3,8,61.5,8,1,147.7,8,10.4,8,1,7.4,8,97.5,8,1,181.9,8,10.6,8,1,7.3,8,71.0,8,1,140.5,8,9.9,8,1,7.5,8,67.5,0,8,1,145.6,0,8,11.7,8,1,9.0,8,81.5,8,1,145.6,8,11.0,8,1,8.2,8,76.5,8,1,119.3,8,11.7,8,1,9.1,8,80.5,8,1,148.5,8,11.9,8,1,8.7,8,79.5,8,1,158.9,8,11.0,8,1,8.1,8,70.5,0,8,1,121.2,0,8,12.8,8,1,10.3,8,69.0,8,1,106.0,8,11.6,8,1,9.3,8,84.5,8,1,137.9,8,11.6,8,1,9.0,8,88.0,8,1,136.0,8,11.7,8,1,9.3,8
2023/4,176.5,8,1,124.7,8,13.8,8,1,12.6,8,184.5,0,8,1,120.4,0,8,14.9,8,1,13.6,8,182.5,8,1,130.4,8,14.9,8,1,13.9,8,216.5,8,1,136.6,8,12.9,8,1,11.7,8,210.0,8,1,159.6,8,13.4,8,1,12.5,8,349.5,8,1,210.6,8,13.8,8,1,12.7,8,222.0,8,1,151.4,8,13.5,8,1,12.4,8,252.0,0,8,1,168.1,0,8,15.1,8,1,13.9,8,281.0,8,1,172.8,8,14.4,8,1,13.4,8,217.0,8,1,142.8,8,15.0,8,1,14.0,8,293.5,8,1,183.7,8,15.1,8,1,13.7,8,316.5,8,1,186.8,8,14.3,8,1,13.3,8,173.5,0,8,1,130.8,0,8,15.9,8,1,14.7,8,161.5,8,1,129.0,8,15.0,8,1,13.8,8,286.5,8,1,164.9,8,15.0,8,1,13.8,8,239.0,8,1,155.3,8,14.8,8,1,13.8,8
2023/5,215.0,8,1,142.2,8,17.6,8,1,17.2,8,183.0,0,8,1,134.7,0,8,18.7,8,1,18.3,8,212.0,8,1,146.2,8,18.5,8,1,18.4,8,223.0,8,1,153.7,8,17.1,8,1,16.8,8,231.5,8,1,187.4,8,17.1,8,1,16.9,8,300.5,8,1,246.8,8,18.2,8,1,17.5,8,231.0,8,1,183.7,8,17.6,8,1,17.3,8,293.5,0,8,1,197.2,0,8,19.2,8,1,19.0,8,239.5,8,1,187.5,8,18.5,8,1,18.1,8,264.0,8,1,184.1,8,18.8,8,1,18.8,8,288.0,8,1,215.6,8,18.9,8,1,18.3,8,276.0,8,1,211.0,8,18.5,8,1,18.1,8,254.0,0,8,1,154.2,0,8,19.3,8,1,19.1,8,272.5,8,1,162.7,8,18.6,8,1,18.4,8,256.0,8,1,184.4,8,18.7,8,1,18.3,8,226.5,8,1,179.5,8,18.5,8,1,18.1,8
2023/6,190.0,8,1,209.1,8,21.9,8,1,21.0,8,285.0,0,8,1,206.5,0,8,22.7,8,1,21.9,8,257.0,8,1,222.5,8,22.5,8,1,21.9,8,313.0,8,1,229.5,8,21.1,8,1,20.5,8,411.0,8,1,283.0,8,20.7,8,1,20.4,8,369.5,8,1,311.3,8,21.7,8,1,21.4,8,380.5,8,1,272.5,8,21.7,8,1,21.2,8,456.5,0,8,1,282.9,0,8,22.7,8,1,22.6,8,287.0,8,1,274.1,8,21.8,8,1,21.8,8,278.5,8,1,241.8,8,22.6,8,1,22.4,8,292.0,8,1,277.7,8,22.3,8,1,21.8,8,305.0,8,1,292.2,8,22.1,8,1,21.9,8,264.5,0,8,1,253.6,0,8,23.1,8,1,22.5,8,239.5,8,1,242.5,8,22.4,8,1,22.0,8,295.5,8,1,276.0,8,22.0,8,1,21.8,8,296.5,8,1,281.3,8,21.6,8,1,21.4,8
