ダウンロードした時刻：2024/06/07 00:16:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
,国見,国見,国見,国見,国見,国見,国見,国見,国見,国見,中津,中津,中津,中津,中津,中津,中津,中津,中津,中津,豊後高田,豊後高田,豊後高田,豊後高田,豊後高田,豊後高田,豊後高田,豊後高田,豊後高田,豊後高田,院内,院内,院内,院内,院内,院内,院内,院内,院内,院内,杵築,杵築,杵築,杵築,杵築,杵築,杵築,杵築,杵築,杵築,武蔵,武蔵,武蔵,武蔵,武蔵,武蔵,武蔵,武蔵,武蔵,武蔵,日田,日田,日田,日田,日田,日田,日田,日田,日田,日田,日田,日田,玖珠,玖珠,玖珠,玖珠,玖珠,玖珠,玖珠,玖珠,玖珠,玖珠,湯布院,湯布院,湯布院,湯布院,湯布院,湯布院,湯布院,湯布院,湯布院,湯布院,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,犬飼,犬飼,犬飼,犬飼,犬飼,犬飼,犬飼,犬飼,犬飼,犬飼,竹田,竹田,竹田,竹田,竹田,竹田,竹田,竹田,竹田,竹田,佐伯,佐伯,佐伯,佐伯,佐伯,佐伯,佐伯,佐伯,佐伯,佐伯,宇目,宇目,宇目,宇目,宇目,宇目,宇目,宇目,宇目,宇目,蒲江,蒲江,蒲江,蒲江,蒲江,蒲江,蒲江,蒲江,蒲江,蒲江
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,6.3,8,1,6.1,8,64.0,8,1,60.7,8,5.9,5,1,5.8,8,57.5,5,1,56.2,8,5.7,5,1,5.3,8,54.5,5,1,47.8,8,4.5,5,1,4.0,8,51.5,5,1,59.5,8,5.4,5,1,5.3,8,47.5,5,1,47.1,8,6.2,8,1,6.1,8,55.0,8,1,41.8,8,4.4,8,1,4.2,8,77.0,0,8,1,64.6,0,8,2.3,8,1,2.5,8,64.0,8,1,63.1,8,2.5,8,1,2.3,8,45.0,8,1,59.2,8,6.9,8,1,6.5,8,45.5,0,8,1,49.8,0,8,4.8,8,1,4.5,8,49.0,8,1,47.6,8,4.1,8,1,3.9,8,47.0,8,1,48.1,8,6.3,5,1,6.7,8,46.5,5,1,62.3,8,4.0,5,1,3.9,8,37.0,5,1,55.4,8,8.0,5,1,7.9,8,37.5,5,1,68.0,8
2023/2,7.3,8,1,6.6,8,58.5,8,1,70.2,8,7.0,8,1,6.1,8,59.5,8,1,70.2,8,7.0,8,1,6.0,8,57.5,8,1,61.9,8,6.0,8,1,4.9,8,58.0,8,1,70.7,8,6.9,8,1,6.0,8,60.5,8,1,59.9,8,7.5,8,1,7.0,8,45.5,8,1,65.8,8,6.8,8,1,5.6,8,72.5,0,8,1,81.4,0,8,4.7,5,1,3.9,8,64.5,5,1,79.0,8,4.2,5,1,3.4,8,72.0,5,1,76.1,8,8.1,8,1,7.2,8,70.0,0,8,1,64.1,0,8,6.4,8,1,5.5,8,84.5,8,1,63.2,8,5.5,8,1,5.0,8,87.5,8,1,67.4,8,8.2,8,1,7.5,8,127.0,8,1,70.9,8,5.8,8,1,5.0,8,128.5,8,1,69.6,8,9.3,8,1,8.6,8,150.0,8,1,75.4,8
2023/3,11.8,8,1,9.4,8,98.5,8,1,106.5,8,11.6,8,1,9.7,8,87.5,8,1,88.5,8,11.7,8,1,9.1,8,92.5,8,1,93.3,8,10.7,8,1,8.3,8,102.0,8,1,106.2,8,11.3,8,1,9.1,8,94.0,8,1,98.0,8,11.3,8,1,9.5,8,84.0,8,1,87.9,8,12.1,8,1,9.2,8,119.0,0,8,1,122.9,0,8,9.8,8,1,7.5,8,116.5,8,1,117.4,8,9.0,8,1,6.8,8,105.0,8,1,109.6,8,12.4,8,1,10.2,8,108.0,0,8,1,99.2,0,8,11.1,8,1,8.9,8,87.0,8,1,98.3,8,10.1,5,1,8.4,8,104.5,5,1,103.6,8,12.4,8,1,10.5,8,108.5,8,1,116.2,8,10.4,8,1,8.3,8,130.0,8,1,121.9,8,14.0,8,1,11.6,8,162.5,8,1,143.8,8
2023/4,15.0,8,1,14.1,8,162.5,8,1,123.2,8,15.1,8,1,14.2,8,138.0,8,1,98.3,8,15.2,8,1,13.9,8,153.0,8,1,103.8,8,14.3,8,1,13.4,8,128.0,8,1,114.7,8,14.6,8,1,13.8,8,149.5,8,1,118.0,8,14.7,8,1,13.8,8,146.0,8,1,122.8,8,15.6,8,1,14.5,8,150.0,0,8,1,128.1,0,8,13.4,8,1,12.8,8,126.5,8,1,120.4,8,12.6,8,1,11.9,8,115.5,8,1,121.5,8,16.0,8,1,14.8,8,128.5,0,8,1,119.7,0,8,14.8,8,1,13.9,8,106.0,8,1,112.8,8,14.1,8,1,13.6,8,124.5,8,1,117.7,8,15.9,8,1,15.1,8,137.0,8,1,136.8,8,14.1,8,1,13.2,8,133.5,8,1,142.0,8,16.7,8,1,15.9,8,230.0,8,1,187.5,8
2023/5,18.5,8,1,18.6,8,248.0,8,1,134.3,8,18.9,8,1,19.2,8,278.5,8,1,102.6,8,19.1,8,1,18.6,8,247.5,8,1,119.2,8,18.4,8,1,18.2,8,247.0,8,1,130.5,8,18.4,8,1,18.3,8,211.0,8,1,133.5,8,18.0,8,1,18.1,8,194.5,8,1,133.3,8,20.0,8,1,19.4,8,309.0,0,5,1,150.0,0,8,17.4,8,1,17.8,8,265.0,8,1,147.1,8,16.5,8,1,16.8,8,212.5,8,1,153.4,8,19.6,8,1,19.3,8,192.5,0,8,1,133.6,0,8,18.5,8,1,18.5,8,206.5,8,1,131.9,8,18.0,8,1,18.2,8,253.5,8,1,147.8,8,19.2,8,1,19.3,8,154.0,8,1,178.8,8,17.8,8,1,17.7,8,139.0,8,1,186.7,8,19.3,8,1,19.7,8,187.0,8,1,244.2,8
2023/6,22.1,8,1,22.2,8,316.5,8,1,274.6,8,22.9,8,1,22.4,8,303.5,8,1,289.5,8,22.9,8,1,22.3,8,276.0,8,1,260.8,8,22.4,8,1,21.8,8,227.0,8,1,302.4,8,22.3,8,1,21.8,8,367.5,8,1,287.7,8,21.4,8,1,21.4,8,310.0,8,1,269.2,8,23.6,8,1,23.0,8,313.0,0,8,1,352.1,0,8,21.4,8,1,21.5,8,377.0,8,1,361.2,8,20.6,8,1,20.4,8,520.5,8,1,362.9,8,23.0,8,1,22.6,8,376.5,0,8,1,313.6,0,8,22.1,8,1,21.8,8,267.5,8,1,325.7,8,21.8,8,1,21.3,8,282.0,8,1,364.9,8,22.6,8,1,22.4,8,315.5,8,1,333.3,8,21.6,8,1,21.2,8,350.0,8,1,368.9,8,22.6,8,1,22.4,8,417.0,8,1,398.6,8
