ダウンロードした時刻：2024/06/07 00:24:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎
,高千穂,高千穂,高千穂,高千穂,高千穂,高千穂,高千穂,高千穂,高千穂,高千穂,古江,古江,古江,古江,古江,古江,古江,古江,古江,古江,鞍岡,鞍岡,鞍岡,鞍岡,鞍岡,鞍岡,鞍岡,鞍岡,鞍岡,鞍岡,延岡,延岡,延岡,延岡,延岡,延岡,延岡,延岡,延岡,延岡,延岡,延岡,日向,日向,日向,日向,日向,日向,日向,日向,日向,日向,神門,神門,神門,神門,神門,神門,神門,神門,神門,神門,西米良,西米良,西米良,西米良,西米良,西米良,西米良,西米良,西米良,西米良,高鍋,高鍋,高鍋,高鍋,高鍋,高鍋,高鍋,高鍋,高鍋,高鍋,加久藤,加久藤,加久藤,加久藤,加久藤,加久藤,加久藤,加久藤,加久藤,加久藤,西都,西都,西都,西都,西都,西都,西都,西都,西都,西都,小林,小林,小林,小林,小林,小林,小林,小林,小林,小林,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,田野,田野,田野,田野,田野,田野,田野,田野,田野,田野,赤江,赤江,赤江,赤江,赤江,赤江,赤江,赤江,赤江,赤江,都城,都城,都城,都城,都城,都城,都城,都城,都城,都城,都城,都城,油津,油津,油津,油津,油津,油津,油津,油津,油津,油津,油津,油津,串間,串間,串間,串間,串間,串間,串間,串間,串間,串間
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,4.1,8,1,3.7,8,48.0,8,1,59.7,8,7.3,8,1,7.5,8,32.0,8,1,61.3,8,2.2,8,1,1.8,8,70.0,8,1,87.0,8,7.0,8,1,6.8,8,30.0,0,8,1,59.4,0,8,6.8,8,1,6.8,8,27.5,8,1,68.0,8,3.9,8,1,3.9,8,42.5,8,1,70.9,8,5.1,5,1,4.9,8,67.0,5,1,75.0,8,6.6,8,1,,0,40.0,8,1,,0,5.2,8,1,5.1,8,90.5,5,1,74.7,8,6.6,8,1,6.8,8,41.0,8,1,70.3,8,6.3,5,1,5.8,8,64.0,5,1,77.1,8,8.1,8,1,7.8,8,48.5,0,8,1,72.7,0,8,7.1,8,1,,0,63.5,8,1,,0,8.4,8,1,8.0,8,40.5,8,1,68.2,8,6.4,8,1,6.1,8,83.0,0,8,1,66.1,0,8,8.9,8,1,8.9,8,51.5,0,8,1,83.9,0,8,7.9,8,1,7.8,8,73.5,8,1,71.8,8
2023/2,5.8,8,1,5.0,8,115.0,8,1,80.4,8,8.7,8,1,8.4,8,140.0,8,1,78.6,8,4.5,8,1,3.3,8,124.5,8,1,100.9,8,8.7,8,1,7.9,8,166.5,0,8,1,77.8,0,8,8.3,8,1,7.9,8,172.0,8,1,96.1,8,6.6,8,1,5.6,8,164.0,8,1,104.1,8,7.3,8,1,6.4,8,149.5,8,1,116.3,8,8.9,8,1,,0,173.0,8,1,,0,8.0,8,1,6.4,8,160.0,8,1,117.4,8,9.3,8,1,8.3,8,182.5,8,1,96.1,8,8.3,8,1,7.4,8,160.0,8,1,132.7,8,10.1,8,1,8.9,8,173.5,0,8,1,95.8,0,8,8.9,8,1,,0,170.0,8,1,,0,10.4,8,1,9.6,8,140.5,8,1,111.9,8,9.2,8,1,7.7,8,152.5,0,8,1,106.2,0,8,11.1,8,1,10.0,8,184.0,0,8,1,132.5,0,8,10.5,8,1,9.1,8,148.0,8,1,119.5,8
2023/3,10.6,8,1,8.4,8,97.5,8,1,121.9,8,13.3,8,1,11.3,8,195.5,8,1,152.9,8,9.5,8,1,6.8,8,110.0,8,1,136.4,8,13.4,8,1,11.1,8,208.5,0,8,1,145.5,0,8,13.4,8,1,11.1,8,234.5,8,1,156.9,8,11.4,8,1,9.2,8,142.0,8,1,166.3,8,11.7,8,1,9.8,8,126.5,8,1,167.0,8,13.1,8,1,,0,203.0,8,1,,0,12.1,8,1,9.8,8,129.0,8,1,167.9,8,13.5,8,1,11.6,8,177.5,8,1,166.3,8,12.7,8,1,10.3,8,115.0,8,1,165.2,8,14.1,8,1,12.1,8,181.0,0,8,1,155.7,0,8,13.1,8,1,,0,193.0,8,1,,0,14.3,8,1,12.4,8,183.0,8,1,144.1,8,13.3,8,1,11.0,8,147.5,0,8,1,163.3,0,8,14.7,8,1,12.9,8,158.5,0,8,1,193.2,0,8,14.0,8,1,12.1,8,136.0,8,1,161.4,8
2023/4,13.8,8,1,13.2,8,163.0,8,1,126.6,8,16.1,8,1,15.6,8,281.5,8,1,196.5,8,12.7,8,1,11.8,8,194.0,8,1,132.6,8,16.3,8,1,15.5,8,196.5,0,8,1,186.5,0,8,16.0,8,1,15.6,8,198.0,8,1,205.3,8,14.4,8,1,13.9,8,221.5,8,1,185.9,8,14.6,8,1,14.4,8,271.5,8,1,172.9,8,16.1,8,1,,0,215.0,8,1,,0,15.4,8,1,14.4,8,299.0,8,1,190.7,8,16.6,8,1,16.0,8,202.5,8,1,202.4,8,15.4,8,1,15.0,8,249.0,8,1,182.3,8,17.2,8,1,16.4,8,200.0,0,8,1,194.5,0,8,16.0,8,1,,0,217.0,8,1,,0,17.3,8,1,16.7,8,168.0,8,1,166.9,8,16.3,8,1,15.6,8,242.5,0,8,1,184.3,0,8,17.6,8,1,16.9,8,228.0,0,8,1,236.7,0,8,17.1,8,1,16.2,8,219.0,8,1,197.7,8
2023/5,17.8,8,1,17.6,8,173.5,8,1,164.2,8,18.9,8,1,19.5,8,211.5,8,1,260.6,8,16.6,8,1,16.4,8,174.5,8,1,160.6,8,19.3,8,1,19.5,8,176.5,0,8,1,250.6,0,8,19.1,8,1,19.6,8,166.5,8,1,270.0,8,18.3,8,1,18.1,8,191.5,8,1,237.9,8,18.5,8,1,18.5,8,200.0,8,1,232.3,8,19.0,8,1,,0,117.0,8,1,,0,19.3,8,1,18.9,8,217.5,8,1,228.5,8,19.7,8,1,19.9,8,102.5,8,1,237.0,8,19.2,8,1,19.3,8,200.0,8,1,226.5,8,20.3,8,1,20.3,8,134.5,0,8,1,227.6,0,8,19.4,8,1,,0,129.0,8,1,,0,20.2,8,1,20.5,8,114.5,8,1,225.1,8,20.2,8,1,19.8,8,138.5,0,8,1,207.8,0,8,20.0,8,1,20.6,8,176.0,0,8,1,247.6,0,8,20.1,8,1,20.0,8,162.5,8,1,216.9,8
2023/6,21.4,8,1,20.9,8,336.5,8,1,419.5,8,22.3,8,1,22.4,8,445.5,8,1,418.5,8,20.3,8,1,19.8,8,320.5,8,1,436.3,8,22.8,8,1,22.5,8,534.0,0,8,1,423.5,0,8,22.5,8,1,22.5,8,524.5,8,1,474.3,8,21.5,8,1,21.3,8,532.5,8,1,519.7,8,21.5,8,1,21.4,8,636.0,8,1,581.7,8,22.5,8,1,,0,676.5,8,1,,0,22.4,8,1,22.2,8,560.0,8,1,647.4,8,23.0,8,1,22.8,8,636.5,8,1,507.1,8,22.2,8,1,22.1,8,651.0,8,1,606.7,8,23.5,8,1,23.2,8,582.5,0,8,1,516.3,0,8,22.7,8,1,,0,638.0,8,1,,0,23.3,8,1,23.2,8,523.0,8,1,505.9,8,23.0,8,1,22.7,8,575.0,0,8,1,559.7,0,8,23.3,8,1,23.4,8,545.0,0,8,1,564.7,0,8,23.4,8,1,23.0,8,484.5,8,1,531.5,8
