都府県振興局,観測所番号,種類,観測所名,観測所種別,,手動フラグ
宗谷,11001,四,宗谷岬,2,,
宗谷,11016,官,稚内,1,,1
宗谷,11046,四,礼文,2,,
宗谷,11076,四,浜鬼志別,2,,
宗谷,11121,四,沼川,2,,
宗谷,11151,四,沓形,2,,
宗谷,11176,四,豊富,2,,
宗谷,11206,四,浜頓別,2,,
宗谷,11276,四,中頓別,2,,
宗谷,11291,官,北見枝幸,1,,1
宗谷,11316,四,歌登,2,,
上川,12011,四,中川,2,,
上川,12041,四,音威子府,2,,
上川,12141,四,美深,2,,
上川,12181,四,名寄,2,,
上川,12231,四,下川,2,,
上川,12261,四,士別,2,,
上川,12266,四,朝日,2,,
上川,12301,四,和寒,2,,
上川,12386,四,江丹別,2,,
上川,12396,四,比布,2,,
上川,12411,四,上川,2,,
上川,12442,官,旭川,1,,1
上川,12451,四,東川,2,,
上川,12512,四,志比内,2,,
上川,12551,四,美瑛,2,,
上川,12596,四,上富良野,2,,
上川,12626,四,富良野,2,,
上川,12632,四,麓郷,2,,
上川,12691,四,幾寅,2,,
上川,12746,四,占冠,2,,
上川,15041,四,朱鞠内,2,,
上川,15076,四,幌加内,2,,
留萌,13061,四,天塩,2,,
留萌,13086,四,遠別,2,,
留萌,13121,四,初山別,2,,
留萌,13146,四,焼尻,2,,
留萌,13181,官,羽幌,1,,1
留萌,13261,四,達布,2,,
留萌,13277,官,留萌,1,,1
留萌,13311,四,増毛,2,,
留萌,13321,四,幌糠,2,,
石狩,14026,四,浜益,2,,
石狩,14071,四,厚田,2,,
石狩,14101,四,新篠津,2,,
石狩,14116,四,山口,2,,
石狩,14121,四,石狩,2,,
石狩,14136,四,江別,2,,
石狩,14163,官,札幌,1,,1
石狩,14206,四,恵庭島松,2,,
石狩,14286,四,支笏湖畔,2,,
石狩,14296,官,千歳,3,,3
空知,15116,四,石狩沼田,2,,
空知,15161,四,深川,2,,
空知,15231,四,空知吉野,2,,
空知,15241,四,滝川,2,,
空知,15251,四,芦別,2,,
空知,15311,四,月形,2,,
空知,15321,四,美唄,2,,
